ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,9,0.05,1035,0.65,0.3,0.06,0,0,0,0,0.44,0.56,0.0
-50_-40,1,0.01,45,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0
-40_-30,8,0.04,278,0.75,0.19,0.06,0,0,0,0,0.38,0.0,0.63
-30_-20,10,0.05,254,0.86,0.13,0.0,0,0,0,0,0.4,0.3,0.3
-20_-10,20,0.1,303,0.47,0.33,0.19,0,0,0,0,0.1,0.1,0.8
-10_-5,19,0.1,147,0.41,0.31,0.27,0,0,0,0,0.21,0.26,0.53
-5_-2,12,0.06,52,0.44,0.35,0.21,0,0,0,0,0.17,0.08,0.75
3_5,9,0.05,33,0.7,0.12,0.18,0,0,0,0,0.56,0.11,0.33
5_10,22,0.11,171,0.73,0.15,0.12,0,0,0,0,0.73,0.05,0.23
10_20,24,0.12,332,0.7,0.14,0.16,0,0,0,0,0.38,0.08,0.54
20_30,17,0.09,400,0.66,0.12,0.21,0,0,0,0,0.41,0.12,0.47
30_40,14,0.07,465,0.53,0.31,0.17,0,0,0,0,0.71,0.0,0.29
40_50,10,0.05,423,0.64,0.29,0.07,0,0,0,0,0.5,0.1,0.4
50_+,24,0.12,3598,0.69,0.24,0.07,0,0,0,0,0.33,0.04,0.63
