Position_affected,Total,Freq
0.0,7,0.035
0.001,7,0.035
0.002,7,0.035
0.003,7,0.035
0.004,7,0.035
0.005,7,0.035
0.006,7,0.035
0.007,7,0.035
0.008,7,0.035
0.009000000000000001,7,0.035
0.01,19,0.095
0.011,19,0.095
0.012,19,0.095
0.013000000000000001,19,0.095
0.014,19,0.095
0.015,19,0.095
0.016,19,0.095
0.017,19,0.095
0.018000000000000002,19,0.095
0.019,19,0.095
0.02,29,0.146
0.021,29,0.146
0.022,29,0.146
0.023,29,0.146
0.024,29,0.146
0.025,29,0.146
0.026000000000000002,29,0.146
0.027,29,0.146
0.028,29,0.146
0.029,29,0.146
0.03,35,0.176
0.031,35,0.176
0.032,35,0.176
0.033,35,0.176
0.034,35,0.176
0.035,35,0.176
0.036000000000000004,35,0.176
0.037,35,0.176
0.038,35,0.176
0.039,35,0.176
0.04,38,0.191
0.041,38,0.191
0.042,38,0.191
0.043000000000000003,38,0.191
0.044,38,0.191
0.045,38,0.191
0.046,38,0.191
0.047,38,0.191
0.048,38,0.191
0.049,38,0.191
0.05,39,0.196
0.051000000000000004,39,0.196
0.052000000000000005,39,0.196
0.053,39,0.196
0.054,39,0.196
0.055,39,0.196
0.056,39,0.196
0.057,39,0.196
0.058,39,0.196
0.059000000000000004,39,0.196
0.06,40,0.201
0.061,40,0.201
0.062,40,0.201
0.063,40,0.201
0.064,40,0.201
0.065,40,0.201
0.066,40,0.201
0.067,40,0.201
0.068,40,0.201
0.069,40,0.201
0.07,45,0.226
0.07100000000000001,45,0.226
0.07200000000000001,45,0.226
0.073,45,0.226
0.074,45,0.226
0.075,45,0.226
0.076,45,0.226
0.077,45,0.226
0.078,45,0.226
0.079,45,0.226
0.08,48,0.241
0.081,48,0.241
0.082,48,0.241
0.083,48,0.241
0.084,48,0.241
0.085,48,0.241
0.08600000000000001,48,0.241
0.08700000000000001,48,0.241
0.088,48,0.241
0.089,48,0.241
0.09,51,0.256
0.091,51,0.256
0.092,51,0.256
0.093,51,0.256
0.094,51,0.256
0.095,51,0.256
0.096,51,0.256
0.097,51,0.256
0.098,51,0.256
0.099,51,0.256
0.1,54,0.271
0.101,54,0.271
0.10200000000000001,54,0.271
0.10300000000000001,54,0.271
0.10400000000000001,54,0.271
0.105,54,0.271
0.106,54,0.271
0.107,54,0.271
0.108,54,0.271
0.109,54,0.271
0.11,56,0.281
0.111,56,0.281
0.112,56,0.281
0.113,56,0.281
0.114,56,0.281
0.115,56,0.281
0.116,56,0.281
0.117,56,0.281
0.11800000000000001,56,0.281
0.11900000000000001,56,0.281
0.12,59,0.296
0.121,59,0.296
0.122,59,0.296
0.123,59,0.296
0.124,59,0.296
0.125,59,0.296
0.126,59,0.296
0.127,59,0.296
0.128,59,0.296
0.129,59,0.296
0.13,62,0.312
0.131,62,0.312
0.132,62,0.312
0.133,62,0.312
0.134,62,0.312
0.135,62,0.312
0.136,62,0.312
0.137,62,0.312
0.138,62,0.312
0.139,62,0.312
0.14,64,0.322
0.14100000000000001,64,0.322
0.14200000000000002,64,0.322
0.14300000000000002,64,0.322
0.14400000000000002,64,0.322
0.145,64,0.322
0.146,64,0.322
0.147,64,0.322
0.148,64,0.322
0.149,64,0.322
0.15,66,0.332
0.151,66,0.332
0.152,66,0.332
0.153,66,0.332
0.154,66,0.332
0.155,66,0.332
0.156,66,0.332
0.157,66,0.332
0.158,66,0.332
0.159,66,0.332
0.16,68,0.342
0.161,68,0.342
0.162,68,0.342
0.163,68,0.342
0.164,68,0.342
0.165,68,0.342
0.166,68,0.342
0.167,68,0.342
0.168,68,0.342
0.169,68,0.342
0.17,68,0.342
0.171,68,0.342
0.17200000000000001,68,0.342
0.17300000000000001,68,0.342
0.17400000000000002,68,0.342
0.17500000000000002,68,0.342
0.176,68,0.342
0.177,68,0.342
0.178,68,0.342
0.179,68,0.342
0.18,71,0.357
0.181,71,0.357
0.182,71,0.357
0.183,71,0.357
0.184,71,0.357
0.185,71,0.357
0.186,71,0.357
0.187,71,0.357
0.188,71,0.357
0.189,71,0.357
0.19,71,0.357
0.191,71,0.357
0.192,71,0.357
0.193,71,0.357
0.194,71,0.357
0.195,71,0.357
0.196,71,0.357
0.197,71,0.357
0.198,71,0.357
0.199,71,0.357
0.2,71,0.357
0.201,71,0.357
0.202,71,0.357
0.203,71,0.357
0.20400000000000001,71,0.357
0.20500000000000002,71,0.357
0.20600000000000002,71,0.357
0.20700000000000002,71,0.357
0.20800000000000002,71,0.357
0.209,71,0.357
0.21,72,0.362
0.211,72,0.362
0.212,72,0.362
0.213,72,0.362
0.214,72,0.362
0.215,72,0.362
0.216,72,0.362
0.217,72,0.362
0.218,72,0.362
0.219,72,0.362
0.22,73,0.367
0.221,73,0.367
0.222,73,0.367
0.223,73,0.367
0.224,73,0.367
0.225,73,0.367
0.226,73,0.367
0.227,73,0.367
0.228,73,0.367
0.229,73,0.367
0.23,76,0.382
0.231,76,0.382
0.232,76,0.382
0.233,76,0.382
0.234,76,0.382
0.23500000000000001,76,0.382
0.23600000000000002,76,0.382
0.23700000000000002,76,0.382
0.23800000000000002,76,0.382
0.23900000000000002,76,0.382
0.24,78,0.392
0.241,78,0.392
0.242,78,0.392
0.243,78,0.392
0.244,78,0.392
0.245,78,0.392
0.246,78,0.392
0.247,78,0.392
0.248,78,0.392
0.249,78,0.392
0.25,78,0.392
0.251,78,0.392
0.252,78,0.392
0.253,78,0.392
0.254,78,0.392
0.255,78,0.392
0.256,78,0.392
0.257,78,0.392
0.258,78,0.392
0.259,78,0.392
0.26,78,0.392
0.261,78,0.392
0.262,78,0.392
0.263,78,0.392
0.264,78,0.392
0.265,78,0.392
0.266,78,0.392
0.267,78,0.392
0.268,78,0.392
0.269,78,0.392
0.27,78,0.392
0.271,78,0.392
0.272,78,0.392
0.273,78,0.392
0.274,78,0.392
0.275,78,0.392
0.276,78,0.392
0.277,78,0.392
0.278,78,0.392
0.279,78,0.392
0.28,79,0.397
0.281,79,0.397
0.28200000000000003,79,0.397
0.28300000000000003,79,0.397
0.28400000000000003,79,0.397
0.28500000000000003,79,0.397
0.28600000000000003,79,0.397
0.28700000000000003,79,0.397
0.28800000000000003,79,0.397
0.289,79,0.397
0.29,80,0.402
0.291,80,0.402
0.292,80,0.402
0.293,80,0.402
0.294,80,0.402
0.295,80,0.402
0.296,80,0.402
0.297,80,0.402
0.298,80,0.402
0.299,80,0.402
0.3,80,0.402
0.301,80,0.402
0.302,80,0.402
0.303,80,0.402
0.304,80,0.402
0.305,80,0.402
0.306,80,0.402
0.307,80,0.402
0.308,80,0.402
0.309,80,0.402
0.31,80,0.402
0.311,80,0.402
0.312,80,0.402
0.313,80,0.402
0.314,80,0.402
0.315,80,0.402
0.316,80,0.402
0.317,80,0.402
0.318,80,0.402
0.319,80,0.402
0.32,80,0.402
0.321,80,0.402
0.322,80,0.402
0.323,80,0.402
0.324,80,0.402
0.325,80,0.402
0.326,80,0.402
0.327,80,0.402
0.328,80,0.402
0.329,80,0.402
0.33,80,0.402
0.331,80,0.402
0.332,80,0.402
0.333,80,0.402
0.334,80,0.402
0.335,80,0.402
0.336,80,0.402
0.337,80,0.402
0.338,80,0.402
0.339,80,0.402
0.34,80,0.402
0.341,80,0.402
0.342,80,0.402
0.343,80,0.402
0.34400000000000003,80,0.402
0.34500000000000003,80,0.402
0.34600000000000003,80,0.402
0.34700000000000003,80,0.402
0.34800000000000003,80,0.402
0.34900000000000003,80,0.402
0.35000000000000003,80,0.402
0.35100000000000003,80,0.402
0.352,80,0.402
0.353,80,0.402
0.354,80,0.402
0.355,80,0.402
0.356,80,0.402
0.357,80,0.402
0.358,80,0.402
0.359,80,0.402
0.36,82,0.412
0.361,82,0.412
0.362,82,0.412
0.363,82,0.412
0.364,82,0.412
0.365,82,0.412
0.366,82,0.412
0.367,82,0.412
0.368,82,0.412
0.369,82,0.412
0.37,82,0.412
0.371,82,0.412
0.372,82,0.412
0.373,82,0.412
0.374,82,0.412
0.375,82,0.412
0.376,82,0.412
0.377,82,0.412
0.378,82,0.412
0.379,82,0.412
0.38,82,0.412
0.381,82,0.412
0.382,82,0.412
0.383,82,0.412
0.384,82,0.412
0.385,82,0.412
0.386,82,0.412
0.387,82,0.412
0.388,82,0.412
0.389,82,0.412
0.39,82,0.412
0.391,82,0.412
0.392,82,0.412
0.393,82,0.412
0.394,82,0.412
0.395,82,0.412
0.396,82,0.412
0.397,82,0.412
0.398,82,0.412
0.399,82,0.412
0.4,82,0.412
0.401,82,0.412
0.402,82,0.412
0.403,82,0.412
0.404,82,0.412
0.405,82,0.412
0.406,82,0.412
0.40700000000000003,82,0.412
0.40800000000000003,82,0.412
0.40900000000000003,82,0.412
0.41000000000000003,82,0.412
0.41100000000000003,82,0.412
0.41200000000000003,82,0.412
0.41300000000000003,82,0.412
0.41400000000000003,82,0.412
0.41500000000000004,82,0.412
0.41600000000000004,82,0.412
0.417,82,0.412
0.418,82,0.412
0.419,82,0.412
0.42,83,0.417
0.421,83,0.417
0.422,83,0.417
0.423,83,0.417
0.424,83,0.417
0.425,83,0.417
0.426,83,0.417
0.427,83,0.417
0.428,83,0.417
0.429,83,0.417
0.43,84,0.422
0.431,84,0.422
0.432,84,0.422
0.433,84,0.422
0.434,84,0.422
0.435,84,0.422
0.436,84,0.422
0.437,84,0.422
0.438,84,0.422
0.439,84,0.422
0.44,84,0.422
0.441,84,0.422
0.442,84,0.422
0.443,84,0.422
0.444,84,0.422
0.445,84,0.422
0.446,84,0.422
0.447,84,0.422
0.448,84,0.422
0.449,84,0.422
0.45,85,0.427
0.451,85,0.427
0.452,85,0.427
0.453,85,0.427
0.454,85,0.427
0.455,85,0.427
0.456,85,0.427
0.457,85,0.427
0.458,85,0.427
0.459,85,0.427
0.46,88,0.442
0.461,88,0.442
0.462,88,0.442
0.463,88,0.442
0.464,88,0.442
0.465,88,0.442
0.466,88,0.442
0.467,88,0.442
0.468,88,0.442
0.46900000000000003,88,0.442
0.47000000000000003,89,0.447
0.47100000000000003,89,0.447
0.47200000000000003,89,0.447
0.47300000000000003,89,0.447
0.47400000000000003,89,0.447
0.47500000000000003,89,0.447
0.47600000000000003,89,0.447
0.47700000000000004,89,0.447
0.47800000000000004,89,0.447
0.47900000000000004,89,0.447
0.48,90,0.452
0.481,90,0.452
0.482,90,0.452
0.483,90,0.452
0.484,90,0.452
0.485,90,0.452
0.486,90,0.452
0.487,90,0.452
0.488,90,0.452
0.489,90,0.452
0.49,90,0.452
0.491,90,0.452
0.492,90,0.452
0.493,90,0.452
0.494,90,0.452
0.495,90,0.452
0.496,90,0.452
0.497,90,0.452
0.498,90,0.452
0.499,90,0.452
0.5,92,0.462
0.501,92,0.462
0.502,92,0.462
0.503,92,0.462
0.504,92,0.462
0.505,92,0.462
0.506,92,0.462
0.507,92,0.462
0.508,92,0.462
0.509,92,0.462
0.51,92,0.462
0.511,92,0.462
0.512,92,0.462
0.513,92,0.462
0.514,92,0.462
0.515,92,0.462
0.516,92,0.462
0.517,92,0.462
0.518,92,0.462
0.519,92,0.462
0.52,93,0.467
0.521,93,0.467
0.522,93,0.467
0.523,93,0.467
0.524,93,0.467
0.525,93,0.467
0.526,93,0.467
0.527,93,0.467
0.528,93,0.467
0.529,93,0.467
0.53,93,0.467
0.531,93,0.467
0.532,93,0.467
0.533,93,0.467
0.534,93,0.467
0.535,93,0.467
0.536,93,0.467
0.537,93,0.467
0.538,93,0.467
0.539,93,0.467
0.54,94,0.472
0.541,94,0.472
0.542,94,0.472
0.543,94,0.472
0.544,94,0.472
0.545,94,0.472
0.546,94,0.472
0.547,94,0.472
0.548,94,0.472
0.549,94,0.472
0.55,95,0.477
0.551,95,0.477
0.552,95,0.477
0.553,95,0.477
0.554,95,0.477
0.555,95,0.477
0.556,95,0.477
0.557,95,0.477
0.558,95,0.477
0.559,95,0.477
0.56,95,0.477
0.561,95,0.477
0.562,95,0.477
0.5630000000000001,95,0.477
0.5640000000000001,95,0.477
0.5650000000000001,95,0.477
0.5660000000000001,95,0.477
0.5670000000000001,95,0.477
0.5680000000000001,95,0.477
0.5690000000000001,95,0.477
0.5700000000000001,96,0.482
0.5710000000000001,96,0.482
0.5720000000000001,96,0.482
0.5730000000000001,96,0.482
0.5740000000000001,96,0.482
0.5750000000000001,96,0.482
0.5760000000000001,96,0.482
0.577,96,0.482
0.578,96,0.482
0.579,96,0.482
0.58,96,0.482
0.581,96,0.482
0.582,96,0.482
0.583,96,0.482
0.584,96,0.482
0.585,96,0.482
0.586,96,0.482
0.587,96,0.482
0.588,96,0.482
0.589,96,0.482
0.59,96,0.482
0.591,96,0.482
0.592,96,0.482
0.593,96,0.482
0.594,96,0.482
0.595,96,0.482
0.596,96,0.482
0.597,96,0.482
0.598,96,0.482
0.599,96,0.482
0.6,96,0.482
0.601,96,0.482
0.602,96,0.482
0.603,96,0.482
0.604,96,0.482
0.605,96,0.482
0.606,96,0.482
0.607,96,0.482
0.608,96,0.482
0.609,96,0.482
0.61,97,0.487
0.611,97,0.487
0.612,97,0.487
0.613,97,0.487
0.614,97,0.487
0.615,97,0.487
0.616,97,0.487
0.617,97,0.487
0.618,97,0.487
0.619,97,0.487
0.62,97,0.487
0.621,97,0.487
0.622,97,0.487
0.623,97,0.487
0.624,97,0.487
0.625,97,0.487
0.626,97,0.487
0.627,97,0.487
0.628,97,0.487
0.629,97,0.487
0.63,97,0.487
0.631,97,0.487
0.632,97,0.487
0.633,97,0.487
0.634,97,0.487
0.635,97,0.487
0.636,97,0.487
0.637,97,0.487
0.638,97,0.487
0.639,97,0.487
0.64,97,0.487
0.641,97,0.487
0.642,97,0.487
0.643,97,0.487
0.644,97,0.487
0.645,97,0.487
0.646,97,0.487
0.647,97,0.487
0.648,97,0.487
0.649,97,0.487
0.65,97,0.487
0.651,97,0.487
0.652,97,0.487
0.653,97,0.487
0.654,97,0.487
0.655,97,0.487
0.656,97,0.487
0.657,97,0.487
0.658,97,0.487
0.659,97,0.487
0.66,97,0.487
0.661,97,0.487
0.662,97,0.487
0.663,97,0.487
0.664,97,0.487
0.665,97,0.487
0.666,97,0.487
0.667,97,0.487
0.668,97,0.487
0.669,97,0.487
0.67,101,0.508
0.671,101,0.508
0.672,101,0.508
0.673,101,0.508
0.674,101,0.508
0.675,101,0.508
0.676,101,0.508
0.677,101,0.508
0.678,101,0.508
0.679,101,0.508
0.68,102,0.513
0.681,102,0.513
0.682,102,0.513
0.683,102,0.513
0.684,102,0.513
0.685,102,0.513
0.686,102,0.513
0.687,102,0.513
0.6880000000000001,102,0.513
0.6890000000000001,102,0.513
0.6900000000000001,102,0.513
0.6910000000000001,102,0.513
0.6920000000000001,102,0.513
0.6930000000000001,102,0.513
0.6940000000000001,102,0.513
0.6950000000000001,102,0.513
0.6960000000000001,102,0.513
0.6970000000000001,102,0.513
0.6980000000000001,102,0.513
0.6990000000000001,102,0.513
0.7000000000000001,104,0.523
0.7010000000000001,104,0.523
0.7020000000000001,104,0.523
0.7030000000000001,104,0.523
0.704,104,0.523
0.705,104,0.523
0.706,104,0.523
0.707,104,0.523
0.708,104,0.523
0.709,104,0.523
0.71,106,0.533
0.711,106,0.533
0.712,106,0.533
0.713,106,0.533
0.714,106,0.533
0.715,106,0.533
0.716,106,0.533
0.717,106,0.533
0.718,106,0.533
0.719,106,0.533
0.72,108,0.543
0.721,108,0.543
0.722,108,0.543
0.723,108,0.543
0.724,108,0.543
0.725,108,0.543
0.726,108,0.543
0.727,108,0.543
0.728,108,0.543
0.729,108,0.543
0.73,108,0.543
0.731,108,0.543
0.732,108,0.543
0.733,108,0.543
0.734,108,0.543
0.735,108,0.543
0.736,108,0.543
0.737,108,0.543
0.738,108,0.543
0.739,108,0.543
0.74,109,0.548
0.741,109,0.548
0.742,109,0.548
0.743,109,0.548
0.744,109,0.548
0.745,109,0.548
0.746,109,0.548
0.747,109,0.548
0.748,109,0.548
0.749,109,0.548
0.75,110,0.553
0.751,110,0.553
0.752,110,0.553
0.753,110,0.553
0.754,110,0.553
0.755,110,0.553
0.756,110,0.553
0.757,110,0.553
0.758,110,0.553
0.759,110,0.553
0.76,111,0.558
0.761,111,0.558
0.762,111,0.558
0.763,111,0.558
0.764,111,0.558
0.765,111,0.558
0.766,111,0.558
0.767,111,0.558
0.768,111,0.558
0.769,111,0.558
0.77,113,0.568
0.771,113,0.568
0.772,113,0.568
0.773,113,0.568
0.774,113,0.568
0.775,113,0.568
0.776,113,0.568
0.777,113,0.568
0.778,113,0.568
0.779,113,0.568
0.78,114,0.573
0.781,114,0.573
0.782,114,0.573
0.783,114,0.573
0.784,114,0.573
0.785,114,0.573
0.786,114,0.573
0.787,114,0.573
0.788,114,0.573
0.789,114,0.573
0.79,115,0.578
0.791,115,0.578
0.792,115,0.578
0.793,115,0.578
0.794,115,0.578
0.795,115,0.578
0.796,115,0.578
0.797,115,0.578
0.798,115,0.578
0.799,115,0.578
0.8,117,0.588
0.801,117,0.588
0.802,117,0.588
0.803,117,0.588
0.804,117,0.588
0.805,117,0.588
0.806,117,0.588
0.807,117,0.588
0.808,117,0.588
0.809,117,0.588
