Length,Type
-17,N
-19,N
-30,N
-30,N
-17,N
4,N
-88,N
-88,N
-9,N
-4,N
-15,N
14,N
-13,N
-28,N
-4,N
-290,N
46,N
-8,N
-20,N
-13,N
-17,N
31,N
-14,N
-14,N
10,N
-28,N
304,N
-56,N
-56,N
-7,N
-81,N
119,N
-35,N
-18,N
-14,N
-18,N
-44,N
-43,N
-31,N
-34,N
-203,N
5,N
133,N
5,N
5,N
64,N
23,N
69,N
-49,N
-8,N
-43,N
-11,N
-3,N
38,N
-8,N
-8,N
18,N
7,N
11,N
12,N
12,N
15,N
23,N
-21,N
-12,N
18,N
20,N
20,N
20,N
-5,N
12,N
-39,N
-31,N
-31,N
13,N
-7,N
-15,N
-13,N
-13,N
-6,N
-14,N
-12,N
-380,N
-380,N
-380,N
-380,N
30,N
-3,N
-36,N
59,N
-52,N
-52,N
32,N
32,N
-13,N
-28,N
-23,N
-63,N
-29,N
-29,N
-44,N
19,N
-49,N
-49,N
-49,N
-49,N
9,N
9,N
-3,N
4,N
4,N
-3,N
-3,N
-79,N
16,N
-29,N
26,N
-29,N
-4,N
-13,N
-13,N
-11,N
-11,N
-11,N
-11,N
-11,N
-11,N
-59,N
-33,N
5,N
5,N
-8,N
-8,N
5,N
-49,N
-3,N
-84,N
94,N
-73,N
-73,N
6,N
-38,N
-123,N
-106,N
-106,N
9,N
9,N
-11,N
-36,N
11,N
11,N
11,N
11,N
-11,N
11,N
145,N
-23,N
-27,N
9,N
9,N
9,N
9,N
-11,N
-63,N
9,N
-37,N
-25,N
-41,N
-11,N
8,N
8,N
18,N
18,N
18,N
18,N
18,N
18,N
18,N
18,N
18,N
18,N
18,N
81,N
-24,N
-24,N
-13,N
-7,N
-13,N
-4,N
58,N
21,N
21,N
-48,N
-9,N
-48,N
-15,N
13,N
13,N
-13,N
14,N
14,N
14,N
-37,N
49,N
14,N
14,N
14,N
14,N
-5,N
34,N
-12,N
9,N
9,N
9,N
-8,N
-83,N
-50,N
-14,N
-3,N
-34,N
12,N
12,N
-47,N
5,N
58,N
6,N
6,N
6,N
-3,N
28,N
28,N
28,N
-17,N
-23,N
-54,N
-10,N
5,N
5,N
14,N
-50,N
100,N
100,N
100,N
100,N
-247,N
-36,N
17,N
-4,N
75,N
-32,N
23,N
-76,N
6,N
6,N
22,N
4,N
-23,N
-23,N
105,N
15,N
-16,N
-16,N
-37,N
70,N
-12,N
22,N
22,N
-5,N
7,N
-17,N
-17,N
18,N
-46,N
-91,N
-24,N
-22,N
-22,N
5,N
-6,N
-6,N
14,N
34,N
-5,N
-29,N
-29,N
28,N
5,N
5,N
-17,N
-8,N
-8,N
-8,N
-8,N
22,N
22,N
22,N
22,N
22,N
8,N
8,N
8,N
-20,N
-50,N
-20,N
-17,N
-7,N
12,N
12,N
12,N
12,N
5,N
5,N
5,N
5,N
5,N
89,N
-17,N
-31,N
18,N
-19,N
-19,N
-5,N
6,N
6,N
-74,N
10,N
110,N
-3,N
15,N
-16,N
-27,N
-11,N
-11,N
-7,N
-41,N
-41,N
24,N
5,N
-36,N
-36,N
-36,N
123,N
29,N
9,N
9,N
6,N
9,N
43,N
6,N
6,N
-8,N
-12,N
-52,N
-11,N
-11,N
5,N
-52,N
-39,N
-76,N
-24,N
33,N
-95,N
-76,N
-18,N
-18,N
-18,N
-20,N
-64,N
-4,N
-62,N
-42,N
8,N
-35,N
-31,N
-31,N
-38,N
-14,N
-26,N
9,N
-20,N
-41,N
60,N
-44,N
-52,N
-3,N
-7,N
-54,N
-14,N
-12,N
-12,N
-4,N
-88,N
-88,N
-88,N
-41,N
-12,N
-9,N
-11,N
-15,N
25,N
61,N
64,N
-10,N
31,N
31,N
17,N
-4,N
-42,N
-23,N
-5,N
-5,N
51,N
-159,N
19,N
-4,N
-4,N
-4,N
-4,N
-4,N
-4,N
-4,N
7,N
8,N
8,N
8,N
8,N
8,N
8,N
8,N
8,N
52,N
75,N
75,N
75,N
75,N
75,N
75,N
-72,N
-228,N
-232,N
-72,N
-72,N
-182,N
-32,N
-7,N
20,N
-22,N
18,N
-4,N
79,N
-9,N
-7,N
-7,N
-16,N
-16,N
4,N
-21,N
24,N
-29,N
6,N
-11,N
-14,N
-14,N
-14,N
-23,N
-5,N
-5,N
208,N
-14,N
-28,N
-5,N
-5,N
-7,N
-45,N
-29,N
-6,N
-6,N
-28,N
12,N
12,N
-19,N
-82,N
-184,N
-28,N
11,N
11,N
11,N
11,N
11,N
11,N
-4,N
-10,N
203,N
234,N
-259,N
-182,N
25,N
-22,N
-22,N
-15,N
12,N
-38,N
-11,N
34,N
-60,N
-59,N
8,N
6,N
6,N
6,N
6,N
6,N
8,N
8,N
-10,N
6,N
8,N
8,N
8,N
8,N
-12,N
6,N
6,N
6,N
7,N
7,N
4,N
-36,N
7,N
4,N
7,N
-36,N
7,N
7,N
4,N
7,N
-21,N
4,N
4,N
70,N
70,N
22,N
22,N
-41,N
28,N
-5,N
-5,N
-5,N
-5,N
-5,N
65,N
-20,N
17,N
17,N
17,N
17,N
17,N
9,N
-26,N
-89,N
-89,N
-87,N
-80,N
22,N
-15,N
7,N
7,N
-41,N
34,N
6,N
36,N
64,N
21,N
55,N
-67,N
-17,N
-17,N
7,N
16,N
15,N
18,N
9,N
9,N
5,N
5,N
5,N
5,N
6,N
-8,N
-9,N
-8,N
34,N
-39,N
4,N
104,N
104,N
104,N
104,N
104,N
35,N
35,N
-25,N
-87,N
-35,N
-41,N
-10,N
59,N
-7,N
-147,N
-147,N
77,N
-115,N
25,N
-43,N
16,N
16,N
-37,N
-58,N
-12,N
-13,N
-13,N
-13,N
-31,N
-12,N
-12,N
7,N
7,N
41,N
-10,N
-15,N
-20,N
17,N
-30,N
10,N
96,N
-125,N
-30,N
-172,N
-172,N
7,N
-66,N
17,N
66,N
-3,N
6,N
-6,N
6,N
-4,N
12,N
-29,N
24,N
24,N
-134,N
-110,N
-110,N
-134,N
-3,N
-134,N
-134,N
-110,N
-128,N
-128,N
-128,N
-134,N
-9,N
-3,N
-11,N
-110,N
-128,N
-128,N
-128,N
-11,N
-11,N
-14,N
-3,N
-3,N
-13,N
-14,N
-13,N
5,N
-32,N
20,N
-29,N
13,N
13,N
13,N
13,N
13,N
13,N
9,N
-25,N
-9,N
-11,N
-22,N
-23,N
-244,N
-8,N
20,N
20,N
20,N
-176,N
-10,N
-10,N
-10,N
-11,N
-11,N
5,N
-18,N
-14,N
-18,N
-37,N
-37,N
12,N
-6,N
-13,N
-6,N
-35,N
-4,N
-4,N
-21,N
79,N
17,N
17,N
17,N
37,N
-22,N
-18,N
-37,N
8,N
8,N
5,N
-16,N
-3,N
-16,N
-16,N
-16,N
-41,N
-27,N
17,N
-66,N
-8,N
-17,N
-17,N
57,N
24,N
-23,N
24,N
-22,N
-22,N
24,N
-20,N
23,N
4,N
-4,N
-4,N
-4,N
-4,N
28,N
-42,N
-42,N
-72,N
-19,N
14,N
14,N
4,N
-3,N
-97,N
22,N
22,N
22,N
22,N
20,N
7,N
-126,N
-20,N
-68,N
21,N
21,N
21,N
8,N
-22,N
-17,N
-40,N
-18,N
-16,N
-16,N
-16,N
-16,N
-164,N
-41,N
-35,N
-7,N
-220,N
-5,N
-18,N
-8,N
18,N
18,N
-55,N
18,N
-47,N
-39,N
-19,N
-33,N
-31,N
15,N
-9,N
-9,N
-12,N
