Count,Category
2,All_transcripts
4,All_transcripts
15,All_transcripts
2,All_transcripts
2,All_transcripts
3,All_transcripts
13,All_transcripts
3,All_transcripts
5,All_transcripts
2,All_transcripts
2,All_transcripts
6,All_transcripts
19,All_transcripts
5,All_transcripts
13,All_transcripts
8,All_transcripts
3,All_transcripts
5,All_transcripts
2,All_transcripts
2,All_transcripts
7,All_transcripts
5,All_transcripts
2,All_transcripts
2,All_transcripts
6,All_transcripts
12,All_transcripts
12,All_transcripts
2,All_transcripts
6,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
5,All_transcripts
5,All_transcripts
4,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
15,All_transcripts
3,All_transcripts
2,All_transcripts
8,All_transcripts
3,All_transcripts
4,All_transcripts
5,All_transcripts
3,All_transcripts
14,All_transcripts
3,All_transcripts
6,All_transcripts
3,All_transcripts
13,All_transcripts
22,All_transcripts
4,All_transcripts
2,All_transcripts
18,All_transcripts
12,All_transcripts
3,All_transcripts
14,All_transcripts
5,All_transcripts
3,All_transcripts
9,All_transcripts
18,All_transcripts
6,All_transcripts
7,All_transcripts
2,All_transcripts
2,All_transcripts
3,All_transcripts
6,All_transcripts
2,All_transcripts
2,All_transcripts
13,All_transcripts
5,All_transcripts
3,All_transcripts
4,All_transcripts
5,All_transcripts
3,All_transcripts
4,All_transcripts
3,All_transcripts
7,All_transcripts
7,All_transcripts
14,All_transcripts
2,All_transcripts
2,All_transcripts
11,All_transcripts
2,All_transcripts
4,All_transcripts
4,All_transcripts
3,All_transcripts
17,All_transcripts
2,All_transcripts
2,All_transcripts
4,All_transcripts
6,All_transcripts
4,All_transcripts
2,All_transcripts
8,All_transcripts
10,All_transcripts
8,All_transcripts
2,All_transcripts
5,All_transcripts
2,All_transcripts
13,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
5,All_transcripts
8,All_transcripts
5,All_transcripts
8,All_transcripts
12,All_transcripts
4,All_transcripts
7,All_transcripts
6,All_transcripts
4,All_transcripts
2,All_transcripts
8,All_transcripts
2,All_transcripts
5,All_transcripts
2,All_transcripts
8,All_transcripts
5,All_transcripts
6,All_transcripts
4,All_transcripts
2,All_transcripts
2,All_transcripts
6,All_transcripts
3,All_transcripts
3,All_transcripts
6,All_transcripts
8,All_transcripts
4,All_transcripts
4,All_transcripts
2,All_transcripts
4,All_transcripts
16,All_transcripts
2,All_transcripts
6,All_transcripts
5,All_transcripts
8,All_transcripts
39,All_transcripts
4,All_transcripts
5,All_transcripts
3,All_transcripts
4,All_transcripts
31,All_transcripts
3,All_transcripts
3,All_transcripts
9,All_transcripts
5,All_transcripts
6,All_transcripts
2,All_transcripts
3,All_transcripts
6,All_transcripts
12,All_transcripts
2,All_transcripts
17,All_transcripts
2,All_transcripts
4,All_transcripts
6,All_transcripts
4,All_transcripts
28,All_transcripts
23,All_transcripts
36,All_transcripts
3,All_transcripts
11,All_transcripts
3,All_transcripts
3,All_transcripts
4,All_transcripts
5,All_transcripts
4,All_transcripts
5,All_transcripts
3,All_transcripts
25,All_transcripts
5,All_transcripts
10,All_transcripts
2,All_transcripts
3,All_transcripts
9,All_transcripts
2,All_transcripts
8,All_transcripts
4,All_transcripts
2,All_transcripts
5,All_transcripts
2,All_transcripts
15,All_transcripts
3,All_transcripts
2,All_transcripts
9,All_transcripts
7,All_transcripts
3,All_transcripts
5,All_transcripts
5,All_transcripts
3,All_transcripts
4,All_transcripts
3,All_transcripts
7,All_transcripts
10,All_transcripts
3,All_transcripts
2,All_transcripts
6,All_transcripts
4,All_transcripts
8,All_transcripts
2,All_transcripts
2,All_transcripts
24,All_transcripts
27,All_transcripts
2,All_transcripts
9,All_transcripts
9,All_transcripts
8,All_transcripts
7,All_transcripts
6,All_transcripts
3,All_transcripts
4,All_transcripts
9,All_transcripts
8,All_transcripts
14,All_transcripts
16,All_transcripts
4,All_transcripts
3,All_transcripts
16,All_transcripts
4,All_transcripts
4,All_transcripts
3,All_transcripts
34,All_transcripts
6,All_transcripts
2,All_transcripts
20,All_transcripts
5,All_transcripts
5,All_transcripts
12,All_transcripts
23,All_transcripts
4,All_transcripts
3,All_transcripts
2,All_transcripts
4,All_transcripts
7,All_transcripts
2,All_transcripts
3,All_transcripts
5,All_transcripts
2,All_transcripts
8,All_transcripts
9,All_transcripts
8,All_transcripts
15,All_transcripts
2,All_transcripts
2,All_transcripts
9,All_transcripts
5,All_transcripts
3,All_transcripts
2,All_transcripts
3,All_transcripts
2,All_transcripts
2,All_transcripts
3,All_transcripts
4,All_transcripts
16,All_transcripts
7,All_transcripts
17,All_transcripts
9,All_transcripts
2,All_transcripts
2,All_transcripts
6,All_transcripts
4,All_transcripts
4,All_transcripts
10,All_transcripts
3,All_transcripts
9,All_transcripts
2,All_transcripts
4,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
7,All_transcripts
5,All_transcripts
2,All_transcripts
3,All_transcripts
3,All_transcripts
3,All_transcripts
16,All_transcripts
5,All_transcripts
2,All_transcripts
19,All_transcripts
4,All_transcripts
5,All_transcripts
21,All_transcripts
21,All_transcripts
14,All_transcripts
2,All_transcripts
3,All_transcripts
41,All_transcripts
3,All_transcripts
5,All_transcripts
2,All_transcripts
2,All_transcripts
10,All_transcripts
19,All_transcripts
12,All_transcripts
3,All_transcripts
7,All_transcripts
9,All_transcripts
2,All_transcripts
11,All_transcripts
6,All_transcripts
3,All_transcripts
9,All_transcripts
2,All_transcripts
2,All_transcripts
8,All_transcripts
4,All_transcripts
2,All_transcripts
10,All_transcripts
6,All_transcripts
5,All_transcripts
2,All_transcripts
5,All_transcripts
2,All_transcripts
5,All_transcripts
15,All_transcripts
18,All_transcripts
6,All_transcripts
7,All_transcripts
11,All_transcripts
8,All_transcripts
7,All_transcripts
7,All_transcripts
7,All_transcripts
2,All_transcripts
4,All_transcripts
2,All_transcripts
2,All_transcripts
4,All_transcripts
6,All_transcripts
5,All_transcripts
7,All_transcripts
9,All_transcripts
2,All_transcripts
4,All_transcripts
6,All_transcripts
3,All_transcripts
2,All_transcripts
5,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
17,All_transcripts
3,All_transcripts
6,All_transcripts
9,All_transcripts
4,All_transcripts
8,All_transcripts
2,All_transcripts
2,All_transcripts
3,All_transcripts
3,All_transcripts
2,All_transcripts
3,All_transcripts
12,All_transcripts
11,All_transcripts
12,All_transcripts
2,All_transcripts
6,All_transcripts
2,All_transcripts
7,All_transcripts
3,All_transcripts
7,All_transcripts
2,All_transcripts
13,All_transcripts
3,All_transcripts
4,All_transcripts
3,All_transcripts
15,All_transcripts
10,All_transcripts
4,All_transcripts
14,All_transcripts
11,All_transcripts
23,All_transcripts
2,All_transcripts
9,All_transcripts
3,All_transcripts
2,All_transcripts
7,All_transcripts
5,All_transcripts
6,All_transcripts
5,All_transcripts
7,All_transcripts
3,All_transcripts
5,All_transcripts
12,All_transcripts
56,All_transcripts
18,All_transcripts
12,All_transcripts
5,All_transcripts
2,All_transcripts
19,All_transcripts
14,All_transcripts
13,All_transcripts
15,All_transcripts
9,All_transcripts
18,All_transcripts
4,All_transcripts
4,All_transcripts
10,All_transcripts
2,All_transcripts
5,All_transcripts
3,All_transcripts
4,All_transcripts
10,All_transcripts
2,All_transcripts
4,All_transcripts
6,All_transcripts
5,All_transcripts
3,All_transcripts
36,All_transcripts
48,All_transcripts
2,All_transcripts
4,All_transcripts
8,All_transcripts
3,All_transcripts
6,All_transcripts
7,All_transcripts
2,All_transcripts
3,All_transcripts
52,All_transcripts
12,All_transcripts
9,All_transcripts
11,All_transcripts
3,All_transcripts
4,All_transcripts
5,All_transcripts
2,All_transcripts
12,All_transcripts
21,All_transcripts
5,All_transcripts
10,All_transcripts
6,All_transcripts
6,All_transcripts
4,All_transcripts
