
results/Condition_3000Pilength_2Isf_2ExCount/F2_Individual_background_window3.csv
SSType	Total	Freq
CC	3876432	0.489
CE	82629	0.01
CH	69148	0.009
CX	305931	0.039
EC	86378	0.011
EE	539704	0.068
EH	142	0.0
EX	170416	0.021
HC	70893	0.009
HE	809	0.0
HH	1884917	0.238
HX	157110	0.02
XC	318151	0.04
XE	169290	0.021
XH	148199	0.019
XX	46782	0.006
results/Condition_3000Pilength_2Isf_2ExCount/F2_Individual_alljunct_window3.csv
SSType	Total	Freq
CC	53137	0.443
CE	1390	0.012
CH	1189	0.01
CX	4991	0.042
EC	1260	0.011
EE	8884	0.074
EH	15	0.0
EX	2743	0.023
HC	1146	0.01
HH	31986	0.267
HX	2498	0.021
XC	4760	0.04
XE	2682	0.022
XH	2507	0.021
XX	714	0.006
results/Condition_3000Pilength_2Isf_2ExCount/F2_Individual_ConsCons_window3.csv
SSType	Total	Freq
CC	32084	0.436
CE	903	0.012
CH	728	0.01
CX	3070	0.042
EC	763	0.01
EE	5530	0.075
EH	7	0.0
EX	1713	0.023
HC	713	0.01
HH	19782	0.269
HX	1579	0.021
XC	2958	0.04
XE	1700	0.023
XH	1601	0.022
XX	444	0.006
results/Condition_3000Pilength_2Isf_2ExCount/F2_Individual_AltAlt_window3.csv
SSType	Total	Freq
CC	12838	0.458
CE	293	0.01
CH	257	0.009
CX	1145	0.041
EC	323	0.012
EE	1983	0.071
EH	6	0.0
EX	622	0.022
HC	254	0.009
HH	7481	0.267
HX	526	0.019
XC	1072	0.038
XE	584	0.021
XH	500	0.018
XX	162	0.006
results/Condition_3000Pilength_2Isf_2ExCount/F2_Individual_ConsAlt_window3.csv
SSType	Total	Freq
CC	8215	0.449
CE	194	0.011
CH	204	0.011
CX	776	0.042
EC	174	0.01
EE	1371	0.075
EH	2	0.0
EX	408	0.022
HC	179	0.01
HH	4723	0.258
HX	393	0.021
XC	730	0.04
XE	398	0.022
XH	406	0.022
XX	108	0.006Helix junction freq	Gene	Exon_pair	Gene
