ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	HX	7	0.022
cons_cons	0_0.25	CH	2	0.006
cons_cons	0_0.25	CC	146	0.463
cons_cons	0_0.25	XC	13	0.041
cons_cons	0_0.25	XX	1	0.003
cons_cons	0_0.25	EC	7	0.022
cons_cons	0_0.25	XE	6	0.019
cons_cons	0_0.25	EE	29	0.092
cons_cons	0_0.25	HH	83	0.263
cons_cons	0_0.25	CX	9	0.029
cons_cons	0_0.25	CE	1	0.003
cons_cons	0_0.25	EX	5	0.016
cons_cons	0_0.25	HC	2	0.006
cons_cons	0_0.25	XH	4	0.013
cons_cons	0.25_0.5	XH	18	0.022
cons_cons	0.25_0.5	CH	6	0.007
cons_cons	0.25_0.5	CC	398	0.491
cons_cons	0.25_0.5	XC	25	0.031
cons_cons	0.25_0.5	HX	17	0.021
cons_cons	0.25_0.5	EC	6	0.007
cons_cons	0.25_0.5	XE	25	0.031
cons_cons	0.25_0.5	EE	49	0.06
cons_cons	0.25_0.5	HH	205	0.253
cons_cons	0.25_0.5	CX	28	0.035
cons_cons	0.25_0.5	CE	5	0.006
cons_cons	0.25_0.5	EX	15	0.019
cons_cons	0.25_0.5	HC	8	0.01
cons_cons	0.25_0.5	XX	5	0.006
cons_cons	0.5_0.75	XH	12	0.023
cons_cons	0.5_0.75	CH	2	0.004
cons_cons	0.5_0.75	CC	221	0.423
cons_cons	0.5_0.75	XC	29	0.056
cons_cons	0.5_0.75	HX	8	0.015
cons_cons	0.5_0.75	EC	4	0.008
cons_cons	0.5_0.75	XE	20	0.038
cons_cons	0.5_0.75	EE	33	0.063
cons_cons	0.5_0.75	HH	154	0.295
cons_cons	0.5_0.75	CX	23	0.044
cons_cons	0.5_0.75	CE	3	0.006
cons_cons	0.5_0.75	EX	10	0.019
cons_cons	0.5_0.75	HC	3	0.006
cons_cons	0.75_1.01	XH	843	0.021
cons_cons	0.75_1.01	CH	364	0.009
cons_cons	0.75_1.01	EH	3	0.0
cons_cons	0.75_1.01	CC	17981	0.449
cons_cons	0.75_1.01	XC	1580	0.039
cons_cons	0.75_1.01	XX	234	0.006
cons_cons	0.75_1.01	EC	385	0.01
cons_cons	0.75_1.01	XE	873	0.022
cons_cons	0.75_1.01	EE	2807	0.07
cons_cons	0.75_1.01	HH	10745	0.268
cons_cons	0.75_1.01	CX	1626	0.041
cons_cons	0.75_1.01	CE	478	0.012
cons_cons	0.75_1.01	EX	932	0.023
cons_cons	0.75_1.01	HX	841	0.021
cons_cons	0.75_1.01	HC	375	0.009
alt_alt	0_0.25	EC	3	0.003
alt_alt	0_0.25	HX	14	0.016
alt_alt	0_0.25	CH	5	0.006
alt_alt	0_0.25	EH	1	0.001
alt_alt	0_0.25	EE	50	0.056
alt_alt	0_0.25	XC	37	0.042
alt_alt	0_0.25	XX	4	0.004
alt_alt	0_0.25	CE	8	0.009
alt_alt	0_0.25	XE	21	0.024
alt_alt	0_0.25	CC	453	0.51
alt_alt	0_0.25	HH	217	0.244
alt_alt	0_0.25	CX	24	0.027
alt_alt	0_0.25	EX	20	0.022
alt_alt	0_0.25	HC	11	0.012
alt_alt	0_0.25	XH	21	0.024
alt_alt	0.25_0.5	XH	65	0.02
alt_alt	0.25_0.5	CH	23	0.007
alt_alt	0.25_0.5	CC	1600	0.482
alt_alt	0.25_0.5	XC	128	0.039
alt_alt	0.25_0.5	HX	60	0.018
alt_alt	0.25_0.5	CE	33	0.01
alt_alt	0.25_0.5	XE	59	0.018
alt_alt	0.25_0.5	EE	212	0.064
alt_alt	0.25_0.5	HH	826	0.249
alt_alt	0.25_0.5	CX	139	0.042
alt_alt	0.25_0.5	EC	38	0.011
alt_alt	0.25_0.5	HC	32	0.01
alt_alt	0.25_0.5	XX	22	0.007
alt_alt	0.25_0.5	EX	83	0.025
alt_alt	0.5_0.75	HX	149	0.02
alt_alt	0.5_0.75	CH	75	0.01
alt_alt	0.5_0.75	EH	3	0.0
alt_alt	0.5_0.75	CC	3393	0.449
alt_alt	0.5_0.75	XC	297	0.039
alt_alt	0.5_0.75	XH	150	0.02
alt_alt	0.5_0.75	EC	91	0.012
alt_alt	0.5_0.75	XE	164	0.022
alt_alt	0.5_0.75	EE	546	0.072
alt_alt	0.5_0.75	HH	2062	0.273
alt_alt	0.5_0.75	CX	280	0.037
alt_alt	0.5_0.75	CE	81	0.011
alt_alt	0.5_0.75	EX	163	0.022
alt_alt	0.5_0.75	HC	61	0.008
alt_alt	0.5_0.75	XX	49	0.006
alt_alt	0.75_1.01	HX	243	0.02
alt_alt	0.75_1.01	CH	112	0.009
alt_alt	0.75_1.01	EH	3	0.0
alt_alt	0.75_1.01	CC	5647	0.457
alt_alt	0.75_1.01	XC	464	0.038
alt_alt	0.75_1.01	XH	203	0.016
alt_alt	0.75_1.01	CE	110	0.009
alt_alt	0.75_1.01	XE	251	0.02
alt_alt	0.75_1.01	EE	850	0.069
alt_alt	0.75_1.01	HH	3375	0.273
alt_alt	0.75_1.01	CX	492	0.04
alt_alt	0.75_1.01	EC	130	0.011
alt_alt	0.75_1.01	HC	117	0.009
alt_alt	0.75_1.01	XX	67	0.005
alt_alt	0.75_1.01	EX	281	0.023
cons_alt	0_0.25	EC	6	0.011
cons_alt	0_0.25	XH	13	0.024
cons_alt	0_0.25	CH	11	0.02
cons_alt	0_0.25	CC	253	0.471
cons_alt	0_0.25	XC	20	0.037
cons_alt	0_0.25	XX	5	0.009
cons_alt	0_0.25	CE	2	0.004
cons_alt	0_0.25	XE	15	0.028
cons_alt	0_0.25	EE	31	0.058
cons_alt	0_0.25	HH	130	0.242
cons_alt	0_0.25	CX	27	0.05
cons_alt	0_0.25	EX	13	0.024
cons_alt	0_0.25	HX	9	0.017
cons_alt	0_0.25	HC	2	0.004
cons_alt	0.25_0.5	EC	19	0.01
cons_alt	0.25_0.5	HX	45	0.024
cons_alt	0.25_0.5	CH	23	0.012
cons_alt	0.25_0.5	CC	866	0.459
cons_alt	0.25_0.5	XC	81	0.043
cons_alt	0.25_0.5	XH	45	0.024
cons_alt	0.25_0.5	CE	22	0.012
cons_alt	0.25_0.5	XE	33	0.018
cons_alt	0.25_0.5	EE	121	0.064
cons_alt	0.25_0.5	HH	469	0.249
cons_alt	0.25_0.5	CX	82	0.044
cons_alt	0.25_0.5	EX	43	0.023
cons_alt	0.25_0.5	HC	16	0.008
