ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.5_0.75	CC	0_0.1	6	0.018	6	0.018
cons_cons	0.5_0.75	CC	0.101_0.2	30	0.089	36	0.107
cons_cons	0.5_0.75	CC	0.201_0.3	18	0.053	54	0.16
cons_cons	0.5_0.75	CC	0.301_0.4	45	0.133	99	0.293
cons_cons	0.5_0.75	CC	0.401_0.5	25	0.074	124	0.367
cons_cons	0.5_0.75	CC	0.501_0.6	14	0.041	138	0.408
cons_cons	0.5_0.75	CC	0.601_0.7	38	0.112	176	0.521
cons_cons	0.5_0.75	CC	0.701_0.8	18	0.053	194	0.574
cons_cons	0.5_0.75	CC	0.801_0.9	12	0.036	206	0.609
cons_cons	0.5_0.75	CC	0.901_1.0	132	0.391	338	1.0
cons_cons	0.5_0.75	EE	0_0.1	1	0.014	1	0.014
cons_cons	0.5_0.75	EE	0.101_0.2	15	0.214	16	0.229
cons_cons	0.5_0.75	EE	0.201_0.3	5	0.071	21	0.3
cons_cons	0.5_0.75	EE	0.301_0.4	18	0.257	39	0.557
cons_cons	0.5_0.75	EE	0.401_0.5	8	0.114	47	0.671
cons_cons	0.5_0.75	EE	0.501_0.6	0	0.0	47	0.671
cons_cons	0.5_0.75	EE	0.601_0.7	8	0.114	55	0.786
cons_cons	0.5_0.75	EE	0.701_0.8	3	0.043	58	0.829
cons_cons	0.5_0.75	EE	0.801_0.9	1	0.014	59	0.843
cons_cons	0.5_0.75	EE	0.901_1.0	11	0.157	70	1.0
cons_cons	0.5_0.75	HH	0_0.1	2	0.008	2	0.008
cons_cons	0.5_0.75	HH	0.101_0.2	24	0.1	26	0.108
cons_cons	0.5_0.75	HH	0.201_0.3	7	0.029	33	0.138
cons_cons	0.5_0.75	HH	0.301_0.4	47	0.196	80	0.333
cons_cons	0.5_0.75	HH	0.401_0.5	19	0.079	99	0.412
cons_cons	0.5_0.75	HH	0.501_0.6	7	0.029	106	0.442
cons_cons	0.5_0.75	HH	0.601_0.7	24	0.1	130	0.542
cons_cons	0.5_0.75	HH	0.701_0.8	14	0.058	144	0.6
cons_cons	0.5_0.75	HH	0.801_0.9	12	0.05	156	0.65
cons_cons	0.5_0.75	HH	0.901_1.0	84	0.35	240	1.0
cons_cons	0.25_0.5	CC	0_0.1	3	0.005	3	0.005
cons_cons	0.25_0.5	CC	0.101_0.2	34	0.06	37	0.066
cons_cons	0.25_0.5	CC	0.201_0.3	30	0.053	67	0.119
cons_cons	0.25_0.5	CC	0.301_0.4	55	0.098	122	0.217
cons_cons	0.25_0.5	CC	0.401_0.5	43	0.076	165	0.293
cons_cons	0.25_0.5	CC	0.501_0.6	17	0.03	182	0.323
cons_cons	0.25_0.5	CC	0.601_0.7	50	0.089	232	0.412
cons_cons	0.25_0.5	CC	0.701_0.8	37	0.066	269	0.478
cons_cons	0.25_0.5	CC	0.801_0.9	13	0.023	282	0.501
cons_cons	0.25_0.5	CC	0.901_1.0	281	0.499	563	1.0
cons_cons	0.25_0.5	EE	0_0.1	7	0.061	7	0.061
cons_cons	0.25_0.5	EE	0.101_0.2	15	0.132	22	0.193
cons_cons	0.25_0.5	EE	0.201_0.3	19	0.167	41	0.36
cons_cons	0.25_0.5	EE	0.301_0.4	29	0.254	70	0.614
cons_cons	0.25_0.5	EE	0.401_0.5	14	0.123	84	0.737
cons_cons	0.25_0.5	EE	0.501_0.6	5	0.044	89	0.781
cons_cons	0.25_0.5	EE	0.601_0.7	9	0.079	98	0.86
cons_cons	0.25_0.5	EE	0.701_0.8	3	0.026	101	0.886
cons_cons	0.25_0.5	EE	0.801_0.9	0	0.0	101	0.886
cons_cons	0.25_0.5	EE	0.901_1.0	13	0.114	114	1.0
cons_cons	0.25_0.5	HH	0_0.1	5	0.015	5	0.015
cons_cons	0.25_0.5	HH	0.101_0.2	30	0.093	35	0.108
cons_cons	0.25_0.5	HH	0.201_0.3	30	0.093	65	0.201
cons_cons	0.25_0.5	HH	0.301_0.4	46	0.142	111	0.344
cons_cons	0.25_0.5	HH	0.401_0.5	28	0.087	139	0.43
cons_cons	0.25_0.5	HH	0.501_0.6	18	0.056	157	0.486
cons_cons	0.25_0.5	HH	0.601_0.7	33	0.102	190	0.588
cons_cons	0.25_0.5	HH	0.701_0.8	21	0.065	211	0.653
cons_cons	0.25_0.5	HH	0.801_0.9	8	0.025	219	0.678
cons_cons	0.25_0.5	HH	0.901_1.0	104	0.322	323	1.0
cons_cons	0.75_1.01	CC	0_0.1	1268	0.043	1268	0.043
cons_cons	0.75_1.01	CC	0.101_0.2	3738	0.127	5006	0.17
cons_cons	0.75_1.01	CC	0.201_0.3	2660	0.09	7666	0.26
cons_cons	0.75_1.01	CC	0.301_0.4	2675	0.091	10341	0.351
cons_cons	0.75_1.01	CC	0.401_0.5	3002	0.102	13343	0.453
cons_cons	0.75_1.01	CC	0.501_0.6	1728	0.059	15071	0.511
cons_cons	0.75_1.01	CC	0.601_0.7	1525	0.052	16596	0.563
cons_cons	0.75_1.01	CC	0.701_0.8	2405	0.082	19001	0.645
cons_cons	0.75_1.01	CC	0.801_0.9	1905	0.065	20906	0.709
cons_cons	0.75_1.01	CC	0.901_1.0	8575	0.291	29481	1.0
cons_cons	0.75_1.01	EE	0_0.1	1237	0.144	1237	0.144
cons_cons	0.75_1.01	EE	0.101_0.2	2442	0.284	3679	0.428
cons_cons	0.75_1.01	EE	0.201_0.3	1409	0.164	5088	0.592
cons_cons	0.75_1.01	EE	0.301_0.4	987	0.115	6075	0.707
cons_cons	0.75_1.01	EE	0.401_0.5	838	0.098	6913	0.805
cons_cons	0.75_1.01	EE	0.501_0.6	364	0.042	7277	0.847
cons_cons	0.75_1.01	EE	0.601_0.7	295	0.034	7572	0.882
cons_cons	0.75_1.01	EE	0.701_0.8	336	0.039	7908	0.921
cons_cons	0.75_1.01	EE	0.801_0.9	210	0.024	8118	0.945
cons_cons	0.75_1.01	EE	0.901_1.0	470	0.055	8588	1.0
cons_cons	0.75_1.01	HH	0_0.1	1396	0.069	1396	0.069
cons_cons	0.75_1.01	HH	0.101_0.2	3192	0.157	4588	0.225
cons_cons	0.75_1.01	HH	0.201_0.3	2205	0.108	6793	0.334
cons_cons	0.75_1.01	HH	0.301_0.4	2013	0.099	8806	0.432
cons_cons	0.75_1.01	HH	0.401_0.5	2170	0.107	10976	0.539
cons_cons	0.75_1.01	HH	0.501_0.6	1269	0.062	12245	0.601
cons_cons	0.75_1.01	HH	0.601_0.7	1103	0.054	13348	0.656
