ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,26,0.17,4463,0.74,0.15,0.12,0,0,0,0,0.5,0.08,0.42
-50_-40,13,0.08,615,0.59,0.25,0.17,0,0,0,0,0.31,0.15,0.54
-40_-30,7,0.05,252,0.49,0.19,0.32,0,0,0,0,0.29,0.0,0.71
-30_-20,20,0.13,532,0.68,0.2,0.12,0,0,0,0,0.25,0.0,0.75
-20_-10,7,0.05,124,0.57,0.19,0.23,0,0,0,0,0.57,0.0,0.43
-10_-5,11,0.07,88,0.61,0.09,0.3,0,0,0,0,0.64,0.0,0.36
-5_-2,5,0.03,21,0.24,0.76,0.0,0,0,0,0,0.0,0.0,1.0
3_5,6,0.04,20,0.6,0.3,0.1,0,0,0,0,0.33,0.33,0.33
5_10,12,0.08,84,0.48,0.25,0.27,0,0,0,0,0.67,0.33,0.0
10_20,16,0.1,216,0.69,0.24,0.07,0,0,0,0,0.69,0.19,0.13
20_30,12,0.08,287,0.66,0.05,0.29,0,0,0,0,0.17,0.25,0.58
30_40,3,0.02,104,0.63,0.37,0.01,0,0,0,0,0.67,0.0,0.33
40_50,4,0.03,183,0.93,0.01,0.07,0,0,0,0,0.75,0.0,0.25
50_+,12,0.08,1655,0.38,0.37,0.25,0,0,0,0,0.17,0.25,0.58
