Position_affected,Total,Freq
0.0,6,0.039
0.001,6,0.039
0.002,6,0.039
0.003,6,0.039
0.004,6,0.039
0.005,6,0.039
0.006,6,0.039
0.007,6,0.039
0.008,6,0.039
0.009000000000000001,6,0.039
0.01,16,0.104
0.011,16,0.104
0.012,16,0.104
0.013000000000000001,16,0.104
0.014,16,0.104
0.015,16,0.104
0.016,16,0.104
0.017,16,0.104
0.018000000000000002,16,0.104
0.019,16,0.104
0.02,24,0.156
0.021,24,0.156
0.022,24,0.156
0.023,24,0.156
0.024,24,0.156
0.025,24,0.156
0.026000000000000002,24,0.156
0.027,24,0.156
0.028,24,0.156
0.029,24,0.156
0.03,28,0.182
0.031,28,0.182
0.032,28,0.182
0.033,28,0.182
0.034,28,0.182
0.035,28,0.182
0.036000000000000004,28,0.182
0.037,28,0.182
0.038,28,0.182
0.039,28,0.182
0.04,30,0.195
0.041,30,0.195
0.042,30,0.195
0.043000000000000003,30,0.195
0.044,30,0.195
0.045,30,0.195
0.046,30,0.195
0.047,30,0.195
0.048,30,0.195
0.049,30,0.195
0.05,31,0.201
0.051000000000000004,31,0.201
0.052000000000000005,31,0.201
0.053,31,0.201
0.054,31,0.201
0.055,31,0.201
0.056,31,0.201
0.057,31,0.201
0.058,31,0.201
0.059000000000000004,31,0.201
0.06,32,0.208
0.061,32,0.208
0.062,32,0.208
0.063,32,0.208
0.064,32,0.208
0.065,32,0.208
0.066,32,0.208
0.067,32,0.208
0.068,32,0.208
0.069,32,0.208
0.07,36,0.234
0.07100000000000001,36,0.234
0.07200000000000001,36,0.234
0.073,36,0.234
0.074,36,0.234
0.075,36,0.234
0.076,36,0.234
0.077,36,0.234
0.078,36,0.234
0.079,36,0.234
0.08,38,0.247
0.081,38,0.247
0.082,38,0.247
0.083,38,0.247
0.084,38,0.247
0.085,38,0.247
0.08600000000000001,38,0.247
0.08700000000000001,38,0.247
0.088,38,0.247
0.089,38,0.247
0.09,40,0.26
0.091,40,0.26
0.092,40,0.26
0.093,40,0.26
0.094,40,0.26
0.095,40,0.26
0.096,40,0.26
0.097,40,0.26
0.098,40,0.26
0.099,40,0.26
0.1,43,0.279
0.101,43,0.279
0.10200000000000001,43,0.279
0.10300000000000001,43,0.279
0.10400000000000001,43,0.279
0.105,43,0.279
0.106,43,0.279
0.107,43,0.279
0.108,43,0.279
0.109,43,0.279
0.11,45,0.292
0.111,45,0.292
0.112,45,0.292
0.113,45,0.292
0.114,45,0.292
0.115,45,0.292
0.116,45,0.292
0.117,45,0.292
0.11800000000000001,45,0.292
0.11900000000000001,45,0.292
0.12,48,0.312
0.121,48,0.312
0.122,48,0.312
0.123,48,0.312
0.124,48,0.312
0.125,48,0.312
0.126,48,0.312
0.127,48,0.312
0.128,48,0.312
0.129,48,0.312
0.13,50,0.325
0.131,50,0.325
0.132,50,0.325
0.133,50,0.325
0.134,50,0.325
0.135,50,0.325
0.136,50,0.325
0.137,50,0.325
0.138,50,0.325
0.139,50,0.325
0.14,52,0.338
0.14100000000000001,52,0.338
0.14200000000000002,52,0.338
0.14300000000000002,52,0.338
0.14400000000000002,52,0.338
0.145,52,0.338
0.146,52,0.338
0.147,52,0.338
0.148,52,0.338
0.149,52,0.338
0.15,54,0.351
0.151,54,0.351
0.152,54,0.351
0.153,54,0.351
0.154,54,0.351
0.155,54,0.351
0.156,54,0.351
0.157,54,0.351
0.158,54,0.351
0.159,54,0.351
0.16,56,0.364
0.161,56,0.364
0.162,56,0.364
0.163,56,0.364
0.164,56,0.364
0.165,56,0.364
0.166,56,0.364
0.167,56,0.364
0.168,56,0.364
0.169,56,0.364
0.17,56,0.364
0.171,56,0.364
0.17200000000000001,56,0.364
0.17300000000000001,56,0.364
0.17400000000000002,56,0.364
0.17500000000000002,56,0.364
0.176,56,0.364
0.177,56,0.364
0.178,56,0.364
0.179,56,0.364
0.18,57,0.37
0.181,57,0.37
0.182,57,0.37
0.183,57,0.37
0.184,57,0.37
0.185,57,0.37
0.186,57,0.37
0.187,57,0.37
0.188,57,0.37
0.189,57,0.37
0.19,57,0.37
0.191,57,0.37
0.192,57,0.37
0.193,57,0.37
0.194,57,0.37
0.195,57,0.37
0.196,57,0.37
0.197,57,0.37
0.198,57,0.37
0.199,57,0.37
0.2,57,0.37
0.201,57,0.37
0.202,57,0.37
0.203,57,0.37
0.20400000000000001,57,0.37
0.20500000000000002,57,0.37
0.20600000000000002,57,0.37
0.20700000000000002,57,0.37
0.20800000000000002,57,0.37
0.209,57,0.37
0.21,58,0.377
0.211,58,0.377
0.212,58,0.377
0.213,58,0.377
0.214,58,0.377
0.215,58,0.377
0.216,58,0.377
0.217,58,0.377
0.218,58,0.377
0.219,58,0.377
0.22,59,0.383
0.221,59,0.383
0.222,59,0.383
0.223,59,0.383
0.224,59,0.383
0.225,59,0.383
0.226,59,0.383
0.227,59,0.383
0.228,59,0.383
0.229,59,0.383
0.23,62,0.403
0.231,62,0.403
0.232,62,0.403
0.233,62,0.403
0.234,62,0.403
0.23500000000000001,62,0.403
0.23600000000000002,62,0.403
0.23700000000000002,62,0.403
0.23800000000000002,62,0.403
0.23900000000000002,62,0.403
0.24,63,0.409
0.241,63,0.409
0.242,63,0.409
0.243,63,0.409
0.244,63,0.409
0.245,63,0.409
0.246,63,0.409
0.247,63,0.409
0.248,63,0.409
0.249,63,0.409
0.25,63,0.409
0.251,63,0.409
0.252,63,0.409
0.253,63,0.409
0.254,63,0.409
0.255,63,0.409
0.256,63,0.409
0.257,63,0.409
0.258,63,0.409
0.259,63,0.409
0.26,63,0.409
0.261,63,0.409
0.262,63,0.409
0.263,63,0.409
0.264,63,0.409
0.265,63,0.409
0.266,63,0.409
0.267,63,0.409
0.268,63,0.409
0.269,63,0.409
0.27,63,0.409
0.271,63,0.409
0.272,63,0.409
0.273,63,0.409
0.274,63,0.409
0.275,63,0.409
0.276,63,0.409
0.277,63,0.409
0.278,63,0.409
0.279,63,0.409
0.28,64,0.416
0.281,64,0.416
0.28200000000000003,64,0.416
0.28300000000000003,64,0.416
0.28400000000000003,64,0.416
0.28500000000000003,64,0.416
0.28600000000000003,64,0.416
0.28700000000000003,64,0.416
0.28800000000000003,64,0.416
0.289,64,0.416
0.29,65,0.422
0.291,65,0.422
0.292,65,0.422
0.293,65,0.422
0.294,65,0.422
0.295,65,0.422
0.296,65,0.422
0.297,65,0.422
0.298,65,0.422
0.299,65,0.422
0.3,65,0.422
0.301,65,0.422
0.302,65,0.422
0.303,65,0.422
0.304,65,0.422
0.305,65,0.422
0.306,65,0.422
0.307,65,0.422
0.308,65,0.422
0.309,65,0.422
0.31,65,0.422
0.311,65,0.422
0.312,65,0.422
0.313,65,0.422
0.314,65,0.422
0.315,65,0.422
0.316,65,0.422
0.317,65,0.422
0.318,65,0.422
0.319,65,0.422
0.32,65,0.422
0.321,65,0.422
0.322,65,0.422
0.323,65,0.422
0.324,65,0.422
0.325,65,0.422
0.326,65,0.422
0.327,65,0.422
0.328,65,0.422
0.329,65,0.422
0.33,65,0.422
0.331,65,0.422
0.332,65,0.422
0.333,65,0.422
0.334,65,0.422
0.335,65,0.422
0.336,65,0.422
0.337,65,0.422
0.338,65,0.422
0.339,65,0.422
0.34,65,0.422
0.341,65,0.422
0.342,65,0.422
0.343,65,0.422
0.34400000000000003,65,0.422
0.34500000000000003,65,0.422
0.34600000000000003,65,0.422
0.34700000000000003,65,0.422
0.34800000000000003,65,0.422
0.34900000000000003,65,0.422
0.35000000000000003,65,0.422
0.35100000000000003,65,0.422
0.352,65,0.422
0.353,65,0.422
0.354,65,0.422
0.355,65,0.422
0.356,65,0.422
0.357,65,0.422
0.358,65,0.422
0.359,65,0.422
0.36,67,0.435
0.361,67,0.435
0.362,67,0.435
0.363,67,0.435
0.364,67,0.435
0.365,67,0.435
0.366,67,0.435
0.367,67,0.435
0.368,67,0.435
0.369,67,0.435
0.37,67,0.435
0.371,67,0.435
0.372,67,0.435
0.373,67,0.435
0.374,67,0.435
0.375,67,0.435
0.376,67,0.435
0.377,67,0.435
0.378,67,0.435
0.379,67,0.435
0.38,67,0.435
0.381,67,0.435
0.382,67,0.435
0.383,67,0.435
0.384,67,0.435
0.385,67,0.435
0.386,67,0.435
0.387,67,0.435
0.388,67,0.435
0.389,67,0.435
0.39,67,0.435
0.391,67,0.435
0.392,67,0.435
0.393,67,0.435
0.394,67,0.435
0.395,67,0.435
0.396,67,0.435
0.397,67,0.435
0.398,67,0.435
0.399,67,0.435
0.4,67,0.435
0.401,67,0.435
0.402,67,0.435
0.403,67,0.435
0.404,67,0.435
0.405,67,0.435
0.406,67,0.435
0.40700000000000003,67,0.435
0.40800000000000003,67,0.435
0.40900000000000003,67,0.435
0.41000000000000003,67,0.435
0.41100000000000003,67,0.435
0.41200000000000003,67,0.435
0.41300000000000003,67,0.435
0.41400000000000003,67,0.435
0.41500000000000004,67,0.435
0.41600000000000004,67,0.435
0.417,67,0.435
0.418,67,0.435
0.419,67,0.435
0.42,67,0.435
0.421,67,0.435
0.422,67,0.435
0.423,67,0.435
0.424,67,0.435
0.425,67,0.435
0.426,67,0.435
0.427,67,0.435
0.428,67,0.435
0.429,67,0.435
0.43,67,0.435
0.431,67,0.435
0.432,67,0.435
0.433,67,0.435
0.434,67,0.435
0.435,67,0.435
0.436,67,0.435
0.437,67,0.435
0.438,67,0.435
0.439,67,0.435
0.44,67,0.435
0.441,67,0.435
0.442,67,0.435
0.443,67,0.435
0.444,67,0.435
0.445,67,0.435
0.446,67,0.435
0.447,67,0.435
0.448,67,0.435
0.449,67,0.435
0.45,68,0.442
0.451,68,0.442
0.452,68,0.442
0.453,68,0.442
0.454,68,0.442
0.455,68,0.442
0.456,68,0.442
0.457,68,0.442
0.458,68,0.442
0.459,68,0.442
0.46,70,0.455
0.461,70,0.455
0.462,70,0.455
0.463,70,0.455
0.464,70,0.455
0.465,70,0.455
0.466,70,0.455
0.467,70,0.455
0.468,70,0.455
0.46900000000000003,70,0.455
0.47000000000000003,71,0.461
0.47100000000000003,71,0.461
0.47200000000000003,71,0.461
0.47300000000000003,71,0.461
0.47400000000000003,71,0.461
0.47500000000000003,71,0.461
0.47600000000000003,71,0.461
0.47700000000000004,71,0.461
0.47800000000000004,71,0.461
0.47900000000000004,71,0.461
0.48,72,0.468
0.481,72,0.468
0.482,72,0.468
0.483,72,0.468
0.484,72,0.468
0.485,72,0.468
0.486,72,0.468
0.487,72,0.468
0.488,72,0.468
0.489,72,0.468
0.49,72,0.468
0.491,72,0.468
0.492,72,0.468
0.493,72,0.468
0.494,72,0.468
0.495,72,0.468
0.496,72,0.468
0.497,72,0.468
0.498,72,0.468
0.499,72,0.468
0.5,73,0.474
0.501,73,0.474
0.502,73,0.474
0.503,73,0.474
0.504,73,0.474
0.505,73,0.474
0.506,73,0.474
0.507,73,0.474
0.508,73,0.474
0.509,73,0.474
0.51,73,0.474
0.511,73,0.474
0.512,73,0.474
0.513,73,0.474
0.514,73,0.474
0.515,73,0.474
0.516,73,0.474
0.517,73,0.474
0.518,73,0.474
0.519,73,0.474
0.52,74,0.481
0.521,74,0.481
0.522,74,0.481
0.523,74,0.481
0.524,74,0.481
0.525,74,0.481
0.526,74,0.481
0.527,74,0.481
0.528,74,0.481
0.529,74,0.481
0.53,74,0.481
0.531,74,0.481
0.532,74,0.481
0.533,74,0.481
0.534,74,0.481
0.535,74,0.481
0.536,74,0.481
0.537,74,0.481
0.538,74,0.481
0.539,74,0.481
0.54,75,0.487
0.541,75,0.487
0.542,75,0.487
0.543,75,0.487
0.544,75,0.487
0.545,75,0.487
0.546,75,0.487
0.547,75,0.487
0.548,75,0.487
0.549,75,0.487
0.55,75,0.487
0.551,75,0.487
0.552,75,0.487
0.553,75,0.487
0.554,75,0.487
0.555,75,0.487
0.556,75,0.487
0.557,75,0.487
0.558,75,0.487
0.559,75,0.487
0.56,75,0.487
0.561,75,0.487
0.562,75,0.487
0.5630000000000001,75,0.487
0.5640000000000001,75,0.487
0.5650000000000001,75,0.487
0.5660000000000001,75,0.487
0.5670000000000001,75,0.487
0.5680000000000001,75,0.487
0.5690000000000001,75,0.487
0.5700000000000001,76,0.494
0.5710000000000001,76,0.494
0.5720000000000001,76,0.494
0.5730000000000001,76,0.494
0.5740000000000001,76,0.494
0.5750000000000001,76,0.494
0.5760000000000001,76,0.494
0.577,76,0.494
0.578,76,0.494
0.579,76,0.494
0.58,76,0.494
0.581,76,0.494
0.582,76,0.494
0.583,76,0.494
0.584,76,0.494
0.585,76,0.494
0.586,76,0.494
0.587,76,0.494
0.588,76,0.494
0.589,76,0.494
0.59,76,0.494
0.591,76,0.494
0.592,76,0.494
0.593,76,0.494
0.594,76,0.494
0.595,76,0.494
0.596,76,0.494
0.597,76,0.494
0.598,76,0.494
0.599,76,0.494
0.6,76,0.494
0.601,76,0.494
0.602,76,0.494
0.603,76,0.494
0.604,76,0.494
0.605,76,0.494
0.606,76,0.494
0.607,76,0.494
0.608,76,0.494
0.609,76,0.494
0.61,77,0.5
0.611,77,0.5
0.612,77,0.5
0.613,77,0.5
0.614,77,0.5
0.615,77,0.5
0.616,77,0.5
0.617,77,0.5
0.618,77,0.5
0.619,77,0.5
0.62,77,0.5
0.621,77,0.5
0.622,77,0.5
0.623,77,0.5
0.624,77,0.5
0.625,77,0.5
0.626,77,0.5
0.627,77,0.5
0.628,77,0.5
0.629,77,0.5
0.63,77,0.5
0.631,77,0.5
0.632,77,0.5
0.633,77,0.5
0.634,77,0.5
0.635,77,0.5
0.636,77,0.5
0.637,77,0.5
0.638,77,0.5
0.639,77,0.5
0.64,77,0.5
0.641,77,0.5
0.642,77,0.5
0.643,77,0.5
0.644,77,0.5
0.645,77,0.5
0.646,77,0.5
0.647,77,0.5
0.648,77,0.5
0.649,77,0.5
0.65,77,0.5
0.651,77,0.5
0.652,77,0.5
0.653,77,0.5
0.654,77,0.5
0.655,77,0.5
0.656,77,0.5
0.657,77,0.5
0.658,77,0.5
0.659,77,0.5
0.66,77,0.5
0.661,77,0.5
0.662,77,0.5
0.663,77,0.5
0.664,77,0.5
0.665,77,0.5
0.666,77,0.5
0.667,77,0.5
0.668,77,0.5
0.669,77,0.5
0.67,81,0.526
0.671,81,0.526
0.672,81,0.526
0.673,81,0.526
0.674,81,0.526
0.675,81,0.526
0.676,81,0.526
0.677,81,0.526
0.678,81,0.526
0.679,81,0.526
0.68,82,0.532
0.681,82,0.532
0.682,82,0.532
0.683,82,0.532
0.684,82,0.532
0.685,82,0.532
0.686,82,0.532
0.687,82,0.532
0.6880000000000001,82,0.532
0.6890000000000001,82,0.532
0.6900000000000001,82,0.532
0.6910000000000001,82,0.532
0.6920000000000001,82,0.532
0.6930000000000001,82,0.532
0.6940000000000001,82,0.532
0.6950000000000001,82,0.532
0.6960000000000001,82,0.532
0.6970000000000001,82,0.532
0.6980000000000001,82,0.532
0.6990000000000001,82,0.532
0.7000000000000001,84,0.545
0.7010000000000001,84,0.545
0.7020000000000001,84,0.545
0.7030000000000001,84,0.545
0.704,84,0.545
0.705,84,0.545
0.706,84,0.545
0.707,84,0.545
0.708,84,0.545
0.709,84,0.545
0.71,86,0.558
0.711,86,0.558
0.712,86,0.558
0.713,86,0.558
0.714,86,0.558
0.715,86,0.558
0.716,86,0.558
0.717,86,0.558
0.718,86,0.558
0.719,86,0.558
0.72,88,0.571
0.721,88,0.571
0.722,88,0.571
0.723,88,0.571
0.724,88,0.571
0.725,88,0.571
0.726,88,0.571
0.727,88,0.571
0.728,88,0.571
0.729,88,0.571
0.73,88,0.571
0.731,88,0.571
0.732,88,0.571
0.733,88,0.571
0.734,88,0.571
0.735,88,0.571
0.736,88,0.571
0.737,88,0.571
0.738,88,0.571
0.739,88,0.571
0.74,89,0.578
0.741,89,0.578
0.742,89,0.578
0.743,89,0.578
0.744,89,0.578
0.745,89,0.578
0.746,89,0.578
0.747,89,0.578
0.748,89,0.578
0.749,89,0.578
0.75,90,0.584
0.751,90,0.584
0.752,90,0.584
0.753,90,0.584
0.754,90,0.584
0.755,90,0.584
0.756,90,0.584
0.757,90,0.584
0.758,90,0.584
0.759,90,0.584
0.76,91,0.591
0.761,91,0.591
0.762,91,0.591
0.763,91,0.591
0.764,91,0.591
0.765,91,0.591
0.766,91,0.591
0.767,91,0.591
0.768,91,0.591
0.769,91,0.591
0.77,93,0.604
0.771,93,0.604
0.772,93,0.604
0.773,93,0.604
0.774,93,0.604
0.775,93,0.604
0.776,93,0.604
0.777,93,0.604
0.778,93,0.604
0.779,93,0.604
0.78,94,0.61
0.781,94,0.61
0.782,94,0.61
0.783,94,0.61
0.784,94,0.61
0.785,94,0.61
0.786,94,0.61
0.787,94,0.61
0.788,94,0.61
0.789,94,0.61
0.79,95,0.617
0.791,95,0.617
0.792,95,0.617
0.793,95,0.617
0.794,95,0.617
0.795,95,0.617
0.796,95,0.617
0.797,95,0.617
0.798,95,0.617
0.799,95,0.617
0.8,96,0.623
0.801,96,0.623
0.802,96,0.623
0.803,96,0.623
0.804,96,0.623
0.805,96,0.623
0.806,96,0.623
0.807,96,0.623
0.808,96,0.623
0.809,96,0.623
0.81,100,0.649
0.811,100,0.649
0.812,100,0.649
0.8130000000000001,100,0.649
0.8140000000000001,100,0.649
0.8150000000000001,100,0.649
0.8160000000000001,100,0.649
0.8170000000000001,100,0.649
0.8180000000000001,100,0.649
0.8190000000000001,100,0.649
0.8200000000000001,102,0.662
0.8210000000000001,102,0.662
0.8220000000000001,102,0.662
0.8230000000000001,102,0.662
0.8240000000000001,102,0.662
0.8250000000000001,102,0.662
0.8260000000000001,102,0.662
0.8270000000000001,102,0.662
0.8280000000000001,102,0.662
0.8290000000000001,102,0.662
0.8300000000000001,104,0.675
0.8310000000000001,104,0.675
0.8320000000000001,104,0.675
0.833,104,0.675
0.834,104,0.675
0.835,104,0.675
0.836,104,0.675
0.837,104,0.675
0.838,104,0.675
0.839,104,0.675
0.84,107,0.695
0.841,107,0.695
0.842,107,0.695
0.843,107,0.695
0.844,107,0.695
0.845,107,0.695
0.846,107,0.695
0.847,107,0.695
0.848,107,0.695
0.849,107,0.695
0.85,109,0.708
0.851,109,0.708
0.852,109,0.708
0.853,109,0.708
0.854,109,0.708
0.855,109,0.708
0.856,109,0.708
0.857,109,0.708
0.858,109,0.708
0.859,109,0.708
0.86,111,0.721
0.861,111,0.721
0.862,111,0.721
0.863,111,0.721
0.864,111,0.721
0.865,111,0.721
0.866,111,0.721
0.867,111,0.721
0.868,111,0.721
0.869,111,0.721
0.87,112,0.727
0.871,112,0.727
0.872,112,0.727
0.873,112,0.727
0.874,112,0.727
0.875,112,0.727
0.876,112,0.727
0.877,112,0.727
0.878,112,0.727
0.879,112,0.727
0.88,113,0.734
0.881,113,0.734
0.882,113,0.734
0.883,113,0.734
0.884,113,0.734
0.885,113,0.734
0.886,113,0.734
0.887,113,0.734
0.888,113,0.734
0.889,113,0.734
0.89,116,0.753
0.891,116,0.753
0.892,116,0.753
0.893,116,0.753
0.894,116,0.753
0.895,116,0.753
0.896,116,0.753
0.897,116,0.753
0.898,116,0.753
0.899,116,0.753
0.9,117,0.76
0.901,117,0.76
0.902,117,0.76
0.903,117,0.76
0.904,117,0.76
0.905,117,0.76
0.906,117,0.76
0.907,117,0.76
0.908,117,0.76
0.909,117,0.76
0.91,121,0.786
0.911,121,0.786
0.912,121,0.786
0.913,121,0.786
0.914,121,0.786
0.915,121,0.786
0.916,121,0.786
0.917,121,0.786
0.918,121,0.786
0.919,121,0.786
0.92,124,0.805
0.921,124,0.805
0.922,124,0.805
0.923,124,0.805
0.924,124,0.805
0.925,124,0.805
0.926,124,0.805
0.927,124,0.805
0.928,124,0.805
0.929,124,0.805
0.93,129,0.838
0.931,129,0.838
0.932,129,0.838
0.933,129,0.838
0.934,129,0.838
0.935,129,0.838
0.936,129,0.838
0.937,129,0.838
0.9380000000000001,129,0.838
0.9390000000000001,129,0.838
0.9400000000000001,130,0.844
0.9410000000000001,130,0.844
0.9420000000000001,130,0.844
0.9430000000000001,130,0.844
0.9440000000000001,130,0.844
0.9450000000000001,130,0.844
0.9460000000000001,130,0.844
0.9470000000000001,130,0.844
0.9480000000000001,130,0.844
0.9490000000000001,130,0.844
0.9500000000000001,131,0.851
0.9510000000000001,131,0.851
0.9520000000000001,131,0.851
0.9530000000000001,131,0.851
0.9540000000000001,131,0.851
0.9550000000000001,131,0.851
0.9560000000000001,131,0.851
0.9570000000000001,131,0.851
0.9580000000000001,131,0.851
0.9590000000000001,131,0.851
0.96,135,0.877
0.961,135,0.877
0.962,135,0.877
0.963,135,0.877
0.964,135,0.877
0.965,135,0.877
0.966,135,0.877
0.967,135,0.877
0.968,135,0.877
0.969,135,0.877
0.97,141,0.916
0.971,141,0.916
0.972,141,0.916
0.973,141,0.916
0.974,141,0.916
0.975,141,0.916
0.976,141,0.916
0.977,141,0.916
0.978,141,0.916
0.979,141,0.916
0.98,147,0.955
0.981,147,0.955
0.982,147,0.955
0.983,147,0.955
0.984,147,0.955
0.985,147,0.955
0.986,147,0.955
0.987,147,0.955
0.988,147,0.955
0.989,147,0.955
0.99,152,0.987
0.991,152,0.987
0.992,152,0.987
0.993,152,0.987
0.994,152,0.987
0.995,152,0.987
0.996,152,0.987
0.997,152,0.987
0.998,152,0.987
0.999,152,0.987
1.0,154,1.0
