ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,258,0.13,40209,0.71,0.21,0.09,232,0.16,0.39,0.18,0.28,0.25,0.48
-50_-40,62,0.03,2869,0.62,0.19,0.19,0,0,0,0,0.1,0.11,0.79
-40_-30,82,0.04,2844,0.59,0.28,0.13,0,0,0,0,0.32,0.2,0.49
-30_-20,152,0.07,3861,0.54,0.32,0.14,27,0.0,0.0,0.0,0.3,0.26,0.45
-20_-10,230,0.11,3418,0.57,0.3,0.13,0,0,0,0,0.23,0.34,0.43
-10_-5,178,0.09,1384,0.55,0.31,0.14,0,0,0,0,0.35,0.29,0.36
-5_-2,183,0.09,735,0.61,0.29,0.1,14,0.79,0.0,0.0,0.26,0.43,0.32
3_5,107,0.05,370,0.65,0.32,0.04,3,0.0,0.0,1.0,0.21,0.46,0.33
5_10,210,0.1,1457,0.51,0.3,0.19,0,0,0,0,0.26,0.28,0.46
10_20,246,0.12,3472,0.58,0.27,0.15,0,0,0,0,0.23,0.25,0.52
20_30,92,0.04,2318,0.56,0.27,0.17,0,0,0,0,0.18,0.07,0.75
30_40,67,0.03,2285,0.59,0.28,0.13,0,0,0,0,0.18,0.01,0.81
40_50,48,0.02,2175,0.53,0.31,0.15,0,0,0,0,0.06,0.33,0.6
50_+,134,0.07,28498,0.8,0.12,0.08,54,0.3,0.0,0.7,0.04,0.13,0.82
