Position_affected,Total,Freq
0.0,3,0.001
0.001,3,0.001
0.002,3,0.001
0.003,3,0.001
0.004,3,0.001
0.005,3,0.001
0.006,3,0.001
0.007,3,0.001
0.008,3,0.001
0.009000000000000001,3,0.001
0.01,9,0.004
0.011,9,0.004
0.012,9,0.004
0.013000000000000001,9,0.004
0.014,9,0.004
0.015,9,0.004
0.016,9,0.004
0.017,9,0.004
0.018000000000000002,9,0.004
0.019,9,0.004
0.02,20,0.01
0.021,20,0.01
0.022,20,0.01
0.023,20,0.01
0.024,20,0.01
0.025,20,0.01
0.026000000000000002,20,0.01
0.027,20,0.01
0.028,20,0.01
0.029,20,0.01
0.03,23,0.011
0.031,23,0.011
0.032,23,0.011
0.033,23,0.011
0.034,23,0.011
0.035,23,0.011
0.036000000000000004,23,0.011
0.037,23,0.011
0.038,23,0.011
0.039,23,0.011
0.04,41,0.02
0.041,41,0.02
0.042,41,0.02
0.043000000000000003,41,0.02
0.044,41,0.02
0.045,41,0.02
0.046,41,0.02
0.047,41,0.02
0.048,41,0.02
0.049,41,0.02
0.05,55,0.027
0.051000000000000004,55,0.027
0.052000000000000005,55,0.027
0.053,55,0.027
0.054,55,0.027
0.055,55,0.027
0.056,55,0.027
0.057,55,0.027
0.058,55,0.027
0.059000000000000004,55,0.027
0.06,76,0.037
0.061,76,0.037
0.062,76,0.037
0.063,76,0.037
0.064,76,0.037
0.065,76,0.037
0.066,76,0.037
0.067,76,0.037
0.068,76,0.037
0.069,76,0.037
0.07,96,0.047
0.07100000000000001,96,0.047
0.07200000000000001,96,0.047
0.073,96,0.047
0.074,96,0.047
0.075,96,0.047
0.076,96,0.047
0.077,96,0.047
0.078,96,0.047
0.079,96,0.047
0.08,112,0.055
0.081,112,0.055
0.082,112,0.055
0.083,112,0.055
0.084,112,0.055
0.085,112,0.055
0.08600000000000001,112,0.055
0.08700000000000001,112,0.055
0.088,112,0.055
0.089,112,0.055
0.09,136,0.066
0.091,136,0.066
0.092,136,0.066
0.093,136,0.066
0.094,136,0.066
0.095,136,0.066
0.096,136,0.066
0.097,136,0.066
0.098,136,0.066
0.099,136,0.066
0.1,154,0.075
0.101,154,0.075
0.10200000000000001,154,0.075
0.10300000000000001,154,0.075
0.10400000000000001,154,0.075
0.105,154,0.075
0.106,154,0.075
0.107,154,0.075
0.108,154,0.075
0.109,154,0.075
0.11,164,0.08
0.111,164,0.08
0.112,164,0.08
0.113,164,0.08
0.114,164,0.08
0.115,164,0.08
0.116,164,0.08
0.117,164,0.08
0.11800000000000001,164,0.08
0.11900000000000001,164,0.08
0.12,176,0.086
