ChangeInLength,TotalCases,Frequency,SSeqLength,Css,Hss,Ess,StrideLength,Cst,Hst,Est,Nter,Middle,Cter
-_-50,305,0.09,36196,0.73,0.19,0.08,204,0.69,0.0,0.0,0.78,0.2,0.02
-50_-40,127,0.04,5757,0.62,0.28,0.1,261,0.18,0.0,0.0,0.85,0.07,0.08
-40_-30,193,0.06,6818,0.62,0.25,0.13,189,0.0,0.0,0.0,0.82,0.15,0.03
-30_-20,272,0.08,6864,0.6,0.29,0.11,78,0.0,0.0,0.0,0.74,0.2,0.07
-20_-10,504,0.15,7439,0.59,0.29,0.12,183,0.12,0.0,0.08,0.69,0.24,0.07
-10_-5,294,0.09,2291,0.62,0.3,0.08,60,0.0,0.0,0.0,0.69,0.24,0.07
-5_-2,245,0.07,1004,0.7,0.24,0.07,25,0.2,0.0,0.16,0.65,0.24,0.11
3_5,84,0.03,315,0.69,0.12,0.19,34,0.0,0.0,0.0,0.64,0.33,0.02
5_10,421,0.13,2937,0.69,0.2,0.11,113,0.11,0.0,0.0,0.64,0.3,0.06
10_20,344,0.1,4922,0.67,0.21,0.12,142,0.05,0.04,0.06,0.63,0.31,0.06
20_30,193,0.06,4616,0.7,0.21,0.09,92,0.0,0.0,0.0,0.79,0.2,0.01
30_40,106,0.03,3670,0.7,0.2,0.1,133,0.0,0.0,0.0,0.82,0.18,0.0
40_50,61,0.02,2692,0.8,0.11,0.09,42,0.0,0.0,0.0,0.9,0.08,0.02
50_+,195,0.06,23221,0.85,0.1,0.05,1026,0.0,0.0,0.0,0.9,0.1,0.0
