Position_affected,Total,Freq
0.0,1207,0.361
0.001,1207,0.361
0.002,1207,0.361
0.003,1207,0.361
0.004,1207,0.361
0.005,1207,0.361
0.006,1207,0.361
0.007,1207,0.361
0.008,1207,0.361
0.009000000000000001,1207,0.361
0.01,1267,0.379
0.011,1267,0.379
0.012,1267,0.379
0.013000000000000001,1267,0.379
0.014,1267,0.379
0.015,1267,0.379
0.016,1267,0.379
0.017,1267,0.379
0.018000000000000002,1267,0.379
0.019,1267,0.379
0.02,1330,0.398
0.021,1330,0.398
0.022,1330,0.398
0.023,1330,0.398
0.024,1330,0.398
0.025,1330,0.398
0.026000000000000002,1330,0.398
0.027,1330,0.398
0.028,1330,0.398
0.029,1330,0.398
0.03,1381,0.413
0.031,1381,0.413
0.032,1381,0.413
0.033,1381,0.413
0.034,1381,0.413
0.035,1381,0.413
0.036000000000000004,1381,0.413
0.037,1381,0.413
0.038,1381,0.413
0.039,1381,0.413
0.04,1440,0.431
0.041,1440,0.431
0.042,1440,0.431
0.043000000000000003,1440,0.431
0.044,1440,0.431
0.045,1440,0.431
0.046,1440,0.431
0.047,1440,0.431
0.048,1440,0.431
0.049,1440,0.431
0.05,1497,0.448
0.051000000000000004,1497,0.448
0.052000000000000005,1497,0.448
0.053,1497,0.448
0.054,1497,0.448
0.055,1497,0.448
0.056,1497,0.448
0.057,1497,0.448
0.058,1497,0.448
0.059000000000000004,1497,0.448
0.06,1542,0.461
0.061,1542,0.461
0.062,1542,0.461
0.063,1542,0.461
0.064,1542,0.461
0.065,1542,0.461
0.066,1542,0.461
0.067,1542,0.461
0.068,1542,0.461
0.069,1542,0.461
0.07,1586,0.474
0.07100000000000001,1586,0.474
0.07200000000000001,1586,0.474
0.073,1586,0.474
0.074,1586,0.474
0.075,1586,0.474
0.076,1586,0.474
0.077,1586,0.474
0.078,1586,0.474
0.079,1586,0.474
0.08,1633,0.488
0.081,1633,0.488
0.082,1633,0.488
0.083,1633,0.488
0.084,1633,0.488
0.085,1633,0.488
0.08600000000000001,1633,0.488
0.08700000000000001,1633,0.488
0.088,1633,0.488
0.089,1633,0.488
0.09,1677,0.501
0.091,1677,0.501
0.092,1677,0.501
0.093,1677,0.501
0.094,1677,0.501
0.095,1677,0.501
0.096,1677,0.501
0.097,1677,0.501
0.098,1677,0.501
0.099,1677,0.501
0.1,1716,0.513
0.101,1716,0.513
0.10200000000000001,1716,0.513
0.10300000000000001,1716,0.513
0.10400000000000001,1716,0.513
0.105,1716,0.513
0.106,1716,0.513
0.107,1716,0.513
0.108,1716,0.513
