Exons,Category,Type
10,TotalExons,Extras
64,TotalExons,Extras
17,TotalExons,Extras
43,TotalExons,Extras
15,TotalExons,Extras
70,TotalExons,Extras
59,TotalExons,Extras
14,TotalExons,Extras
27,TotalExons,Extras
18,TotalExons,Extras
25,TotalExons,Extras
14,TotalExons,Extras
34,TotalExons,Extras
18,TotalExons,Extras
13,TotalExons,Extras
15,TotalExons,Extras
8,TotalExons,Extras
26,TotalExons,Extras
29,TotalExons,Extras
18,TotalExons,Extras
18,TotalExons,Extras
19,TotalExons,Extras
30,TotalExons,Extras
30,TotalExons,Extras
33,TotalExons,Extras
26,TotalExons,Extras
30,TotalExons,Extras
32,TotalExons,Extras
39,TotalExons,Extras
25,TotalExons,Extras
22,TotalExons,Extras
28,TotalExons,Extras
21,TotalExons,Extras
16,TotalExons,Extras
21,TotalExons,Extras
9,TotalExons,Extras
25,TotalExons,Extras
9,TotalExons,Extras
17,TotalExons,Extras
23,TotalExons,Extras
27,TotalExons,Extras
27,TotalExons,Extras
36,TotalExons,Extras
10,TotalExons,Extras
22,TotalExons,Extras
23,TotalExons,Extras
19,TotalExons,Extras
43,TotalExons,Extras
26,TotalExons,Extras
11,TotalExons,Extras
12,TotalExons,Extras
26,TotalExons,Extras
16,TotalExons,Extras
16,TotalExons,Extras
15,TotalExons,Extras
18,TotalExons,Extras
12,TotalExons,Extras
16,TotalExons,Extras
19,TotalExons,Extras
16,TotalExons,Extras
21,TotalExons,Extras
10,TotalExons,Extras
9,TotalExons,Extras
22,TotalExons,Extras
22,TotalExons,Extras
19,TotalExons,Extras
27,TotalExons,Extras
26,TotalExons,Extras
11,TotalExons,Extras
17,TotalExons,Extras
12,TotalExons,Extras
62,TotalExons,Extras
16,TotalExons,Extras
29,TotalExons,Extras
38,TotalExons,Extras
39,TotalExons,Extras
30,TotalExons,Extras
37,TotalExons,Extras
32,TotalExons,Extras
31,TotalExons,Extras
36,TotalExons,Extras
19,TotalExons,Extras
19,TotalExons,Extras
33,TotalExons,Extras
20,TotalExons,Extras
16,TotalExons,Extras
15,TotalExons,Extras
8,TotalExons,Extras
7,TotalExons,Extras
27,TotalExons,Extras
44,TotalExons,Extras
24,TotalExons,Extras
19,TotalExons,Extras
9,TotalExons,Extras
11,TotalExons,Extras
24,TotalExons,Extras
16,TotalExons,Extras
13,TotalExons,Extras
41,TotalExons,Extras
36,TotalExons,Extras
21,TotalExons,Extras
21,TotalExons,Extras
17,TotalExons,Extras
17,TotalExons,Extras
14,TotalExons,Extras
20,TotalExons,Extras
17,TotalExons,Extras
20,TotalExons,Extras
33,TotalExons,Extras
18,TotalExons,Extras
21,TotalExons,Extras
48,TotalExons,Extras
32,TotalExons,Extras
23,TotalExons,Extras
20,TotalExons,Extras
37,TotalExons,Extras
20,TotalExons,Extras
5,TotalExons,Extras
12,TotalExons,Extras
29,TotalExons,Extras
27,TotalExons,Extras
14,TotalExons,Extras
26,TotalExons,Extras
31,TotalExons,Extras
35,TotalExons,Extras
27,TotalExons,Extras
43,TotalExons,Extras
29,TotalExons,Extras
19,TotalExons,Extras
17,TotalExons,Extras
16,TotalExons,Extras
21,TotalExons,Extras
11,TotalExons,Extras
9,TotalExons,Extras
31,TotalExons,Extras
23,TotalExons,Extras
35,TotalExons,Extras
50,TotalExons,Extras
43,TotalExons,Extras
58,TotalExons,Extras
27,TotalExons,Extras
44,TotalExons,Extras
15,TotalExons,Extras
40,TotalExons,Extras
44,TotalExons,Extras
43,TotalExons,Extras
15,TotalExons,Extras
10,TotalExons,Extras
25,TotalExons,Extras
15,TotalExons,Extras
17,TotalExons,Extras
19,TotalExons,Extras
8,TotalExons,Extras
18,TotalExons,Extras
16,TotalExons,Extras
24,TotalExons,Extras
20,TotalExons,Extras
15,TotalExons,Extras
13,TotalExons,Extras
20,TotalExons,Extras
10,TotalExons,Extras
14,TotalExons,Extras
18,TotalExons,Extras
29,TotalExons,Extras
10,TotalExons,Extras
12,TotalExons,Extras
15,TotalExons,Extras
10,TotalExons,Extras
27,TotalExons,Extras
32,TotalExons,Extras
12,TotalExons,Extras
17,TotalExons,Extras
14,TotalExons,Extras
42,TotalExons,Extras
33,TotalExons,Extras
23,TotalExons,Extras
22,TotalExons,Extras
50,TotalExons,Extras
31,TotalExons,Extras
16,TotalExons,Extras
22,TotalExons,Extras
34,TotalExons,Extras
33,TotalExons,Extras
40,TotalExons,Extras
26,TotalExons,Extras
17,TotalExons,Extras
12,TotalExons,Extras
13,TotalExons,Extras
17,TotalExons,Extras
52,TotalExons,Extras
54,TotalExons,Extras
66,TotalExons,Extras
59,TotalExons,Extras
55,TotalExons,Extras
54,TotalExons,Extras
32,TotalExons,Extras
53,TotalExons,Extras
26,TotalExons,Extras
26,TotalExons,Extras
22,TotalExons,Extras
30,TotalExons,Extras
46,TotalExons,Extras
17,TotalExons,Extras
21,TotalExons,Extras
12,TotalExons,Extras
32,TotalExons,Extras
33,TotalExons,Extras
26,TotalExons,Extras
18,TotalExons,Extras
63,TotalExons,Extras
21,TotalExons,Extras
30,TotalExons,Extras
15,TotalExons,Extras
13,TotalExons,Extras
19,TotalExons,Extras
27,TotalExons,Extras
14,TotalExons,Extras
18,TotalExons,Extras
15,TotalExons,Extras
8,TotalExons,Extras
4,TotalExons,Extras
19,TotalExons,Extras
16,TotalExons,Extras
40,TotalExons,Extras
18,TotalExons,Extras
13,TotalExons,Extras
9,TotalExons,Extras
35,TotalExons,Extras
34,TotalExons,Extras
33,TotalExons,Extras
8,TotalExons,Extras
14,TotalExons,Extras
17,TotalExons,Extras
19,TotalExons,Extras
10,TotalExons,Extras
40,TotalExons,Extras
15,TotalExons,Extras
22,TotalExons,Extras
16,TotalExons,Extras
26,TotalExons,Extras
11,TotalExons,Extras
12,TotalExons,Extras
15,TotalExons,Extras
14,TotalExons,Extras
10,TotalExons,Extras
16,TotalExons,Extras
20,TotalExons,Extras
9,TotalExons,Extras
18,TotalExons,Extras
12,TotalExons,Extras
10,TotalExons,Extras
8,TotalExons,Extras
19,TotalExons,Extras
19,TotalExons,Extras
21,TotalExons,Extras
26,TotalExons,Extras
15,TotalExons,Extras
36,TotalExons,Extras
30,TotalExons,Extras
17,TotalExons,Extras
25,TotalExons,Extras
15,TotalExons,Extras
9,TotalExons,Extras
14,TotalExons,Extras
11,TotalExons,Extras
24,TotalExons,Extras
28,TotalExons,Extras
67,TotalExons,Extras
28,TotalExons,Extras
19,TotalExons,Extras
20,TotalExons,Extras
24,TotalExons,Extras
35,TotalExons,Extras
19,TotalExons,Extras
21,TotalExons,Extras
20,TotalExons,Extras
25,TotalExons,Extras
25,TotalExons,Extras
43,TotalExons,Extras
8,TotalExons,Extras
17,TotalExons,Extras
39,TotalExons,Extras
19,TotalExons,Extras
11,TotalExons,Extras
8,TotalExons,Extras
11,TotalExons,Extras
15,TotalExons,Extras
53,TotalExons,Extras
17,TotalExons,Extras
16,TotalExons,Extras
22,TotalExons,Extras
16,TotalExons,Extras
29,TotalExons,Extras
39,TotalExons,Extras
55,TotalExons,Extras
48,TotalExons,Extras
23,TotalExons,Extras
15,TotalExons,Extras
25,TotalExons,Extras
24,TotalExons,Extras
11,TotalExons,Extras
13,TotalExons,Extras
15,TotalExons,Extras
13,TotalExons,Extras
11,TotalExons,Extras
19,TotalExons,Extras
21,TotalExons,Extras
15,TotalExons,Extras
25,TotalExons,Extras
13,TotalExons,Extras
8,TotalExons,Extras
19,TotalExons,Extras
14,TotalExons,Extras
34,TotalExons,Extras
11,TotalExons,Extras
10,TotalExons,Extras
27,TotalExons,Extras
30,TotalExons,Extras
18,TotalExons,Extras
22,TotalExons,Extras
19,TotalExons,Extras
24,TotalExons,Extras
20,TotalExons,Extras
8,TotalExons,Extras
12,TotalExons,Extras
10,TotalExons,Extras
52,TotalExons,Extras
14,TotalExons,Extras
27,TotalExons,Extras
31,TotalExons,Extras
40,TotalExons,Extras
30,TotalExons,Extras
13,TotalExons,Extras
27,TotalExons,Extras
37,TotalExons,Extras
12,TotalExons,Extras
8,TotalExons,Extras
34,TotalExons,Extras
52,TotalExons,Extras
60,TotalExons,Extras
68,TotalExons,Extras
61,TotalExons,Extras
52,TotalExons,Extras
122,TotalExons,Extras
45,TotalExons,Extras
42,TotalExons,Extras
76,TotalExons,Extras
72,TotalExons,Extras
48,TotalExons,Extras
80,TotalExons,Extras
57,TotalExons,Extras
12,TotalExons,Extras
12,TotalExons,Extras
21,TotalExons,Extras
33,TotalExons,Extras
18,TotalExons,Extras
17,TotalExons,Extras
24,TotalExons,Extras
47,TotalExons,Extras
24,TotalExons,Extras
49,TotalExons,Extras
19,TotalExons,Extras
24,TotalExons,Extras
17,TotalExons,Extras
36,TotalExons,Extras
51,TotalExons,Extras
14,TotalExons,Extras
23,TotalExons,Extras
17,TotalExons,Extras
27,TotalExons,Extras
14,TotalExons,Extras
30,TotalExons,Extras
19,TotalExons,Extras
6,TotalExons,Extras
24,TotalExons,Extras
17,TotalExons,Extras
19,TotalExons,Extras
13,TotalExons,Extras
14,TotalExons,Extras
19,TotalExons,Extras
21,TotalExons,Extras
15,TotalExons,Extras
16,TotalExons,Extras
11,TotalExons,Extras
23,TotalExons,Extras
29,TotalExons,Extras
7,TotalExons,Extras
16,TotalExons,Extras
36,TotalExons,Extras
32,TotalExons,Extras
20,TotalExons,Extras
24,TotalExons,Extras
34,TotalExons,Extras
11,TotalExons,Extras
19,TotalExons,Extras
44,TotalExons,Extras
14,TotalExons,Extras
12,TotalExons,Extras
33,TotalExons,Extras
20,TotalExons,Extras
22,TotalExons,Extras
19,TotalExons,Extras
14,TotalExons,Extras
17,TotalExons,Extras
23,TotalExons,Extras
21,TotalExons,Extras
18,TotalExons,Extras
19,TotalExons,Extras
16,TotalExons,Extras
18,TotalExons,Extras
17,TotalExons,Extras
16,TotalExons,Extras
42,TotalExons,Extras
44,TotalExons,Extras
33,TotalExons,Extras
11,TotalExons,Extras
12,TotalExons,Extras
23,TotalExons,Extras
37,TotalExons,Extras
14,TotalExons,Extras
22,TotalExons,Extras
18,TotalExons,Extras
34,TotalExons,Extras
14,TotalExons,Extras
19,TotalExons,Extras
24,TotalExons,Extras
31,TotalExons,Extras
55,TotalExons,Extras
18,TotalExons,Extras
14,TotalExons,Extras
16,TotalExons,Extras
17,TotalExons,Extras
14,TotalExons,Extras
10,TotalExons,Extras
15,TotalExons,Extras
14,TotalExons,Extras
31,TotalExons,Extras
5,TotalExons,Extras
8,TotalExons,Extras
14,TotalExons,Extras
52,TotalExons,Extras
63,TotalExons,Extras
30,TotalExons,Extras
32,TotalExons,Extras
18,TotalExons,Extras
63,TotalExons,Extras
8,TotalExons,Extras
33,TotalExons,Extras
20,TotalExons,Extras
9,TotalExons,Extras
25,TotalExons,Extras
29,TotalExons,Extras
27,TotalExons,Extras
24,TotalExons,Extras
17,TotalExons,Extras
23,TotalExons,Extras
44,TotalExons,Extras
30,TotalExons,Extras
27,TotalExons,Extras
19,TotalExons,Extras
62,TotalExons,Extras
60,TotalExons,Extras
70,TotalExons,Extras
11,TotalExons,Extras
15,TotalExons,Extras
18,TotalExons,Extras
37,TotalExons,Extras
29,TotalExons,Extras
16,TotalExons,Extras
31,TotalExons,Extras
21,TotalExons,Extras
26,TotalExons,Extras
16,TotalExons,Extras
43,TotalExons,Extras
40,TotalExons,Extras
9,TotalExons,Extras
14,TotalExons,Extras
13,TotalExons,Extras
20,TotalExons,Extras
26,TotalExons,Extras
17,TotalExons,Extras
13,TotalExons,Extras
14,TotalExons,Extras
13,TotalExons,Extras
21,TotalExons,Extras
31,TotalExons,Extras
11,TotalExons,Extras
27,TotalExons,Extras
41,TotalExons,Extras
17,TotalExons,Extras
12,TotalExons,Extras
22,TotalExons,Extras
31,TotalExons,Extras
24,TotalExons,Extras
30,TotalExons,Extras
19,TotalExons,Extras
34,TotalExons,Extras
9,TotalExons,Extras
34,TotalExons,Extras
43,TotalExons,Extras
31,TotalExons,Extras
10,TotalExons,Extras
23,TotalExons,Extras
11,TotalExons,Extras
12,TotalExons,Extras
39,TotalExons,Extras
18,TotalExons,Extras
41,TotalExons,Extras
26,TotalExons,Extras
20,TotalExons,Extras
10,TotalExons,Extras
21,TotalExons,Extras
45,TotalExons,Extras
31,TotalExons,Extras
23,TotalExons,Extras
27,TotalExons,Extras
24,TotalExons,Extras
8,TotalExons,Extras
26,TotalExons,Extras
38,TotalExons,Extras
45,TotalExons,Extras
33,TotalExons,Extras
25,TotalExons,Extras
35,TotalExons,Extras
11,TotalExons,Extras
23,TotalExons,Extras
23,TotalExons,Extras
23,TotalExons,Extras
24,TotalExons,Extras
21,TotalExons,Extras
23,TotalExons,Extras
29,TotalExons,Extras
25,TotalExons,Extras
26,TotalExons,Extras
33,TotalExons,Extras
32,TotalExons,Extras
25,TotalExons,Extras
28,TotalExons,Extras
30,TotalExons,Extras
21,TotalExons,Extras
17,TotalExons,Extras
30,TotalExons,Extras
26,TotalExons,Extras
18,TotalExons,Extras
56,TotalExons,Extras
18,TotalExons,Extras
21,TotalExons,Extras
23,TotalExons,Extras
11,TotalExons,Extras
17,TotalExons,Extras
20,TotalExons,Extras
29,TotalExons,Extras
33,TotalExons,Extras
32,TotalExons,Extras
21,TotalExons,Extras
15,TotalExons,Extras
35,TotalExons,Extras
18,TotalExons,Extras
