ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	HX	5	0.023
cons_cons	0_0.25	CH	1	0.005
cons_cons	0_0.25	CC	99	0.452
cons_cons	0_0.25	XC	7	0.032
cons_cons	0_0.25	XX	1	0.005
cons_cons	0_0.25	EC	3	0.014
cons_cons	0_0.25	XE	3	0.014
cons_cons	0_0.25	EE	23	0.105
cons_cons	0_0.25	HH	65	0.297
cons_cons	0_0.25	CX	4	0.018
cons_cons	0_0.25	CE	1	0.005
cons_cons	0_0.25	EX	3	0.014
cons_cons	0_0.25	HC	2	0.009
cons_cons	0_0.25	XH	2	0.009
cons_cons	0.25_0.5	XH	12	0.021
cons_cons	0.25_0.5	CH	5	0.009
cons_cons	0.25_0.5	CC	270	0.469
cons_cons	0.25_0.5	XC	20	0.035
cons_cons	0.25_0.5	HX	9	0.016
cons_cons	0.25_0.5	EC	5	0.009
cons_cons	0.25_0.5	XE	18	0.031
cons_cons	0.25_0.5	EE	40	0.069
cons_cons	0.25_0.5	HH	152	0.264
cons_cons	0.25_0.5	CX	22	0.038
cons_cons	0.25_0.5	CE	4	0.007
cons_cons	0.25_0.5	EX	9	0.016
cons_cons	0.25_0.5	HC	6	0.01
cons_cons	0.25_0.5	XX	4	0.007
cons_cons	0.5_0.75	HX	3	0.013
cons_cons	0.5_0.75	CH	1	0.004
cons_cons	0.5_0.75	CC	94	0.407
cons_cons	0.5_0.75	XC	15	0.065
cons_cons	0.5_0.75	XH	2	0.009
cons_cons	0.5_0.75	EC	3	0.013
cons_cons	0.5_0.75	XE	11	0.048
cons_cons	0.5_0.75	EE	15	0.065
cons_cons	0.5_0.75	HH	66	0.286
cons_cons	0.5_0.75	CX	11	0.048
cons_cons	0.5_0.75	CE	1	0.004
cons_cons	0.5_0.75	EX	6	0.026
cons_cons	0.5_0.75	HC	3	0.013
cons_cons	0.75_1.01	XH	694	0.021
cons_cons	0.75_1.01	CH	309	0.009
cons_cons	0.75_1.01	EH	3	0.0
cons_cons	0.75_1.01	CC	15017	0.445
cons_cons	0.75_1.01	XC	1342	0.04
cons_cons	0.75_1.01	XX	202	0.006
cons_cons	0.75_1.01	EC	333	0.01
cons_cons	0.75_1.01	XE	727	0.022
cons_cons	0.75_1.01	EE	2403	0.071
cons_cons	0.75_1.01	HH	9129	0.27
cons_cons	0.75_1.01	CX	1393	0.041
cons_cons	0.75_1.01	CE	403	0.012
cons_cons	0.75_1.01	EX	789	0.023
cons_cons	0.75_1.01	HX	698	0.021
cons_cons	0.75_1.01	HC	311	0.009
alt_alt	0_0.25	XH	12	0.051
alt_alt	0_0.25	CH	1	0.004
alt_alt	0_0.25	CC	111	0.474
alt_alt	0_0.25	XC	12	0.051
alt_alt	0_0.25	XX	1	0.004
alt_alt	0_0.25	EC	2	0.009
alt_alt	0_0.25	XE	6	0.026
alt_alt	0_0.25	EE	18	0.077
alt_alt	0_0.25	HH	50	0.214
alt_alt	0_0.25	CX	5	0.021
alt_alt	0_0.25	CE	1	0.004
alt_alt	0_0.25	EX	8	0.034
alt_alt	0_0.25	HX	3	0.013
alt_alt	0_0.25	HC	4	0.017
alt_alt	0.25_0.5	EC	9	0.011
alt_alt	0.25_0.5	HX	16	0.02
alt_alt	0.25_0.5	CH	3	0.004
alt_alt	0.25_0.5	CC	395	0.484
alt_alt	0.25_0.5	XC	26	0.032
alt_alt	0.25_0.5	XH	17	0.021
alt_alt	0.25_0.5	CE	11	0.013
alt_alt	0.25_0.5	XE	12	0.015
alt_alt	0.25_0.5	EE	61	0.075
alt_alt	0.25_0.5	HH	209	0.256
alt_alt	0.25_0.5	CX	24	0.029
alt_alt	0.25_0.5	EX	22	0.027
alt_alt	0.25_0.5	HC	7	0.009
alt_alt	0.25_0.5	XX	4	0.005
alt_alt	0.5_0.75	EC	18	0.01
alt_alt	0.5_0.75	HX	41	0.022
alt_alt	0.5_0.75	CH	17	0.009
alt_alt	0.5_0.75	EH	1	0.001
alt_alt	0.5_0.75	CC	828	0.439
alt_alt	0.5_0.75	XC	80	0.042
alt_alt	0.5_0.75	XH	35	0.019
alt_alt	0.5_0.75	CE	20	0.011
alt_alt	0.5_0.75	XE	44	0.023
alt_alt	0.5_0.75	EE	140	0.074
alt_alt	0.5_0.75	HH	520	0.276
alt_alt	0.5_0.75	CX	64	0.034
alt_alt	0.5_0.75	EX	45	0.024
alt_alt	0.5_0.75	HC	19	0.01
alt_alt	0.5_0.75	XX	12	0.006
alt_alt	0.75_1.01	XH	48	0.015
alt_alt	0.75_1.01	CH	29	0.009
alt_alt	0.75_1.01	EH	1	0.0
alt_alt	0.75_1.01	CC	1471	0.462
alt_alt	0.75_1.01	XC	118	0.037
alt_alt	0.75_1.01	XX	12	0.004
alt_alt	0.75_1.01	EC	33	0.01
alt_alt	0.75_1.01	XE	50	0.016
alt_alt	0.75_1.01	EE	199	0.062
alt_alt	0.75_1.01	HH	894	0.281
alt_alt	0.75_1.01	CX	141	0.044
alt_alt	0.75_1.01	CE	21	0.007
alt_alt	0.75_1.01	EX	77	0.024
alt_alt	0.75_1.01	HX	62	0.019
alt_alt	0.75_1.01	HC	29	0.009
cons_alt	0_0.25	XH	1	0.042
cons_alt	0_0.25	CC	10	0.417
cons_alt	0_0.25	XC	1	0.042
cons_alt	0_0.25	EC	2	0.083
