ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.5_0.75	CC	0_0.1	4	0.027	4	0.027
cons_cons	0.5_0.75	CC	0.101_0.2	12	0.081	16	0.108
cons_cons	0.5_0.75	CC	0.201_0.3	10	0.068	26	0.176
cons_cons	0.5_0.75	CC	0.301_0.4	20	0.135	46	0.311
cons_cons	0.5_0.75	CC	0.401_0.5	13	0.088	59	0.399
cons_cons	0.5_0.75	CC	0.501_0.6	7	0.047	66	0.446
cons_cons	0.5_0.75	CC	0.601_0.7	14	0.095	80	0.541
cons_cons	0.5_0.75	CC	0.701_0.8	8	0.054	88	0.595
cons_cons	0.5_0.75	CC	0.801_0.9	3	0.02	91	0.615
cons_cons	0.5_0.75	CC	0.901_1.0	57	0.385	148	1.0
cons_cons	0.5_0.75	EE	0_0.1	0	0.0	0	0.0
cons_cons	0.5_0.75	EE	0.101_0.2	8	0.242	8	0.242
cons_cons	0.5_0.75	EE	0.201_0.3	2	0.061	10	0.303
cons_cons	0.5_0.75	EE	0.301_0.4	10	0.303	20	0.606
cons_cons	0.5_0.75	EE	0.401_0.5	3	0.091	23	0.697
cons_cons	0.5_0.75	EE	0.501_0.6	0	0.0	23	0.697
cons_cons	0.5_0.75	EE	0.601_0.7	4	0.121	27	0.818
cons_cons	0.5_0.75	EE	0.701_0.8	2	0.061	29	0.879
cons_cons	0.5_0.75	EE	0.801_0.9	0	0.0	29	0.879
cons_cons	0.5_0.75	EE	0.901_1.0	4	0.121	33	1.0
cons_cons	0.5_0.75	HH	0_0.1	2	0.019	2	0.019
cons_cons	0.5_0.75	HH	0.101_0.2	9	0.083	11	0.102
cons_cons	0.5_0.75	HH	0.201_0.3	4	0.037	15	0.139
cons_cons	0.5_0.75	HH	0.301_0.4	20	0.185	35	0.324
cons_cons	0.5_0.75	HH	0.401_0.5	9	0.083	44	0.407
cons_cons	0.5_0.75	HH	0.501_0.6	4	0.037	48	0.444
cons_cons	0.5_0.75	HH	0.601_0.7	11	0.102	59	0.546
cons_cons	0.5_0.75	HH	0.701_0.8	8	0.074	67	0.62
cons_cons	0.5_0.75	HH	0.801_0.9	6	0.056	73	0.676
cons_cons	0.5_0.75	HH	0.901_1.0	35	0.324	108	1.0
cons_cons	0.25_0.5	CC	0_0.1	2	0.005	2	0.005
cons_cons	0.25_0.5	CC	0.101_0.2	22	0.056	24	0.061
