ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	HX	1	0.024
cons_cons	0_0.25	CH	1	0.024
cons_cons	0_0.25	EH	1	0.024
cons_cons	0_0.25	CC	13	0.317
cons_cons	0_0.25	XC	5	0.122
cons_cons	0_0.25	XH	2	0.049
cons_cons	0_0.25	CE	2	0.049
cons_cons	0_0.25	EE	3	0.073
cons_cons	0_0.25	HH	5	0.122
cons_cons	0_0.25	CX	2	0.049
cons_cons	0_0.25	ZZ	6	0.146
cons_cons	0.25_0.5	XH	15	0.029
cons_cons	0.25_0.5	CH	12	0.023
cons_cons	0.25_0.5	ZX	1	0.002
cons_cons	0.25_0.5	CC	167	0.326
cons_cons	0.25_0.5	XC	20	0.039
cons_cons	0.25_0.5	HX	16	0.031
cons_cons	0.25_0.5	EC	5	0.01
cons_cons	0.25_0.5	XE	9	0.018
cons_cons	0.25_0.5	EE	44	0.086
cons_cons	0.25_0.5	HH	156	0.304
cons_cons	0.25_0.5	CX	14	0.027
cons_cons	0.25_0.5	CE	6	0.012
cons_cons	0.25_0.5	EX	15	0.029
cons_cons	0.25_0.5	ZZ	17	0.033
cons_cons	0.25_0.5	HC	9	0.018
cons_cons	0.25_0.5	XX	6	0.012
cons_cons	0.25_0.5	HE	1	0.002
cons_cons	0.5_0.75	EC	22	0.015
cons_cons	0.5_0.75	XH	43	0.029
cons_cons	0.5_0.75	CH	17	0.012
cons_cons	0.5_0.75	EH	1	0.001
cons_cons	0.5_0.75	CC	513	0.349
cons_cons	0.5_0.75	XC	77	0.052
cons_cons	0.5_0.75	HX	37	0.025
cons_cons	0.5_0.75	CE	15	0.01
cons_cons	0.5_0.75	XE	41	0.028
cons_cons	0.5_0.75	EE	119	0.081
cons_cons	0.5_0.75	HH	424	0.289
cons_cons	0.5_0.75	CX	74	0.05
cons_cons	0.5_0.75	ZX	1	0.001
cons_cons	0.5_0.75	EX	38	0.026
cons_cons	0.5_0.75	ZZ	20	0.014
cons_cons	0.5_0.75	HC	10	0.007
cons_cons	0.5_0.75	XX	15	0.01
cons_cons	0.5_0.75	HE	1	0.001
cons_cons	0.75_1.01	XH	1434	0.03
cons_cons	0.75_1.01	CH	517	0.011
cons_cons	0.75_1.01	ZX	7	0.0
cons_cons	0.75_1.01	EH	46	0.001
cons_cons	0.75_1.01	CC	16434	0.342
cons_cons	0.75_1.01	XC	2231	0.046
cons_cons	0.75_1.01	HX	1409	0.029
cons_cons	0.75_1.01	XX	740	0.015
cons_cons	0.75_1.01	EC	552	0.011
cons_cons	0.75_1.01	XE	1328	0.028
cons_cons	0.75_1.01	EE	4402	0.092
cons_cons	0.75_1.01	HH	13500	0.281
cons_cons	0.75_1.01	CX	2324	0.048
cons_cons	0.75_1.01	CE	580	0.012
cons_cons	0.75_1.01	EX	1290	0.027
cons_cons	0.75_1.01	ZZ	661	0.014
cons_cons	0.75_1.01	HC	528	0.011
cons_cons	0.75_1.01	ZC	2	0.0
cons_cons	0.75_1.01	HE	17	0.0
alt_alt	0_0.25	XH	6	0.019
alt_alt	0_0.25	CH	4	0.012
alt_alt	0_0.25	CC	118	0.368
alt_alt	0_0.25	XC	12	0.037
alt_alt	0_0.25	HX	4	0.012
alt_alt	0_0.25	EC	3	0.009
alt_alt	0_0.25	XE	7	0.022
alt_alt	0_0.25	EE	23	0.072
alt_alt	0_0.25	HH	74	0.231
alt_alt	0_0.25	CX	12	0.037
alt_alt	0_0.25	CE	2	0.006
alt_alt	0_0.25	ZZ	45	0.14
alt_alt	0_0.25	HC	3	0.009
alt_alt	0_0.25	XX	2	0.006
alt_alt	0_0.25	EX	6	0.019
alt_alt	0.25_0.5	XH	84	0.032
alt_alt	0.25_0.5	CH	24	0.009
alt_alt	0.25_0.5	EH	2	0.001
alt_alt	0.25_0.5	CC	980	0.371
alt_alt	0.25_0.5	XC	117	0.044
alt_alt	0.25_0.5	HX	65	0.025
alt_alt	0.25_0.5	XX	37	0.014
alt_alt	0.25_0.5	EC	21	0.008
alt_alt	0.25_0.5	XE	74	0.028
alt_alt	0.25_0.5	EE	214	0.081
alt_alt	0.25_0.5	HH	632	0.239
alt_alt	0.25_0.5	CX	127	0.048
alt_alt	0.25_0.5	CE	35	0.013
alt_alt	0.25_0.5	ZZ	146	0.055
alt_alt	0.25_0.5	HC	19	0.007
alt_alt	0.25_0.5	HE	1	0.0
alt_alt	0.25_0.5	EX	63	0.024
alt_alt	0.5_0.75	HX	168	0.024
alt_alt	0.5_0.75	CH	67	0.01
alt_alt	0.5_0.75	ZX	1	0.0
alt_alt	0.5_0.75	EH	5	0.001
alt_alt	0.5_0.75	EE	581	0.085
alt_alt	0.5_0.75	XC	324	0.047
alt_alt	0.5_0.75	XX	97	0.014
alt_alt	0.5_0.75	EC	79	0.012
alt_alt	0.5_0.75	XE	179	0.026
alt_alt	0.5_0.75	CC	2518	0.367
alt_alt	0.5_0.75	HH	1885	0.274
alt_alt	0.5_0.75	CX	309	0.045
alt_alt	0.5_0.75	CE	82	0.012
alt_alt	0.5_0.75	EX	179	0.026
alt_alt	0.5_0.75	ZZ	136	0.02
alt_alt	0.5_0.75	HC	73	0.011
alt_alt	0.5_0.75	XH	182	0.026
alt_alt	0.5_0.75	HE	3	0.0
alt_alt	0.75_1.01	EC	107	0.01
alt_alt	0.75_1.01	HX	284	0.027
alt_alt	0.75_1.01	CH	102	0.01
alt_alt	0.75_1.01	EH	11	0.001
alt_alt	0.75_1.01	CC	3818	0.367
alt_alt	0.75_1.01	XC	486	0.047
alt_alt	0.75_1.01	XX	145	0.014
alt_alt	0.75_1.01	CE	112	0.011
alt_alt	0.75_1.01	XE	246	0.024
alt_alt	0.75_1.01	EE	870	0.084
alt_alt	0.75_1.01	HH	2769	0.266
alt_alt	0.75_1.01	CX	457	0.044
alt_alt	0.75_1.01	ZX	1	0.0
alt_alt	0.75_1.01	EX	249	0.024
alt_alt	0.75_1.01	ZZ	331	0.032
alt_alt	0.75_1.01	HC	89	0.009
alt_alt	0.75_1.01	ZC	1	0.0
alt_alt	0.75_1.01	XH	311	0.03
alt_alt	0.75_1.01	HE	5	0.0
