ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0_0.25	CC	0_0.1	14	1.0	14	1.0
cons_cons	0_0.25	CC	0.101_0.2	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.201_0.3	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.301_0.4	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.401_0.5	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.501_0.6	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.601_0.7	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.701_0.8	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.801_0.9	0	0.0	14	1.0
cons_cons	0_0.25	CC	0.901_1.0	0	0.0	14	1.0
cons_cons	0_0.25	EE	0_0.1	3	0.75	3	0.75
cons_cons	0_0.25	EE	0.101_0.2	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.201_0.3	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.301_0.4	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.401_0.5	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.501_0.6	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.601_0.7	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.701_0.8	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.801_0.9	0	0.0	3	0.75
cons_cons	0_0.25	EE	0.901_1.0	1	0.25	4	1.0
cons_cons	0_0.25	HH	0_0.1	5	1.0	5	1.0
cons_cons	0_0.25	HH	0.101_0.2	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.201_0.3	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.301_0.4	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.401_0.5	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.501_0.6	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.601_0.7	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.701_0.8	0	0.0	5	1.0
cons_cons	0_0.25	HH	0.801_0.9	0	0.0	5	1.0
