ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0.5_0.75	CC	0_0.1	14	0.011	14	0.011
cons_cons	0.5_0.75	CC	0.101_0.2	96	0.076	110	0.087
cons_cons	0.5_0.75	CC	0.201_0.3	76	0.06	186	0.147
cons_cons	0.5_0.75	CC	0.301_0.4	165	0.13	351	0.277
cons_cons	0.5_0.75	CC	0.401_0.5	82	0.065	433	0.342
cons_cons	0.5_0.75	CC	0.501_0.6	37	0.029	470	0.371
cons_cons	0.5_0.75	CC	0.601_0.7	138	0.109	608	0.48
cons_cons	0.5_0.75	CC	0.701_0.8	70	0.055	678	0.536
cons_cons	0.5_0.75	CC	0.801_0.9	48	0.038	726	0.573
cons_cons	0.5_0.75	CC	0.901_1.0	540	0.427	1266	1.0
cons_cons	0.5_0.75	EE	0_0.1	7	0.026	7	0.026
cons_cons	0.5_0.75	EE	0.101_0.2	42	0.154	49	0.18
cons_cons	0.5_0.75	EE	0.201_0.3	28	0.103	77	0.283
cons_cons	0.5_0.75	EE	0.301_0.4	71	0.261	148	0.544
cons_cons	0.5_0.75	EE	0.401_0.5	18	0.066	166	0.61
cons_cons	0.5_0.75	EE	0.501_0.6	5	0.018	171	0.629
cons_cons	0.5_0.75	EE	0.601_0.7	30	0.11	201	0.739
cons_cons	0.5_0.75	EE	0.701_0.8	13	0.048	214	0.787
cons_cons	0.5_0.75	EE	0.801_0.9	4	0.015	218	0.801
cons_cons	0.5_0.75	EE	0.901_1.0	54	0.199	272	1.0
cons_cons	0.5_0.75	HH	0_0.1	11	0.012	11	0.012
cons_cons	0.5_0.75	HH	0.101_0.2	68	0.077	79	0.09
cons_cons	0.5_0.75	HH	0.201_0.3	45	0.051	124	0.141
cons_cons	0.5_0.75	HH	0.301_0.4	147	0.167	271	0.308
cons_cons	0.5_0.75	HH	0.401_0.5	60	0.068	331	0.376
cons_cons	0.5_0.75	HH	0.501_0.6	32	0.036	363	0.412
cons_cons	0.5_0.75	HH	0.601_0.7	81	0.092	444	0.504
cons_cons	0.5_0.75	HH	0.701_0.8	62	0.07	506	0.574
cons_cons	0.5_0.75	HH	0.801_0.9	30	0.034	536	0.608
cons_cons	0.5_0.75	HH	0.901_1.0	345	0.392	881	1.0
cons_cons	0.25_0.5	CC	0_0.1	4	0.005	4	0.005
cons_cons	0.25_0.5	CC	0.101_0.2	38	0.048	42	0.053
cons_cons	0.25_0.5	CC	0.201_0.3	45	0.056	87	0.109
cons_cons	0.25_0.5	CC	0.301_0.4	79	0.099	166	0.208
