ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	EE	7	0.171
cons_cons	0_0.25	EB	1	0.024
cons_cons	0_0.25	XX	1	0.024
cons_cons	0_0.25	EX	4	0.098
cons_cons	0_0.25	ZZ	27	0.659
cons_cons	0_0.25	XE	1	0.024
cons_cons	0.25_0.5	BE	2	0.004
cons_cons	0.25_0.5	BB	1	0.002
cons_cons	0.25_0.5	EE	116	0.226
cons_cons	0.25_0.5	ZE	6	0.012
cons_cons	0.25_0.5	XE	28	0.055
cons_cons	0.25_0.5	XZ	14	0.027
cons_cons	0.25_0.5	XB	3	0.006
cons_cons	0.25_0.5	XX	32	0.062
cons_cons	0.25_0.5	ZX	1	0.002
cons_cons	0.25_0.5	EX	28	0.055
cons_cons	0.25_0.5	ZZ	241	0.47
cons_cons	0.25_0.5	EZ	32	0.062
cons_cons	0.25_0.5	EB	4	0.008
cons_cons	0.25_0.5	BX	5	0.01
cons_cons	0.5_0.75	BE	7	0.005
cons_cons	0.5_0.75	BB	5	0.003
cons_cons	0.5_0.75	EE	414	0.282
cons_cons	0.5_0.75	ZE	1	0.001
cons_cons	0.5_0.75	EB	15	0.01
cons_cons	0.5_0.75	XZ	54	0.037
cons_cons	0.5_0.75	XB	14	0.01
cons_cons	0.5_0.75	XX	118	0.08
cons_cons	0.5_0.75	EX	161	0.11
cons_cons	0.5_0.75	ZZ	446	0.304
cons_cons	0.5_0.75	EZ	92	0.063
cons_cons	0.5_0.75	XE	125	0.085
cons_cons	0.5_0.75	BX	9	0.006
cons_cons	0.5_0.75	BZ	7	0.005
cons_cons	0.75_1.01	BE	107	0.002
cons_cons	0.75_1.01	BB	20	0.0
cons_cons	0.75_1.01	EE	4043	0.084
cons_cons	0.75_1.01	ZE	1	0.0
cons_cons	0.75_1.01	XE	1376	0.029
cons_cons	0.75_1.01	XZ	1052	0.022
cons_cons	0.75_1.01	XB	118	0.002
cons_cons	0.75_1.01	XX	1041	0.022
cons_cons	0.75_1.01	ZX	2	0.0
cons_cons	0.75_1.01	EX	1428	0.03
cons_cons	0.75_1.01	ZZ	36373	0.758
cons_cons	0.75_1.01	EZ	2082	0.043
cons_cons	0.75_1.01	EB	137	0.003
cons_cons	0.75_1.01	BX	109	0.002
cons_cons	0.75_1.01	BZ	112	0.002
alt_alt	0_0.25	EE	79	0.247
alt_alt	0_0.25	ZE	10	0.031
alt_alt	0_0.25	XE	18	0.056
alt_alt	0_0.25	XZ	2	0.006
alt_alt	0_0.25	XB	1	0.003
alt_alt	0_0.25	XX	10	0.031
alt_alt	0_0.25	ZX	4	0.013
alt_alt	0_0.25	EX	14	0.044
alt_alt	0_0.25	ZZ	171	0.534
alt_alt	0_0.25	EZ	7	0.022
alt_alt	0_0.25	EB	1	0.003
alt_alt	0_0.25	BX	3	0.009
alt_alt	0.25_0.5	BE	5	0.002
alt_alt	0.25_0.5	BB	2	0.001
alt_alt	0.25_0.5	EE	579	0.22
alt_alt	0.25_0.5	ZE	16	0.006
alt_alt	0.25_0.5	XE	160	0.061
alt_alt	0.25_0.5	XZ	36	0.014
alt_alt	0.25_0.5	XB	22	0.008
alt_alt	0.25_0.5	XX	158	0.06
alt_alt	0.25_0.5	ZX	9	0.003
alt_alt	0.25_0.5	EX	174	0.066
alt_alt	0.25_0.5	ZZ	1348	0.512
alt_alt	0.25_0.5	EZ	93	0.035
alt_alt	0.25_0.5	EB	15	0.006
alt_alt	0.25_0.5	BX	12	0.005
alt_alt	0.25_0.5	BZ	6	0.002
alt_alt	0.5_0.75	BE	24	0.003
alt_alt	0.5_0.75	BB	6	0.001
alt_alt	0.5_0.75	XB	20	0.003
alt_alt	0.5_0.75	ZE	3	0.0
alt_alt	0.5_0.75	XE	282	0.041
alt_alt	0.5_0.75	XZ	129	0.019
alt_alt	0.5_0.75	EE	950	0.138
alt_alt	0.5_0.75	XX	262	0.038
alt_alt	0.5_0.75	ZX	5	0.001
alt_alt	0.5_0.75	EX	317	0.046
alt_alt	0.5_0.75	ZZ	4537	0.661
alt_alt	0.5_0.75	EZ	267	0.039
alt_alt	0.5_0.75	EB	28	0.004
alt_alt	0.5_0.75	BX	27	0.004
alt_alt	0.5_0.75	BZ	6	0.001
alt_alt	0.75_1.01	BE	26	0.003
alt_alt	0.75_1.01	BB	2	0.0
alt_alt	0.75_1.01	EE	748	0.072
alt_alt	0.75_1.01	XE	263	0.025
alt_alt	0.75_1.01	XZ	133	0.013
alt_alt	0.75_1.01	XB	29	0.003
alt_alt	0.75_1.01	XX	200	0.019
alt_alt	0.75_1.01	EX	262	0.025
alt_alt	0.75_1.01	ZZ	8405	0.809
alt_alt	0.75_1.01	EZ	270	0.026
alt_alt	0.75_1.01	EB	29	0.003
alt_alt	0.75_1.01	BX	14	0.001
alt_alt	0.75_1.01	BZ	12	0.001
cons_alt	0_0.25	EE	41	0.295
cons_alt	0_0.25	ZE	9	0.065
cons_alt	0_0.25	EB	2	0.014
cons_alt	0_0.25	XZ	1	0.007
cons_alt	0_0.25	XB	1	0.007
cons_alt	0_0.25	XX	6	0.043
cons_alt	0_0.25	ZX	3	0.022
cons_alt	0_0.25	EX	8	0.058
