ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq	cumulativeCount	cumulativeFreq
cons_cons	0_0.25	EE	0_0.1	6	0.857	6	0.857
cons_cons	0_0.25	EE	0.101_0.2	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.201_0.3	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.301_0.4	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.401_0.5	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.501_0.6	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.601_0.7	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.701_0.8	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.801_0.9	0	0.0	6	0.857
cons_cons	0_0.25	EE	0.901_1.0	1	0.143	7	1.0
cons_cons	0.25_0.5	EE	0_0.1	113	0.911	113	0.911
cons_cons	0.25_0.5	EE	0.101_0.2	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.201_0.3	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.301_0.4	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.401_0.5	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.501_0.6	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.601_0.7	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.701_0.8	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.801_0.9	0	0.0	113	0.911
cons_cons	0.25_0.5	EE	0.901_1.0	11	0.089	124	1.0
cons_cons	0.25_0.5	BB	0_0.1	1	1.0	1	1.0
cons_cons	0.25_0.5	BB	0.101_0.2	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.201_0.3	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.301_0.4	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.401_0.5	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.501_0.6	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.601_0.7	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.701_0.8	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.801_0.9	0	0.0	1	1.0
cons_cons	0.25_0.5	BB	0.901_1.0	0	0.0	1	1.0
cons_cons	0.75_1.01	EE	0_0.1	4325	0.96	4325	0.96
cons_cons	0.75_1.01	EE	0.101_0.2	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.201_0.3	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.301_0.4	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.401_0.5	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.501_0.6	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.601_0.7	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.701_0.8	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.801_0.9	0	0.0	4325	0.96
cons_cons	0.75_1.01	EE	0.901_1.0	178	0.04	4503	1.0
cons_cons	0.75_1.01	BB	0_0.1	24	1.0	24	1.0
cons_cons	0.75_1.01	BB	0.101_0.2	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.201_0.3	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.301_0.4	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.401_0.5	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.501_0.6	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.601_0.7	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.701_0.8	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.801_0.9	0	0.0	24	1.0
cons_cons	0.75_1.01	BB	0.901_1.0	0	0.0	24	1.0
cons_cons	0.5_0.75	EE	0_0.1	395	0.894	395	0.894
cons_cons	0.5_0.75	EE	0.101_0.2	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.201_0.3	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.301_0.4	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.401_0.5	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.501_0.6	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.601_0.7	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.701_0.8	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.801_0.9	0	0.0	395	0.894
cons_cons	0.5_0.75	EE	0.901_1.0	47	0.106	442	1.0
cons_cons	0.5_0.75	BB	0_0.1	4	0.8	4	0.8
cons_cons	0.5_0.75	BB	0.101_0.2	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.201_0.3	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.301_0.4	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.401_0.5	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.501_0.6	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.601_0.7	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.701_0.8	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.801_0.9	0	0.0	4	0.8
cons_cons	0.5_0.75	BB	0.901_1.0	1	0.2	5	1.0
alt_alt	0_0.25	EE	0_0.1	78	0.975	78	0.975
alt_alt	0_0.25	EE	0.101_0.2	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.201_0.3	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.301_0.4	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.401_0.5	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.501_0.6	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.601_0.7	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.701_0.8	0	0.0	78	0.975
alt_alt	0_0.25	EE	0.801_0.9	0	0.0	78	0.975
