Length,Category
38,Consecutive
23,Consecutive
34,Consecutive
21,Consecutive
54,Consecutive
50,Consecutive
48,Consecutive
76,Consecutive
52,Consecutive
40,Consecutive
43,Consecutive
25,Consecutive
30,Consecutive
54,Consecutive
37,Consecutive
18,Consecutive
60,Consecutive
75,Consecutive
59,Consecutive
53,Consecutive
28,Consecutive
42,Consecutive
41,Consecutive
54,Consecutive
29,Consecutive
56,Consecutive
7,Consecutive
30,Consecutive
17,Consecutive
61,Consecutive
76,Consecutive
37,Consecutive
73,Consecutive
39,Consecutive
49,Consecutive
42,Consecutive
198,Consecutive
57,Consecutive
24,Consecutive
30,Consecutive
35,Consecutive
39,Consecutive
28,Consecutive
48,Consecutive
47,Consecutive
40,Consecutive
40,Consecutive
24,Consecutive
52,Consecutive
52,Consecutive
68,Consecutive
16,Consecutive
42,Consecutive
50,Consecutive
41,Consecutive
80,Consecutive
31,Consecutive
59,Consecutive
66,Consecutive
11,Consecutive
33,Consecutive
44,Consecutive
38,Consecutive
38,Consecutive
47,Consecutive
8,Consecutive
63,Consecutive
47,Consecutive
46,Consecutive
68,Consecutive
74,Consecutive
69,Consecutive
59,Consecutive
19,Consecutive
58,Consecutive
74,Consecutive
74,Consecutive
39,Consecutive
39,Consecutive
73,Consecutive
35,Consecutive
37,Consecutive
39,Consecutive
58,Consecutive
56,Consecutive
35,Consecutive
58,Consecutive
32,Consecutive
50,Consecutive
62,Consecutive
47,Consecutive
49,Consecutive
37,Consecutive
105,Consecutive
40,Consecutive
61,Consecutive
21,Consecutive
39,Consecutive
53,Consecutive
38,Consecutive
38,Consecutive
45,Consecutive
35,Consecutive
34,Consecutive
45,Consecutive
41,Consecutive
79,Consecutive
69,Consecutive
65,Consecutive
31,Consecutive
71,Consecutive
68,Consecutive
55,Consecutive
69,Consecutive
31,Consecutive
60,Consecutive
11,Consecutive
43,Consecutive
54,Consecutive
38,Consecutive
72,Consecutive
61,Consecutive
43,Consecutive
123,Consecutive
46,Consecutive
35,Consecutive
64,Consecutive
58,Consecutive
29,Consecutive
30,Consecutive
90,Consecutive
44,Consecutive
29,Consecutive
56,Consecutive
57,Consecutive
43,Consecutive
55,Consecutive
53,Consecutive
36,Consecutive
35,Consecutive
71,Consecutive
42,Consecutive
47,Consecutive
41,Consecutive
28,Consecutive
50,Consecutive
25,Consecutive
38,Consecutive
55,Consecutive
34,Consecutive
38,Consecutive
24,Consecutive
32,Consecutive
22,Consecutive
24,Consecutive
11,Consecutive
24,Consecutive
25,Consecutive
36,Consecutive
13,Consecutive
56,Consecutive
16,Consecutive
28,Consecutive
41,Consecutive
57,Consecutive
51,Consecutive
61,Consecutive
60,Consecutive
28,Consecutive
91,Consecutive
99,Consecutive
58,Consecutive
571,Consecutive
55,Consecutive
30,Consecutive
96,Consecutive
523,Consecutive
63,Consecutive
27,Consecutive
49,Consecutive
19,Consecutive
37,Consecutive
38,Consecutive
60,Consecutive
38,Consecutive
37,Consecutive
36,Consecutive
33,Consecutive
27,Consecutive
57,Consecutive
19,Consecutive
40,Consecutive
14,Consecutive
48,Consecutive
57,Consecutive
29,Consecutive
45,Consecutive
33,Consecutive
49,Consecutive
30,Consecutive
44,Consecutive
37,Consecutive
72,Consecutive
52,Consecutive
52,Consecutive
36,Consecutive
32,Consecutive
49,Consecutive
63,Consecutive
27,Consecutive
35,Consecutive
54,Consecutive
55,Consecutive
46,Consecutive
42,Consecutive
40,Consecutive
68,Consecutive
40,Consecutive
52,Consecutive
37,Consecutive
15,Consecutive
33,Consecutive
40,Consecutive
50,Consecutive
34,Consecutive
42,Consecutive
50,Consecutive
46,Consecutive
49,Consecutive
45,Consecutive
32,Consecutive
70,Consecutive
48,Consecutive
90,Consecutive
33,Consecutive
57,Consecutive
50,Consecutive
55,Consecutive
54,Consecutive
49,Consecutive
42,Consecutive
27,Consecutive
38,Consecutive
29,Consecutive
37,Consecutive
35,Consecutive
38,Consecutive
30,Consecutive
34,Consecutive
50,Consecutive
45,Consecutive
37,Consecutive
46,Consecutive
44,Consecutive
49,Consecutive
70,Consecutive
37,Consecutive
27,Consecutive
38,Consecutive
34,Consecutive
55,Consecutive
22,Consecutive
30,Consecutive
29,Consecutive
43,Consecutive
36,Consecutive
44,Consecutive
23,Consecutive
83,Consecutive
32,Consecutive
47,Consecutive
11,Consecutive
32,Consecutive
46,Consecutive
57,Consecutive
37,Consecutive
50,Consecutive
55,Consecutive
15,Consecutive
50,Consecutive
19,Consecutive
46,Consecutive
30,Consecutive
31,Consecutive
42,Consecutive
57,Consecutive
69,Consecutive
23,Consecutive
68,Consecutive
33,Consecutive
48,Consecutive
29,Consecutive
35,Consecutive
34,Consecutive
21,Consecutive
45,Consecutive
42,Consecutive
24,Consecutive
22,Consecutive
24,Consecutive
16,Consecutive
66,Consecutive
44,Consecutive
24,Consecutive
50,Consecutive
53,Consecutive
48,Consecutive
21,Consecutive
38,Consecutive
32,Consecutive
19,Consecutive
22,Consecutive
32,Consecutive
37,Consecutive
52,Consecutive
41,Consecutive
48,Consecutive
39,Consecutive
61,Consecutive
45,Consecutive
45,Consecutive
27,Consecutive
30,Consecutive
52,Consecutive
19,Consecutive
50,Consecutive
43,Consecutive
50,Consecutive
33,Consecutive
23,Consecutive
19,Consecutive
43,Consecutive
50,Consecutive
52,Consecutive
35,Consecutive
27,Consecutive
39,Consecutive
29,Consecutive
32,Consecutive
10,Consecutive
7,Consecutive
56,Consecutive
23,Consecutive
23,Consecutive
