ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq
cons_cons	0.5_0.75	CC	0.601_0.7	104	0.109
cons_cons	0.5_0.75	CC	0_0.1	2	0.002
cons_cons	0.5_0.75	CC	0.901_1.0	587	0.613
cons_cons	0.5_0.75	CC	0.201_0.3	16	0.017
cons_cons	0.5_0.75	CC	0.801_0.9	53	0.055
cons_cons	0.5_0.75	CC	0.301_0.4	55	0.057
cons_cons	0.5_0.75	CC	0.101_0.2	9	0.009
cons_cons	0.5_0.75	CC	0.701_0.8	66	0.069
cons_cons	0.5_0.75	CC	0.501_0.6	22	0.023
cons_cons	0.5_0.75	CC	0.401_0.5	44	0.046
cons_cons	0.5_0.75	EE	0.601_0.7	27	0.144
cons_cons	0.5_0.75	EE	0_0.1	0	0.0
cons_cons	0.5_0.75	EE	0.901_1.0	78	0.417
cons_cons	0.5_0.75	EE	0.201_0.3	8	0.043
cons_cons	0.5_0.75	EE	0.801_0.9	6	0.032
cons_cons	0.5_0.75	EE	0.301_0.4	25	0.134
cons_cons	0.5_0.75	EE	0.101_0.2	11	0.059
cons_cons	0.5_0.75	EE	0.701_0.8	12	0.064
cons_cons	0.5_0.75	EE	0.501_0.6	6	0.032
cons_cons	0.5_0.75	EE	0.401_0.5	14	0.075
cons_cons	0.5_0.75	HH	0.601_0.7	59	0.094
cons_cons	0.5_0.75	HH	0_0.1	1	0.002
cons_cons	0.5_0.75	HH	0.901_1.0	380	0.606
cons_cons	0.5_0.75	HH	0.201_0.3	9	0.014
cons_cons	0.5_0.75	HH	0.801_0.9	36	0.057
cons_cons	0.5_0.75	HH	0.301_0.4	42	0.067
cons_cons	0.5_0.75	HH	0.101_0.2	6	0.01
cons_cons	0.5_0.75	HH	0.701_0.8	44	0.07
cons_cons	0.5_0.75	HH	0.501_0.6	25	0.04
cons_cons	0.5_0.75	HH	0.401_0.5	25	0.04
cons_cons	0.25_0.5	CC	0.601_0.7	48	0.077
cons_cons	0.25_0.5	CC	0_0.1	0	0.0
cons_cons	0.25_0.5	CC	0.901_1.0	436	0.695
cons_cons	0.25_0.5	CC	0.201_0.3	8	0.013
cons_cons	0.25_0.5	CC	0.801_0.9	23	0.037
cons_cons	0.25_0.5	CC	0.301_0.4	21	0.033
cons_cons	0.25_0.5	CC	0.101_0.2	5	0.008
cons_cons	0.25_0.5	CC	0.701_0.8	46	0.073
cons_cons	0.25_0.5	CC	0.501_0.6	16	0.026
cons_cons	0.25_0.5	CC	0.401_0.5	24	0.038
cons_cons	0.25_0.5	EE	0.601_0.7	15	0.132
cons_cons	0.25_0.5	EE	0_0.1	2	0.018
cons_cons	0.25_0.5	EE	0.901_1.0	40	0.351
cons_cons	0.25_0.5	EE	0.201_0.3	6	0.053
cons_cons	0.25_0.5	EE	0.801_0.9	1	0.009
cons_cons	0.25_0.5	EE	0.301_0.4	15	0.132
cons_cons	0.25_0.5	EE	0.101_0.2	9	0.079
cons_cons	0.25_0.5	EE	0.701_0.8	8	0.07
cons_cons	0.25_0.5	EE	0.501_0.6	6	0.053
