ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	EC	7	0.019
cons_cons	0_0.25	XH	3	0.008
cons_cons	0_0.25	CH	3	0.008
cons_cons	0_0.25	CC	192	0.508
cons_cons	0_0.25	XC	10	0.026
cons_cons	0_0.25	XX	2	0.005
cons_cons	0_0.25	CE	3	0.008
cons_cons	0_0.25	XE	4	0.011
cons_cons	0_0.25	EE	38	0.101
cons_cons	0_0.25	HH	104	0.275
cons_cons	0_0.25	CX	6	0.016
cons_cons	0_0.25	EX	2	0.005
cons_cons	0_0.25	HX	2	0.005
cons_cons	0_0.25	HC	2	0.005
cons_cons	0.25_0.5	EC	14	0.011
cons_cons	0.25_0.5	HX	20	0.016
cons_cons	0.25_0.5	CH	11	0.009
cons_cons	0.25_0.5	CC	626	0.506
cons_cons	0.25_0.5	XC	23	0.019
cons_cons	0.25_0.5	XH	9	0.007
cons_cons	0.25_0.5	CE	10	0.008
cons_cons	0.25_0.5	XE	16	0.013
cons_cons	0.25_0.5	EE	114	0.092
cons_cons	0.25_0.5	HH	343	0.277
cons_cons	0.25_0.5	CX	25	0.02
cons_cons	0.25_0.5	EX	12	0.01
cons_cons	0.25_0.5	HC	14	0.011
cons_cons	0.25_0.5	XX	1	0.001
cons_cons	0.5_0.75	HX	23	0.011
cons_cons	0.5_0.75	CH	18	0.009
cons_cons	0.5_0.75	CC	958	0.459
cons_cons	0.5_0.75	XC	69	0.033
cons_cons	0.5_0.75	XH	28	0.013
cons_cons	0.5_0.75	EC	20	0.01
cons_cons	0.5_0.75	XE	29	0.014
cons_cons	0.5_0.75	EE	187	0.09
cons_cons	0.5_0.75	HH	627	0.3
cons_cons	0.5_0.75	CX	53	0.025
cons_cons	0.5_0.75	CE	24	0.011
cons_cons	0.5_0.75	HC	23	0.011
cons_cons	0.5_0.75	XX	4	0.002
cons_cons	0.5_0.75	EX	24	0.011
cons_cons	0.75_1.01	XH	636	0.01
cons_cons	0.75_1.01	CH	676	0.011
cons_cons	0.75_1.01	EH	5	0.0
cons_cons	0.75_1.01	CC	29629	0.481
cons_cons	0.75_1.01	XC	1307	0.021
cons_cons	0.75_1.01	XX	130	0.002
cons_cons	0.75_1.01	EC	694	0.011
cons_cons	0.75_1.01	XE	708	0.011
cons_cons	0.75_1.01	EE	5960	0.097
cons_cons	0.75_1.01	HH	17776	0.288
cons_cons	0.75_1.01	CX	1311	0.021
cons_cons	0.75_1.01	CE	801	0.013
cons_cons	0.75_1.01	EX	705	0.011
cons_cons	0.75_1.01	HX	658	0.011
cons_cons	0.75_1.01	HC	637	0.01
alt_alt	0_0.25	EC	11	0.008
alt_alt	0_0.25	XH	14	0.011
alt_alt	0_0.25	CH	9	0.007
alt_alt	0_0.25	EH	1	0.001
alt_alt	0_0.25	EE	95	0.072
alt_alt	0_0.25	XC	27	0.021
alt_alt	0_0.25	XX	3	0.002
alt_alt	0_0.25	CE	13	0.01
alt_alt	0_0.25	XE	18	0.014
alt_alt	0_0.25	CC	736	0.561
alt_alt	0_0.25	HH	325	0.248
alt_alt	0_0.25	CX	20	0.015
alt_alt	0_0.25	EX	12	0.009
alt_alt	0_0.25	HX	11	0.008
alt_alt	0_0.25	HC	18	0.014
alt_alt	0.25_0.5	XH	45	0.009
alt_alt	0.25_0.5	CH	46	0.009
alt_alt	0.25_0.5	CC	2532	0.517
alt_alt	0.25_0.5	XC	97	0.02
alt_alt	0.25_0.5	HX	47	0.01
alt_alt	0.25_0.5	CE	61	0.012
alt_alt	0.25_0.5	XE	58	0.012
alt_alt	0.25_0.5	EE	420	0.086
alt_alt	0.25_0.5	HH	1284	0.262
alt_alt	0.25_0.5	CX	110	0.022
alt_alt	0.25_0.5	EC	68	0.014
alt_alt	0.25_0.5	HC	47	0.01
alt_alt	0.25_0.5	XX	14	0.003
alt_alt	0.25_0.5	EX	65	0.013
alt_alt	0.5_0.75	XH	103	0.01
alt_alt	0.5_0.75	CH	106	0.011
alt_alt	0.5_0.75	EH	3	0.0
alt_alt	0.5_0.75	CC	4883	0.491
alt_alt	0.5_0.75	XC	215	0.022
alt_alt	0.5_0.75	HX	95	0.01
alt_alt	0.5_0.75	EC	130	0.013
alt_alt	0.5_0.75	XE	104	0.01
alt_alt	0.5_0.75	EE	874	0.088
alt_alt	0.5_0.75	HH	2886	0.29
alt_alt	0.5_0.75	CX	194	0.02
alt_alt	0.5_0.75	CE	107	0.011
alt_alt	0.5_0.75	EX	120	0.012
alt_alt	0.5_0.75	HC	94	0.009
alt_alt	0.5_0.75	XX	31	0.003
alt_alt	0.75_1.01	HX	131	0.01
alt_alt	0.75_1.01	CH	132	0.01
alt_alt	0.75_1.01	EH	4	0.0
alt_alt	0.75_1.01	CC	6688	0.491
alt_alt	0.75_1.01	XC	260	0.019
alt_alt	0.75_1.01	XH	121	0.009
alt_alt	0.75_1.01	CE	134	0.01
alt_alt	0.75_1.01	XE	146	0.011
alt_alt	0.75_1.01	EE	1219	0.089
alt_alt	0.75_1.01	HH	4007	0.294
alt_alt	0.75_1.01	CX	298	0.022
alt_alt	0.75_1.01	EC	159	0.012
