Helix junction freq	Gene	Exon_pair	Gene

results/fig2/Individual_background_window3.csv
SSType	Total	Freq
CC	4180849	0.527
CE	94079	0.012
CH	78565	0.01
CX	164779	0.021
EC	91748	0.012
EE	706804	0.089
EH	859	0.0
EX	87095	0.011
HC	75304	0.009
HE	163	0.0
HH	2032813	0.256
HX	73449	0.009
XC	158566	0.02
XE	88542	0.011
XH	77290	0.01
XX	16026	0.002
results/fig2/Individual_alljunct_window3.csv
SSType	Total	Freq
CC	65078	0.484
CE	1675	0.012
CH	1462	0.011
CX	2982	0.022
EC	1543	0.011
EE	12827	0.095
EH	16	0.0
EX	1588	0.012
HC	1413	0.011
HH	38461	0.286
HX	1408	0.01
XC	2811	0.021
XE	1523	0.011
XH	1409	0.01
XX	294	0.002
results/fig2/Individual_ConsCons_window_3.csv
SSType	Total	Freq
CC	37686	0.476
CE	1037	0.013
CH	872	0.011
CX	1752	0.022
EC	897	0.011
EE	7746	0.098
EH	7	0.0
EX	937	0.012
HC	851	0.011
HH	22946	0.29
HX	856	0.011
XC	1669	0.021
XE	919	0.012
XH	844	0.011
XX	168	0.002
results/fig2/Individual_AltAlt_window3.csv
SSType	Total	Freq
CC	16458	0.498
CE	378	0.011
CH	329	0.01
CX	720	0.022
EC	418	0.013
EE	2989	0.091
EH	7	0.0
EX	390	0.012
HC	326	0.01
HH	9313	0.282
HX	307	0.009
XC	654	0.02
XE	356	0.011
XH	306	0.009
XX	71	0.002
results/fig2/Individual_ConsAlt_window3.csv
SSType	Total	Freq
CC	10934	0.491
CE	260	0.012
CH	261	0.012
CX	510	0.023
EC	228	0.01
EE	2092	0.094
EH	2	0.0
EX	261	0.012
HC	236	0.011
HH	6202	0.278
HX	245	0.011
XC	488	0.022
XE	248	0.011
XH	259	0.012
XX	55	0.002
