Helix junction freq	Gene	Exon_pair	Gene

results/Individual_background_window3.csv
SSType	Total	Freq
CC	3876432	0.489
CE	82629	0.01
CH	69148	0.009
CX	305931	0.039
EC	86378	0.011
EE	539704	0.068
EH	142	0.0
EX	170416	0.021
HC	70893	0.009
HE	809	0.0
HH	1884917	0.238
HX	157110	0.02
XC	318151	0.04
XE	169290	0.021
XH	148199	0.019
XX	46782	0.006
results/Individual_alljunct_window3.csv
SSType	Total	Freq
CC	59805	0.445
CE	1538	0.011
CH	1336	0.01
CX	5641	0.042
EC	1403	0.01
EE	9906	0.074
EH	16	0.0
EX	3035	0.023
HC	1300	0.01
HH	35740	0.266
HX	2815	0.021
XC	5340	0.04
XE	2981	0.022
XH	2833	0.021
XX	801	0.006
results/Individual_ConsCons_window3.csv
SSType	Total	Freq
CC	34524	0.436
CE	950	0.012
CH	789	0.01
CX	3344	0.042
EC	812	0.01
EE	5942	0.075
EH	7	0.0
EX	1834	0.023
HC	780	0.01
HH	21285	0.269
HX	1705	0.022
XC	3186	0.04
XE	1824	0.023
XH	1736	0.022
XX	480	0.006
results/Individual_AltAlt_window3.csv
SSType	Total	Freq
CC	15205	0.461
CE	349	0.011
CH	302	0.009
CX	1335	0.04
EC	377	0.011
EE	2339	0.071
EH	7	0.0
EX	708	0.021
HC	297	0.009
HH	8723	0.264
HX	616	0.019
XC	1269	0.038
XE	678	0.021
XH	599	0.018
XX	197	0.006
results/Individual_ConsAlt_window3.csv
SSType	Total	Freq
CC	10076	0.452
CE	239	0.011
CH	245	0.011
CX	962	0.043
EC	214	0.01
EE	1625	0.073
EH	2	0.0
EX	493	0.022
HC	223	0.01
HH	5732	0.257
HX	494	0.022
XC	885	0.04
XE	479	0.021
XH	498	0.022
XX	124	0.006
