org	Gene	PILength	Isoforms	exonsCount	geneName
9606	29	1085	24	43	ABR ABR activator of RhoGEF and GTPase
9606	163882	725	12	26	CNST consortin, connexin sorting protein
9606	136	229	7	12	ADORA2B adenosine A2b receptor
9606	199	93	4	12	AIF1 allograft inflammatory factor 1
9606	368	1447	10	46	ABCC6 ATP binding cassette subfamily C member 6
9606	549	294	19	26	AUH AU RNA binding methylglutaconyl-CoA hydratase
9606	596	239	6	7	BCL2 BCL2 apoptosis regulator
9606	627	255	17	21	BDNF brain derived neurotrophic factor
9606	781	1086	16	48	CACNA2D1 calcium voltage-gated channel auxiliary subunit alpha2delta 1
9606	817	296	55	42	CAMK2D calcium/calmodulin dependent protein kinase II delta
9606	861	416	18	17	RUNX1 RUNX family transcription factor 1
9606	962	142	5	7	CD48 CD48 molecule
9606	1012	713	9	27	CDH13 cadherin 13
9606	1184	820	9	24	CLCN5 chloride voltage-gated channel 5
9606	1268	472	16	14	CNR1 cannabinoid receptor 1
9606	1297	931	10	52	COL9A1 collagen type IX alpha 1 chain
9606	1302	1454	11	80	COL11A2 collagen type XI alpha 2 chain
9606	1385	336	21	28	CREB1 cAMP responsive element binding protein 1
9606	1390	360	81	48	CREM cAMP responsive element modulator
9606	1602	504	7	16	DACH1 dachshund family transcription factor 1
9606	1612	1430	9	34	DAPK1 death associated protein kinase 1
9606	1740	842	63	58	DLG2 discs large MAGUK scaffold protein 2
9606	132864	1037	13	21	CPEB2 cytoplasmic polyadenylation element binding protein 2
9606	1804	804	13	39	DPP6 dipeptidyl peptidase like 6
9606	1837	513	70	42	DTNA dystrobrevin alpha
9606	2054	277	16	36	STX2 syntaxin 2
9606	2173	128	4	7	FABP7 fatty acid binding protein 7
9606	2241	837	21	39	FER FER tyrosine kinase
9606	55007	357	21	33	FAM118A family with sequence similarity 118 member A
9606	100141515	356	12	21	C17orf99 chromosome 17 open reading frame 99
9606	2528	359	19	14	FUT6 fucosyltransferase 6
9606	2560	441	5	15	GABRB1 gamma-aminobutyric acid type A receptor subunit beta1
9606	2571	594	8	27	GAD1 glutamate decarboxylase 1
9606	2651	325	10	15	GCNT2 glucosaminyl (N-acetyl) transferase 2 (I blood group)
9606	2774	240	6	21	GNAL G protein subunit alpha L
9606	2778	245	35	48	GNAS GNAS complex locus
9606	2876	157	5	6	GPX1 glutathione peroxidase 1
9606	494470	314	5	14	RNF165 ring finger protein 165
9606	2963	275	4	11	GTF2F2 general transcription factor IIF subunit 2
9606	2972	512	21	34	BRF1 BRF1 RNA polymerase III transcription initiation factor subunit
9606	3164	611	12	22	NR4A1 nuclear receptor subfamily 4 group A member 1
9606	3176	166	6	13	HNMT histamine N-methyltransferase
9606	3293	256	8	20	HSD17B3 hydroxysteroid 17-beta dehydrogenase 3
9606	3397	149	2	3	ID1 inhibitor of DNA binding 1
9606	3508	956	7	24	IGHMBP2 immunoglobulin mu DNA binding protein 2
9606	3581	560	13	22	IL9R interleukin 9 receptor
9606	3601	285	38	27	IL15RA interleukin 15 receptor subunit alpha
9606	3603	1396	18	47	IL16 interleukin 16
9606	134701	80	3	7	RIPPLY2 ripply transcriptional repressor 2
9606	3778	1128	60	58	KCNMA1 potassium calcium-activated channel subfamily M alpha 1
9606	3783	395	5	15	KCNN4 potassium calcium-activated channel subfamily N member 4
9606	3785	843	14	25	KCNQ2 potassium voltage-gated channel subfamily Q member 2
9606	200403	1248	16	41	VWA3B von Willebrand factor A domain containing 3B
9606	3933	176	6	15	LCN1 lipocalin 1
9606	4016	431	4	12	LOXL1 lysyl oxidase like 1
9606	55289	610	31	44	ACOXL acyl-CoA oxidase like
9606	135138	257	22	29	PACRG parkin coregulated
9606	4094	383	6	9	MAF MAF bZIP transcription factor
9606	200728	143	5	10	TMEM17 transmembrane protein 17
9606	4134	1169	167	47	MAP4 microtubule associated protein 4
9606	4194	490	16	28	MDM4 MDM4 regulator of p53
9606	284695	376	7	21	ZNF326 zinc finger protein 326
9606	200844	563	21	42	CFAP20DC CFAP20 domain containing
9606	4253	797	60	56	MIA2 MIA SH3 domain ER export factor 2
9606	159091	131	39	38	PABIR3 PABIR family member 3
9606	4326	409	9	23	MMP17 matrix metallopeptidase 17
9606	201134	913	20	46	CEP112 centrosomal protein 112
9606	127255	430	10	21	LRRIQ3 leucine rich repeats and IQ motif containing 3
9606	201176	810	33	42	ARHGAP27 Rho GTPase activating protein 27
9606	4610	364	3	5	MYCL MYCL proto-oncogene, bHLH transcription factor
9606	168451	112	6	11	THAP5 THAP domain containing 5
9606	4660	1042	16	49	PPP1R12B protein phosphatase 1 regulatory subunit 12B
9606	4739	834	4	10	NEDD9 neural precursor cell expressed, developmentally down-regulated 9
9606	4988	493	27	38	OPRM1 opioid receptor mu 1
9606	112268170	313	2	4	LOC112268170 translation initiation factor IF-2-like
9606	219287	671	5	7	AMER2 APC membrane recruitment protein 2
9606	5048	410	9	23	PAFAH1B1 platelet activating factor acetylhydrolase 1b regulatory subunit 1
9606	5144	748	33	60	PDE4D phosphodiesterase 4D
9606	5212	678	15	31	VIT vitrin
9606	5378	932	23	26	PMS1 PMS1 homolog 1, mismatch repair system component
9606	5414	470	20	41	SEPTIN4 septin 4
9606	5463	592	15	29	POU6F1 POU class 6 homeobox 1
9606	5558	509	10	23	PRIM2 DNA primase subunit 2
9606	5747	1103	173	86	PTK2 protein tyrosine kinase 2
9606	202374	399	9	25	STK32A serine/threonine kinase 32A
9606	5788	1306	12	38	PTPRC protein tyrosine phosphatase receptor type C
9606	5825	586	9	35	ABCD3 ATP binding cassette subfamily D member 3
9606	5866	356	11	21	RAB3IL1 RAB3A interacting protein like 1
9606	5891	262	21	33	MOK MOK protein kinase
9606	5902	201	9	16	RANBP1 RAN binding protein 1
9606	5926	1277	10	34	ARID4A AT-rich interaction domain 4A
9606	5998	1088	14	41	RGS3 regulator of G protein signaling 3
9606	6002	799	21	38	RGS12 regulator of G protein signaling 12
9606	6284	98	27	28	S100A13 S100 calcium binding protein A13
9606	6297	1043	6	7	SALL2 spalt like transcription factor 2
