ExonType	WEFRange	Junction	Count	Freq
cons_cons	0_0.25	HX	7	0.022
cons_cons	0_0.25	CH	2	0.006
cons_cons	0_0.25	CC	148	0.461
cons_cons	0_0.25	XC	13	0.04
cons_cons	0_0.25	XX	1	0.003
cons_cons	0_0.25	EC	7	0.022
cons_cons	0_0.25	XE	6	0.019
cons_cons	0_0.25	EE	31	0.097
cons_cons	0_0.25	HH	84	0.262
cons_cons	0_0.25	CX	10	0.031
cons_cons	0_0.25	CE	1	0.003
cons_cons	0_0.25	EX	5	0.016
cons_cons	0_0.25	HC	2	0.006
cons_cons	0_0.25	XH	4	0.012
cons_cons	0.25_0.5	EC	8	0.009
cons_cons	0.25_0.5	XH	18	0.021
cons_cons	0.25_0.5	CH	6	0.007
cons_cons	0.25_0.5	CC	421	0.496
cons_cons	0.25_0.5	XC	27	0.032
cons_cons	0.25_0.5	HX	17	0.02
cons_cons	0.25_0.5	CE	5	0.006
cons_cons	0.25_0.5	XE	25	0.029
cons_cons	0.25_0.5	EE	52	0.061
cons_cons	0.25_0.5	HH	213	0.251
cons_cons	0.25_0.5	CX	28	0.033
cons_cons	0.25_0.5	EX	15	0.018
cons_cons	0.25_0.5	HC	8	0.009
cons_cons	0.25_0.5	XX	5	0.006
cons_cons	0.5_0.75	XH	14	0.022
cons_cons	0.5_0.75	CH	3	0.005
cons_cons	0.5_0.75	CC	276	0.433
cons_cons	0.5_0.75	XC	34	0.053
cons_cons	0.5_0.75	HX	8	0.013
cons_cons	0.5_0.75	EC	4	0.006
cons_cons	0.5_0.75	XE	22	0.035
cons_cons	0.5_0.75	EE	36	0.057
cons_cons	0.5_0.75	HH	195	0.306
cons_cons	0.5_0.75	CX	24	0.038
cons_cons	0.5_0.75	CE	4	0.006
cons_cons	0.5_0.75	EX	13	0.02
cons_cons	0.5_0.75	HC	4	0.006
cons_cons	0.75_1.01	XH	1268	0.021
cons_cons	0.75_1.01	CH	582	0.01
cons_cons	0.75_1.01	EH	5	0.0
cons_cons	0.75_1.01	CC	26027	0.439
cons_cons	0.75_1.01	XC	2402	0.041
cons_cons	0.75_1.01	XX	366	0.006
cons_cons	0.75_1.01	EC	604	0.01
cons_cons	0.75_1.01	XE	1358	0.023
cons_cons	0.75_1.01	EE	4380	0.074
cons_cons	0.75_1.01	HH	15873	0.268
cons_cons	0.75_1.01	CX	2463	0.042
cons_cons	0.75_1.01	CE	720	0.012
cons_cons	0.75_1.01	EX	1361	0.023
cons_cons	0.75_1.01	HX	1273	0.021
cons_cons	0.75_1.01	HC	555	0.009
alt_alt	0_0.25	EC	3	0.003
alt_alt	0_0.25	HX	14	0.016
alt_alt	0_0.25	CH	5	0.006
alt_alt	0_0.25	EH	1	0.001
alt_alt	0_0.25	EE	50	0.056
alt_alt	0_0.25	XC	37	0.042
alt_alt	0_0.25	XX	4	0.004
alt_alt	0_0.25	CE	8	0.009
alt_alt	0_0.25	XE	21	0.024
alt_alt	0_0.25	CC	453	0.51
alt_alt	0_0.25	HH	217	0.244
alt_alt	0_0.25	CX	24	0.027
alt_alt	0_0.25	EX	20	0.022
alt_alt	0_0.25	HC	11	0.012
alt_alt	0_0.25	XH	21	0.024
alt_alt	0.25_0.5	XH	65	0.019
alt_alt	0.25_0.5	CH	24	0.007
alt_alt	0.25_0.5	CC	1613	0.479
alt_alt	0.25_0.5	XC	131	0.039
alt_alt	0.25_0.5	HX	60	0.018
alt_alt	0.25_0.5	CE	33	0.01
alt_alt	0.25_0.5	XE	63	0.019
alt_alt	0.25_0.5	EE	213	0.063
alt_alt	0.25_0.5	HH	845	0.251
alt_alt	0.25_0.5	CX	141	0.042
alt_alt	0.25_0.5	EC	38	0.011
alt_alt	0.25_0.5	HC	32	0.01
alt_alt	0.25_0.5	XX	22	0.007
alt_alt	0.25_0.5	EX	84	0.025
alt_alt	0.5_0.75	HX	157	0.02
alt_alt	0.5_0.75	CH	83	0.01
alt_alt	0.5_0.75	EH	3	0.0
alt_alt	0.5_0.75	CC	3600	0.449
alt_alt	0.5_0.75	XC	316	0.039
alt_alt	0.5_0.75	XH	160	0.02
alt_alt	0.5_0.75	EC	96	0.012
alt_alt	0.5_0.75	XE	172	0.021
alt_alt	0.5_0.75	EE	565	0.071
alt_alt	0.5_0.75	HH	2188	0.273
alt_alt	0.5_0.75	CX	298	0.037
alt_alt	0.5_0.75	CE	84	0.01
alt_alt	0.5_0.75	EX	175	0.022
alt_alt	0.5_0.75	HC	63	0.008
alt_alt	0.5_0.75	XX	54	0.007
alt_alt	0.75_1.01	HX	254	0.02
alt_alt	0.75_1.01	CH	116	0.009
alt_alt	0.75_1.01	EH	3	0.0
alt_alt	0.75_1.01	CC	5849	0.457
alt_alt	0.75_1.01	XC	480	0.037
alt_alt	0.75_1.01	XH	212	0.017
alt_alt	0.75_1.01	CE	115	0.009
alt_alt	0.75_1.01	XE	269	0.021
alt_alt	0.75_1.01	EE	878	0.069
alt_alt	0.75_1.01	HH	3505	0.274
alt_alt	0.75_1.01	CX	511	0.04
alt_alt	0.75_1.01	EC	138	0.011
alt_alt	0.75_1.01	HC	123	0.01
alt_alt	0.75_1.01	XX	69	0.005
alt_alt	0.75_1.01	EX	289	0.023
cons_alt	0_0.25	XH	13	0.024
cons_alt	0_0.25	CH	11	0.02
cons_alt	0_0.25	CC	255	0.47
cons_alt	0_0.25	XC	20	0.037
cons_alt	0_0.25	XX	5	0.009
cons_alt	0_0.25	CE	2	0.004
cons_alt	0_0.25	XE	15	0.028
cons_alt	0_0.25	EE	31	0.057
cons_alt	0_0.25	HH	132	0.244
cons_alt	0_0.25	CX	27	0.05
cons_alt	0_0.25	EC	7	0.013
cons_alt	0_0.25	HX	9	0.017
cons_alt	0_0.25	HC	2	0.004
cons_alt	0_0.25	EX	13	0.024
cons_alt	0.25_0.5	EC	19	0.01
cons_alt	0.25_0.5	HX	49	0.025
cons_alt	0.25_0.5	CH	26	0.013
cons_alt	0.25_0.5	CC	903	0.457
cons_alt	0.25_0.5	XC	85	0.043
cons_alt	0.25_0.5	XH	47	0.024
cons_alt	0.25_0.5	CE	22	0.011
cons_alt	0.25_0.5	XE	36	0.018
cons_alt	0.25_0.5	EE	127	0.064
cons_alt	0.25_0.5	HH	498	0.252
cons_alt	0.25_0.5	CX	84	0.042
cons_alt	0.25_0.5	EX	45	0.023
cons_alt	0.25_0.5	HC	17	0.009
