Gene	LengthPI	UniqueProteinTranscripts	Coding_exons_gene	Variants(,)sep	TotalUTR	5'	3'	Both
1	495	1	8	NP_570602.2	1	0	0	0
2	1474	2	38	NP_000005.2	1	0	0	0
2	1474	2	38	XP_006719119.1	1	0	0	0
387755	579	7	18	NP_001265243.1	1	0	0	0
387755	579	7	18	XP_011518388.1,NP_001265244.1	2	1	0	0
387755	579	7	18	NP_001265245.1	1	0	0	0
387755	579	7	18	XP_006718290.1,XP_016873186.1,NP_001036001.1,NP_001265242.1	4	3	0	0
387755	579	7	18	NP_001027024.3	1	0	0	0
387755	579	7	18	XP_011518387.1	1	0	0	0
387755	579	7	18	XP_016873187.1	1	0	0	0
131076	144	4	10	NP_001017928.1	1	0	0	0
131076	144	4	10	XP_011510712.1	1	0	0	0
131076	144	4	10	XP_016861186.1	1	0	0	0
131076	144	4	10	NP_001295255.1	1	0	0	0
9	352	2	4	NP_001153651.1,NP_001153642.1,NP_001153644.1,NP_001153645.1,NP_001153643.1,NP_000653.3,XP_006716473.1,XP_011542991.1,NP_001153646.1	9	7	0	1
9	352	2	4	XP_016869436.1,NP_001278891.1,XP_011542989.1,XP_011542990.1,NP_001153647.1,NP_001153648.1	6	5	0	0
10	290	1	2	XP_016868427.1,NP_000006.2	2	0	0	1
12	423	1	4	NP_001076.2	1	0	0	0
13	399	2	7	XP_005247161.1	1	0	0	0
13	399	2	7	NP_001077.2	1	0	0	0
14	435	2	12	NP_001289474.1	1	0	0	0
14	435	2	12	NP_001078.2	1	0	0	0
15	252	3	6	NP_001079.1	1	0	0	0
15	252	3	6	NP_001160051.1	1	0	0	0
15	252	3	6	XP_016879748.1	1	0	0	0
16	968	1	20	NP_001596.2	1	0	0	0
18	500	1	16	NP_065737.2,XP_011520703.1,NP_000654.2,XP_011520702.1,NP_001120920.1	5	2	0	2
19	2261	8	54	XP_011516644.1	1	0	0	0
19	2261	8	54	XP_005251830.1	1	0	0	0
19	2261	8	54	XP_011516643.1	1	0	0	0
19	2261	8	54	XP_016869871.1	1	0	0	0
19	2261	8	54	NP_005493.2	1	0	0	0
19	2261	8	54	XP_005251833.1	1	0	0	0
19	2261	8	54	XP_011516641.1,XP_016869869.1,XP_016869870.1,XP_011516642.1,XP_016869867.1,XP_016869868.1	6	5	0	0
19	2261	8	54	XP_011516646.1	1	0	0	0
20	2466	3	51	NP_001597.2	1	0	0	0
20	2466	3	51	NP_997698.1	1	0	0	0
20	2466	3	51	XP_006717059.1	1	0	0	0
21	1704	1	30	NP_001080.2	1	0	0	0
22	753	5	17	NP_004290.2	1	0	0	0
22	753	5	17	NP_001258628.1	1	0	0	0
22	753	5	17	NP_001258627.1	1	0	0	0
22	753	5	17	NP_001258625.1	1	0	0	0
22	753	5	17	NP_001258626.1	1	0	0	0
23	845	2	25	NP_001020262.1	1	0	0	0
23	845	2	25	NP_001081.1	1	0	0	0
24	2273	1	50	NP_000341.2	1	0	0	0
25	1149	2	12	NP_005148.2	1	0	0	0
25	1149	2	12	NP_009297.2	1	0	0	0
26	770	2	6	NP_001082.2,XP_016867436.1	2	0	0	1
26	770	2	6	XP_016867434.1,XP_016867433.1,NP_001259001.1,XP_016867435.1	4	2	0	1
100499483	1701	1	37	NP_065944.2	1	0	0	0
28	353	1	7	NP_065202.2	1	0	0	0
29	1118	17	40	NP_001309771.1	1	0	0	0
29	1118	17	40	XP_011522113.2	1	0	0	0
29	1118	17	40	NP_068781.2	1	0	0	0
29	1118	17	40	XP_011522114.1	1	0	0	0
29	1118	17	40	XP_011522115.1	1	0	0	0
29	1118	17	40	XP_016880030.1	1	0	0	0
29	1118	17	40	XP_016880028.1	1	0	0	0
29	1118	17	40	NP_001083.2	1	0	0	0
29	1118	17	40	NP_001309770.1	1	0	0	0
29	1118	17	40	XP_011522112.1	1	0	0	0
29	1118	17	40	NP_001243776.1	1	0	0	0
29	1118	17	40	NP_001153218.1,NP_001309769.1	2	1	0	0
29	1118	17	40	XP_016880029.1	1	0	0	0
29	1118	17	40	NP_001269078.1	1	0	0	0
29	1118	17	40	XP_016880031.1	1	0	0	0
29	1118	17	40	XP_016880032.1	1	0	0	0
29	1118	17	40	XP_011522116.1,XP_011522117.1	2	1	0	0
30	424	5	14	XP_006713186.1	1	0	0	0
30	424	5	14	NP_001123882.1	1	0	0	0
30	424	5	14	XP_006713185.1	1	0	0	0
30	424	5	14	NP_001598.1	1	0	0	0
30	424	5	14	XP_011531952.1	1	0	0	0
31	2383	8	61	XP_016880043.1	1	0	0	0
31	2383	8	61	NP_942131.1	1	0	0	0
31	2383	8	61	XP_016880042.1	1	0	0	0
31	2383	8	61	NP_942134.1	1	0	0	0
31	2383	8	61	XP_006721916.1	1	0	0	0
31	2383	8	61	NP_942136.1,XP_016880044.1,NP_942133.1,XP_011523005.1	4	3	0	0
31	2383	8	61	XP_005257324.1,XP_011523006.1,NP_942135.1	3	2	0	0
31	2383	8	61	XP_011523003.1	1	0	0	0
32	2458	6	56	XP_011536567.1	1	0	0	0
32	2458	6	56	XP_011536565.1	1	0	0	0
32	2458	6	56	XP_011536566.1	1	0	0	0
32	2458	6	56	XP_006719430.1	1	0	0	0
32	2458	6	56	XP_016874741.1	1	0	0	0
32	2458	6	56	XP_011536561.1,XP_005253933.1,NP_001084.3	3	2	0	0
33	430	3	13	XP_005246574.1	1	0	0	0
33	430	3	13	XP_016859444.1	1	0	0	0
33	430	3	13	NP_001599.1	1	0	0	0
34	454	5	14	NP_001272971.1	1	0	0	0
