org	Gene	PILength	Isoforms	exonsCount	geneName
6239	3564998	271	2	8	M05D6.9 Uncharacterized protein
6239	189866	413	2	9	nceh-1 Neutral Cholesterol Ester Hydrolase homolog
6239	189869	278	2	6	phy-4 Fe2OG dioxygenase domain-containing protein
6239	174848	742	4	17	cnt-1 Ankyrin_rpt-contain_dom domain-containing protein;Truncated ctn-1
6239	24104419	140	2	5	F10G2.10 DUF19 domain-containing protein
6239	71565857	86	2	6	Y97E10C.2 Uncharacterized protein
6239	3565833	157	2	4	tos-1 Target Of Splicing
6239	189878	156	2	7	dmd-3 Doublesex- and mab-3-related transcription factor dmd-3
6239	3896819	61	3	8	irld-1 Recep_L_domain domain-containing protein
6239	181568	596	2	12	C05G5.2 Uncharacterized protein
6239	3565074	803	3	17	miz-1 SP-RING-type domain-containing protein
6239	3565846	91	3	6	F13G3.10 HYPK_UBA domain-containing protein
6239	184436	156	2	7	F13H8.1 Uncharacterized protein
6239	180420	1408	2	22	aex-3 MAP kinase-activating death domain protein
6239	13216633	90	2	6	F43D2.7 Uncharacterized protein
6239	3564764	349	2	11	T16G12.9 Uncharacterized protein
6239	245996	425	5	11	Y51F10.4 Aa_trans domain-containing protein
6239	245999	120	2	8	Y20F4.4 Uncharacterized protein
6239	246008	285	2	11	pcf-11 CID domain-containing protein;Polyadenylation and cleavage factor homolog 11
6239	190381	130	2	6	Y58A7A.1 Copper transporter
6239	180488	109	2	7	F09E10.7 DUF4440 domain-containing protein
6239	189911	217	3	8	afmd-2 Abhydrolase_3 domain-containing protein
6239	13198891	297	3	11	cyp-31A5 CYtochrome P450 family
6239	27219615	39	2	3	F33D11.16 Uncharacterized protein
6239	3564788	55	2	3	nlp-41 Neuropeptide-Like Protein
6239	180565	422	3	11	ser-7 G_PROTEIN_RECEP_F1_2 domain-containing protein
6239	184469	406	2	11	octr-1 G_PROTEIN_RECEP_F1_2 domain-containing protein
6239	175108	321	3	8	dhs-8 DeHydrogenases, Short chain
6239	191499	352	2	11	nhr-246 CHK domain-containing protein
6239	3564796	387	3	28	trpp-10 TRansport Protein Particle
6239	13216825	31	2	4	T09F5.20 Uncharacterized protein
6239	191603	487	4	16	acr-17 AcetylCholine Receptor
6239	180687	1050	2	23	clh-4 Chloride channel protein
6239	24104247	54	2	6	C25E10.17 Uncharacterized protein
6239	180689	175	3	11	ZK470.2 Uncharacterized protein
6239	190529	293	2	13	Y68A4A.10 Uncharacterized protein
6239	191627	36	2	4	cyn-12 Peptidyl-prolyl cis-trans isomerase
6239	7040145	197	2	9	glb-34 GLOBIN domain-containing protein
6239	7040149	58	2	3	D1054.18 Uncharacterized protein
6239	180720	351	3	15	dgk-2 DAGKc domain-containing protein;Diacylglycerol kinase
6239	191644	1082	2	20	gcy-6 Receptor-type guanylate cyclase gcy-6
6239	7040157	171	2	7	tspo-1 TranSlocator PrOtein homolog
6239	175262	196	2	4	Y34F4.2 Uncharacterized protein
6239	180727	390	3	11	ham-2 Zinc finger protein ham-2
6239	191650	1181	3	26	gcy-19 Guanylate cyclase
6239	180737	908	2	16	hosl-1 Uncharacterized protein
6239	180741	109	3	7	flp-11 SPLDEEDFAPESPLQ-amide
6239	175300	132	2	8	Y82E9BR.16 MFS domain-containing protein
6239	3565427	184	2	6	C30G7.2 Uncharacterized protein
6239	189965	265	2	6	srw-99 G_PROTEIN_RECEP_F1_2 domain-containing protein
6239	3565812	132	2	8	Y17G7B.23 Uncharacterized protein
6239	183890	142	2	5	D1007.13 Uncharacterized protein
6239	186263	170	3	9	F54H5.2 Protein kinase domain-containing protein
6239	6418663	41	2	4	Y53G8AL.4 Uncharacterized protein
6239	28661658	155	2	3	T28D9.4 Uncharacterized protein
6239	191751	718	3	21	ptr-19 SSD domain-containing protein
6239	13209141	15	2	4	Y51H4A.938 Uncharacterized protein
6239	190316	242	3	8	madf-1 MADF domain-containing protein
6239	177223	1262	10	30	F28E10.1 Uncharacterized protein
6239	175445	1572	4	22	golg-4 GRIP domain-containing protein
6239	191087	96	2	5	srt-13 Serpentine Receptor, class T
6239	175464	468	2	8	sel-8 Protein lag-3
6239	191848	288	2	9	srh-22 Serpentine Receptor, class H
6239	266646	558	2	7	sptl-2 Serine palmitoyltransferase 2
6239	266650	541	2	9	ula-1 NEDD8-activating enzyme E1 regulatory subunit
6239	180978	1093	4	24	ist-1 Insulin receptor SubsTrate homolog
6239	4926894	326	2	8	F40F8.11 NADAR domain-containing protein
6239	4926895	69	2	6	K12C11.7 Copper transporter
6239	190011	494	3	20	kvs-4 putative voltage-gated potassium channel subunit kvs-4
6239	266817	539	3	17	csk-1 PK_Tyr_Ser-Thr domain-containing protein;Tyrosine-protein kinase csk-1
6239	175542	286	3	11	asd-1 RRM domain-containing protein
6239	266823	348	4	14	parp-1 Poly 
6239	266829	293	2	7	cas-2 C-CAP/cofactor C-like domain-containing protein
6239	266830	1724	2	15	hcp-6 Condensin-2 complex subunit
6239	266840	417	3	10	M05B5.3 Uncharacterized protein
6239	266842	758	2	15	nsf-1 Vesicle-fusing ATPase
6239	266845	971	2	9	dao-5 Nucleolar protein dao-5
6239	266847	734	2	7	top-1 DNA topoisomerase 1
6239	266858	199	3	5	prdx-2 Peroxiredoxin prdx-2
6239	266873	45	2	5	Y54G11A.14 Uncharacterized protein
6239	266876	352	9	17	spsb-1 B30.2/SPRY domain-containing protein
6239	266879	251	2	8	tig-3 TGF_BETA_2 domain-containing protein;TransformIng Growth factor beta family
6239	266897	101	2	6	C09G1.5 Uncharacterized protein
6239	266905	290	2	7	sru-26 Serpentine Receptor, class U;Serpentine receptor class U-26
6239	266913	124	2	8	F10D2.8 Glucuronosyltransferase
6239	266916	616	3	16	clp-9 Calpain catalytic domain-containing protein;RanBP2-type domain-containing protein
6239	4926918	60	2	6	R06A10.5 Uncharacterized protein
6239	266922	229	4	9	C08B6.2 Uncharacterized protein
6239	266923	209	2	9	C51E3.9 Uncharacterized protein
6239	266926	70	2	7	mab-23 DM domain-containing protein
6239	13210326	53	2	3	Y116A8A.150 Uncharacterized protein
6239	4362998	138	2	7	F59C6.14 Uncharacterized protein
6239	4363001	62	2	3	F30A10.13 Uncharacterized protein
6239	4363004	172	2	6	col-47 COLlagen
6239	4363012	293	2	6	pals-11 Protein containing ALS2cr12 (ALS2CR12) signature
6239	4363018	111	2	4	T23B7.3 Uncharacterized protein
6239	4363048	257	2	7	pals-19 Protein containing ALS2cr12 (ALS2CR12) signature
6239	4363052	46	2	5	ZK353.10 Uncharacterized protein
6239	4363062	334	3	14	glct-6 Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
6239	4363072	39	2	11	C23H5.11 Uncharacterized protein
6239	4363076	61	2	7	egrh-3 EGR (Early Growth factor Response factor) Homolog
6239	4363083	196	3	9	Y37H2A.12 F-box domain-containing protein
6239	4363090	147	2	5	C06H5.8 Uncharacterized protein
6239	4363100	1645	9	18	arid-1 ARID domain-containing protein
6239	4363103	213	2	6	F16B3.3 Uncharacterized protein
6239	4363114	802	2	14	K09F5.6 Uncharacterized protein
6239	181053	218	2	7	dct-1 NIP3 homolog
6239	4363124	287	2	9	C24A8.6 G_PROTEIN_RECEP_F1_2 domain-containing protein
6239	4363126	153	2	5	C53C11.5 Uncharacterized protein
6239	4363130	96	2	6	F18E9.8 Uncharacterized protein
6239	175600	680	3	18	wdr-48 WD repeat-containing protein 48 homolog
6239	175606	2507	2	35	sel-2 BEACH domain-containing protein;Putative neurobeachin homolog
6239	181102	434	2	8	nhr-14 Nuclear hormone receptor family member nhr-14
6239	181111	1020	2	13	jmjd-3.1 JmjC domain-containing protein;Lysine-specific demethylase jmjd-3.1
6239	4927036	134	2	6	Y67A10A.11 Uncharacterized protein
6239	175684	155	2	11	C45G9.6 Uncharacterized protein
6239	4927051	110	2	5	T25B9.11 Uncharacterized protein
6239	4927064	912	2	17	gadr-5 Uncharacterized protein
6239	175709	496	2	13	hira-1 Hira domain-containing protein;Protein HIRA
6239	190048	563	3	12	grh-1 CP2 domain-containing protein;Grainyhead-like protein 1 homolog
6239	181003	164	4	13	coh-1 Rad21_Rec8 domain-containing protein
6239	190053	288	2	7	Y48G9A.6 Uncharacterized protein
6239	13211494	239	2	9	C05E4.15 Uncharacterized protein
6239	13211597	56	2	5	Y50D4A.6 Uncharacterized protein
6239	190169	140	2	9	Y51H7BR.4 Uncharacterized protein
6239	13211880	144	2	6	F41B5.12 Uncharacterized protein
6239	178647	76	2	8	F16B4.5 Uncharacterized protein
6239	13211995	113	2	7	W02H5.16 Uncharacterized protein
6239	13211997	113	2	7	W02H5.11 Uncharacterized protein
6239	36804982	70	2	6	cox-16 Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial
6239	36804988	77	2	5	C37C3.18 Eukaryotic translation initiation factor 5
6239	6418715	214	2	6	F07B10.7 Uncharacterized protein
6239	36805052	246	2	5	Y37E11AM.3 Uncharacterized protein
6239	13179322	35	2	4	Y48G8AL.16 Uncharacterized protein
6239	13179495	61	2	5	Y39G10AR.32 Uncharacterized protein
6239	13179543	264	2	8	Y23H5B.12 Uncharacterized protein
6239	13212318	376	3	12	nhr-93 Nuclear Hormone Receptor family
6239	175910	621	2	12	atgl-1 PNPLA domain-containing protein;Patanin-like phospholipase domain-containing protein atgl-1
6239	184631	647	4	17	nep-8 Peptidase_M13 domain-containing protein
6239	13179739	90	2	5	W05F2.8 Uncharacterized protein
6239	186883	173	2	7	K02E2.8 Uncharacterized protein
6239	190099	428	3	10	sqv-6 Protein xylosyltransferase;Xylosyltransferase sqv-6
6239	184322	109	2	11	F10G8.1 Tyrosine-protein phosphatase
6239	13183306	97	2	6	W10D9.6 Uncharacterized protein
6239	181503	226	4	12	elt-3 GATA-type domain-containing protein
6239	13217708	112	2	6	srh-237 Serpentine Receptor, class H
6239	171591	56	2	6	nlp-40 Peptide P4
6239	171592	561	4	17	rcor-1 SANT domain-containing protein
6239	171594	313	2	9	pgs-1 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
6239	171603	78	2	8	F53G12.9 GST_C_6 domain-containing protein
6239	171605	258	2	6	col-45 Col_cuticle_N domain-containing protein
6239	171607	415	3	12	mex-3 Muscle EXcess
6239	171609	669	2	16	ptr-11 SSD domain-containing protein
6239	171610	548	2	11	cest-27 Carboxylic ester hydrolase
6239	171618	418	4	12	C53D5.1 PIP49_C domain-containing protein
6239	171619	596	2	9	C53D5.5 Uncharacterized protein
6239	171621	195	2	7	xpo-2 CAS_CSE1 domain-containing protein;Exportin-2
6239	171624	551	2	8	mbtr-1 Malignant brain tumor repeat protein 1
6239	171627	184	2	11	rnp-8 RRM domain-containing protein
6239	171631	598	2	12	R119.5 Uncharacterized protein
6239	171633	499	2	14	otub-2 OTU domain-containing protein
6239	171639	721	2	12	haf-4 HAlF transporter (PGP related)
6239	171640	248	2	8	Y65B4BL.3 Uncharacterized protein
6239	171642	574	2	14	deps-1 P-granule-associated protein deps-1
6239	171643	719	3	9	acs-13 AMP-binding domain-containing protein
6239	171647	507	4	14	wwp-1 E3 ubiquitin-protein ligase wwp-1
6239	171648	275	6	13	lpr-1 LiPocalin-Related protein
6239	171649	393	2	6	grl-16 Ground-like domain-containing protein
6239	171650	1867	2	31	hum-7 Heavy chain, Unconventional Myosin
6239	171652	393	4	12	eme-1 Essential Meiotic Endonuclease
6239	171653	856	2	12	sago-2 Piwi-like protein
6239	171655	435	3	12	Y65B4A.2 Pept_C1 domain-containing protein
6239	171658	369	2	8	Y65B4A.9 Protein kinase domain-containing protein
6239	171663	1188	5	18	hgap-1 Rap-GAP domain-containing protein
6239	171664	47	2	7	rec-1 Uncharacterized protein
6239	171665	571	4	17	pif-1 ATP-dependent DNA helicase;ATP-dependent DNA helicase PIF1
6239	171667	64	2	7	Y18H1A.8 Uncharacterized protein
6239	171668	455	2	13	T06A4.3 Peptidase_M14 domain-containing protein;ShKT domain-containing protein
6239	171669	426	2	16	T06A4.1 Peptidase_M14 domain-containing protein
6239	171670	1253	6	24	zfh-2 Zinc Finger and Homeobox
6239	171672	450	3	14	cdk-14 Protein kinase domain-containing protein
6239	171674	197	3	14	Y95B8A.6 Uncharacterized protein
6239	171675	126	3	11	gpa-16 Guanine nucleotide-binding protein alpha-16 subunit
6239	171677	525	2	11	mig-1 Frizzled-4
6239	171678	176	2	14	cutl-20 ZP domain-containing protein
6239	171680	268	2	8	madf-6 MADF domain-containing protein
6239	171684	780	6	23	Y34D9A.3 Uncharacterized protein
