Gene	GeneName	LengthPI	TotalVariants	UniqueProteinVariants	UniqueCodingExons
1	A1BG alpha-1-B glycoprotein	495	1	1	8
2	A2M alpha-2-macroglobulin	1474	2	2	38
131076	CCDC58 coiled-coil domain containing 58	144	4	4	10
9	NAT1 N-acetyltransferase 1	352	15	2	4
10	NAT2 N-acetyltransferase 2	290	2	1	2
12	SERPINA3 serpin family A member 3	423	1	1	4
13	AADAC arylacetamide deacetylase	399	2	2	7
14	AAMP angio associated migratory cell protein	435	2	2	12
15	AANAT aralkylamine N-acetyltransferase	252	3	3	6
16	AARS alanyl-tRNA synthetase	968	1	1	20
18	ABAT 4-aminobutyrate aminotransferase	500	5	1	16
19	ABCA1 ATP binding cassette subfamily A member 1	2261	13	8	54
20	ABCA2 ATP binding cassette subfamily A member 2	2466	3	3	51
21	ABCA3 ATP binding cassette subfamily A member 3	1704	1	1	30
22	ABCB7 ATP binding cassette subfamily B member 7	753	5	5	17
23	ABCF1 ATP binding cassette subfamily F member 1	845	2	2	25
24	ABCA4 ATP binding cassette subfamily A member 4	2273	1	1	50
25	ABL1 ABL proto-oncogene 1, non-receptor tyrosine kinase	1149	2	2	12
26	AOC1 amine oxidase, copper containing 1	770	6	2	6
100499483	CCDC180 coiled-coil domain containing 180	1701	1	1	37
28	ABO ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	353	1	1	7
29	ABR ABR, RhoGEF and GTPase activating protein	1118	19	17	40
30	ACAA1 acetyl-CoA acyltransferase 1	424	5	5	14
31	ACACA acetyl-CoA carboxylase alpha	2383	13	8	61
32	ACACB acetyl-CoA carboxylase beta	2458	8	6	56
33	ACADL acyl-CoA dehydrogenase long chain	430	3	3	13
34	ACADM acyl-CoA dehydrogenase medium chain	454	5	5	14
35	ACADS acyl-CoA dehydrogenase short chain	412	2	2	11
36	ACADSB acyl-CoA dehydrogenase short/branched chain	432	2	2	11
37	ACADVL acyl-CoA dehydrogenase very long chain	678	7	7	26
38	ACAT1 acetyl-CoA acetyltransferase 1	427	5	3	14
39	ACAT2 acetyl-CoA acetyltransferase 2	426	2	2	11
40	ASIC2 acid sensing ion channel subunit 2	563	2	2	11
41	ASIC1 acid sensing ion channel subunit 1	574	6	6	16
163882	CNST consortin, connexin sorting protein	725	12	6	14
43	ACHE acetylcholinesterase (Cartwright blood group)	617	12	7	9
131118	DNAJC19 DnaJ heat shock protein family (Hsp40) member C19	116	2	2	6
47	ACLY ATP citrate lyase	1155	6	4	32
48	ACO1 aconitase 1	889	4	1	20
49	ACR acrosin	421	1	1	5
50	ACO2 aconitase 2	780	2	2	19
51	ACOX1 acyl-CoA oxidase 1	660	5	5	16
52	ACP1 acid phosphatase 1	158	3	3	8
53	ACP2 acid phosphatase 2, lysosomal	423	5	5	13
54	ACP5 acid phosphatase 5, tartrate resistant	325	7	1	4
55	ACPP acid phosphatase, prostate	418	5	5	15
56	ACRV1 acrosomal vesicle protein 1	210	4	4	8
100526772	TMEM110-MUSTN1 TMEM110-MUSTN1 readthrough	372	1	1	10
58	ACTA1 actin, alpha 1, skeletal muscle	377	1	1	6
59	ACTA2 actin, alpha 2, smooth muscle, aorta	377	3	1	8
60	ACTB actin beta	375	1	1	5
70	ACTC1 actin, alpha, cardiac muscle 1	377	1	1	6
71	ACTG1 actin gamma 1	375	2	1	5
72	ACTG2 actin, gamma 2, smooth muscle, enteric	376	2	2	8
131149	OTOL1 otolin 1	477	1	1	4
81	ACTN4 actinin alpha 4	911	5	5	26
86	ACTL6A actin like 6A	429	3	2	14
87	ACTN1 actinin alpha 1	914	15	15	29
88	ACTN2 actinin alpha 2	894	3	3	23
89	ACTN3 actinin alpha 3 (gene/pseudogene)	944	2	2	22
90	ACVR1 activin A receptor type 1	509	8	1	9
91	ACVR1B activin A receptor type 1B	546	8	7	14
92	ACVR2A activin A receptor type 2A	513	3	2	12
163933	FAM43B family with sequence similarity 43 member B	329	1	1	1
94	ACVRL1 activin A receptor like type 1	503	4	2	11
95	ACY1 aminoacylase 1	408	5	4	16
97	ACYP1 acylphosphatase 1	129	3	2	3
98	ACYP2 acylphosphatase 2	172	14	14	15
100	ADA adenosine deaminase	363	3	3	12
101	ADAM8 ADAM metallopeptidase domain 8	824	6	6	30
102	ADAM10 ADAM metallopeptidase domain 10	748	3	3	17
103	ADAR adenosine deaminase, RNA specific	1226	13	8	23
104	ADARB1 adenosine deaminase, RNA specific B1	714	22	13	21
105	ADARB2 adenosine deaminase, RNA specific B2 (inactive)	739	1	1	10
107	ADCY1 adenylate cyclase 1	1119	4	4	24
108	ADCY2 adenylate cyclase 2	1091	2	2	27
